rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0.00048828125,0,,,0.0,0.0,0.0,0.0,2048
1,2,False,0.1416015625,0.8603515625,5.0,29.76416015625,1,0,32771,0.125,0.0,1.0,0.25,2048
2,2,False,0.005859375,0.19970703125,17.0,31.966796875,2,1|2,5|17,0.125,0.25,0.0,0.25,2048
3,2,False,0.0751953125,0.95849609375,5.0,31.07958984375,2,3|4,33027|36873,0.25,0.25,1.0,0.3333333333333333,2048
4,2,False,0.0,0.0,128.0,0.0,0,,,0.125,0.0,0.0,0.25,2048
5,2,False,0.01416015625,0.95751953125,6.0,31.8232421875,1,5,33825,0.25,0.0,1.0,0.3333333333333333,2048
6,2,False,0.0126953125,0.82275390625,16.0,31.87060546875,2,6|7,259|275,0.25,0.25,0.0,0.5,2048
7,2,False,0.001953125,0.8525390625,5.0,25.74853515625,3,8|9|10,1|32768|32769,0.375,0.25,1.0,0.4166666666666667,2048
8,1,False,0.0,0.0,128.0,0.0009765625,0,,,0.125,0.25,0.0,0.25,2048
9,2,False,0.021484375,0.91259765625,7.0,31.73974609375,3,7|11|12,275|283|33043,0.25,0.25,1.0,0.5,2048
10,2,False,0.01171875,0.3642578125,13.0,31.9326171875,3,13|14|15,21|23|263,0.25,0.5,0.0,0.3333333333333333,2048
11,2,False,0.35302734375,0.85546875,6.0,27.10595703125,1,16,4616,0.375,0.5,1.0,0.4166666666666667,2048
12,2,False,0.0,0.0,128.0,0.0,0,,,0.25,0.25,0.0,0.3333333333333333,2048
13,2,False,0.00048828125,0.314453125,75.0,2.494140625,2,17|18,1056|1060,0.375,0.25,1.0,0.4166666666666667,2048
14,2,False,0.02685546875,0.28662109375,13.0,31.666015625,1,19,4168,0.375,0.5,0.0,0.4166666666666667,2048
15,2,False,0.00244140625,0.984375,7.0,31.978515625,15,20|21|22|23|24|25|26|27|28|29|30|31|32|33|34,21387|23181|33183|37151|37175|44596|45387|45514|53643|53961|53976|54154|55714|63619|64136,0.5,0.5,1.0,0.3333333333333333,2048
