rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
215,B/S012467,0.0,0.0,64.0,0.0,0,False,,512,32768
222,B/S123467,0.0,0.0,64.0,0.0,0,False,,512,32768
282,B/S1348,0.0,0.0,64.0,0.0,0,False,,512,32768
283,B/S01348,0.0,0.0,64.0,0.0,0,False,,512,32768
287,B/S012348,0.0,0.0,64.0,0.0,0,False,,512,32768
467,B/S014678,0.0,0.0,64.0,0.0,0,False,,512,32768
471,B/S0124678,0.0,0.0,64.0,0.0,0,False,,512,32768
476,B/S234678,0.0,0.0,64.0,0.0,0,False,,512,32768
478,B/S1234678,0.0,0.0,64.0,0.0,0,False,,512,32768
576,B1/S6,0.0,0.0,12.0,32.0,0,False,,512,164641
578,B1/S16,0.0,0.0,12.0,32.0,0,False,,512,176393
616,B1/S356,0.0,0.0,12.5,32.0,0,False,,512,184349
618,B1/S1356,0.0,0.0,16.0,32.0,0,False,,512,239417
834,B1/S168,0.0,0.0,12.0,32.0,0,False,,512,176438
872,B1/S3568,0.0,0.0,12.0,32.0,0,False,,512,184379
950,B1/S124578,0.0,0.0,64.0,0.015625,0,False,,512,33232
990,B1/S1234678,0.0,0.0,64.0,0.0,0,False,,512,32768
1024,B2/S,0.0,0.0,13.0,29.6875,0,False,,512,155532
1056,B2/S5,0.0,0.0,12.5,32.0,0,False,,512,161871
2060,B3/S23,0.0,0.0,64.0,2.966796875,0,False,,512,80318
2084,B3/S25,0.0,0.0,64.0,0.041015625,0,False,,512,33020
2124,B3/S236,0.0,0.0,50.0,18.369140625,0,False,,512,179576
2572,B13/S23,0.0,0.0,11.0,32.0,0,False,,512,162070
2596,B13/S25,0.0,0.0,9.5,32.0,0,False,,512,143229
2833,B13/S048,0.0,0.0,9.0,32.0,0,False,,512,131852
2870,B13/S12458,0.0,0.0,14.0,32.0,0,False,,512,216755
2961,B13/S0478,0.0,0.0,9.0,32.0,0,False,,512,131867
2965,B13/S02478,0.0,0.0,11.0,32.0,0,False,,512,161465
3369,B23/S0358,0.0,0.0,11.5,32.0,0,False,,512,141077
3874,B123/S158,0.0,0.1171875,7.5,32.0,4,False,23263|27359|30415|30427,512,115141
3890,B123/S1458,0.0,0.03125,9.5,32.0,1,False,27359,512,136724
3894,B123/S12458,0.0,0.00390625,11.0,32.0,4,False,19167|24223|27295|28319,512,166820
3985,B123/S0478,0.0,0.064453125,8.5,32.0,1,False,31951,512,115398
4356,B4/S28,0.0,0.0,64.0,0.0,0,False,,512,32768
4467,B4/S014568,0.0,0.0,64.0,0.0,0,False,,512,32768
4718,B14/S12356,0.0,0.0,14.5,32.0,0,False,,512,224202
4719,B14/S012356,0.0,0.0,15.0,32.0,0,False,,512,226141
4795,B14/S013457,0.0,0.0,23.0,29.599609375,0,False,,512,484901
4823,B14/S012467,0.0,0.0,13.0,32.0,0,False,,512,189524
4947,B14/S01468,0.0,0.0,11.0,32.0,0,False,,512,163618
4974,B14/S123568,0.0,0.0,14.5,32.0,0,False,,512,224794
4979,B14/S014568,0.0,0.04296875,14.0,32.0,3,False,30427|31951|32373,512,253501
4987,B14/S0134568,0.0,0.0,64.0,0.0,0,False,,512,32768
5280,B24/S57,0.0,0.0,11.0,32.0,0,False,,512,118526
5307,B24/S013457,0.0,0.0,25.0,20.23828125,0,False,,512,392844
5376,B24/S8,0.0,0.0,11.0,30.0,0,False,,512,113894
5380,B24/S28,0.0,0.0,11.5,30.875,0,False,,512,130726
5691,B124/S01345,0.0,0.01953125,16.0,31.017578125,1,False,15988,512,396696
5818,B124/S13457,0.0,0.0078125,22.0,20.716796875,1,False,15956,512,395213
5819,B124/S013457,0.0,0.01171875,22.0,21.365234375,1,False,15988,512,406284
5912,B124/S348,0.0,0.048828125,10.0,32.0,1,False,11999,512,144308
6003,B124/S014568,0.0,0.015625,15.0,29.09765625,1,False,30576,512,411107
6292,B34/S247,0.0,0.0,64.0,12.125,0,False,,512,72155
6356,B34/S2467,0.0,0.0,64.0,12.5625,0,False,,512,78318
6364,B34/S23467,0.01171875,0.107421875,23.0,29.99609375,3,True,32340|32372|32596,512,230657
6697,B134/S035,0.0,0.0,9.0,32.0,0,False,,512,131439
6827,B134/S01357,0.0,0.0,10.0,32.0,0,False,,512,138857
6871,B134/S012467,0.0,0.0,10.5,32.0,0,False,,512,152390
7127,B134/S0124678,0.0,0.0,11.0,32.0,0,False,,512,159152
7285,B234/S02456,0.0,0.083984375,21.0,10.96875,1,False,30064,512,244151
7428,B234/S28,0.0,0.005859375,9.5,32.0,1,False,27295,512,101971
7888,B1234/S467,0.0,0.052734375,8.5,32.0,2,False,31966|32467,512,128991
7959,B1234/S01248,0.0,0.0078125,8.0,32.0,1,False,24158,512,102549
8045,B1234/S023568,0.0,0.041015625,11.5,32.0,1,False,32372,512,172800
8203,B5/S013,0.0,0.0,64.0,0.0,0,False,,512,32768
