rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
215,B/S012467,0.0,0.0,64.0,0.0,0,False,,512,32768
222,B/S123467,0.0,0.0,64.0,0.0,0,False,,512,32768
282,B/S1348,0.0,0.0,64.0,0.0,0,False,,512,32768
283,B/S01348,0.0,0.0,64.0,0.0,0,False,,512,32768
287,B/S012348,0.0,0.0,64.0,0.0,0,False,,512,32768
467,B/S014678,0.0,0.0,64.0,0.0,0,False,,512,32768
471,B/S0124678,0.0,0.0,64.0,0.0,0,False,,512,32768
476,B/S234678,0.0,0.0,64.0,0.0,0,False,,512,32768
478,B/S1234678,0.0,0.0,64.0,0.0,0,False,,512,32768
576,B1/S6,0.0,0.001953125,4.5,32.0,1,False,2719,512,66060
578,B1/S16,0.0,0.0,4.5,32.0,0,False,,512,66047
616,B1/S356,0.0,0.0,4.5,32.0,0,False,,512,66087
618,B1/S1356,0.0,0.00390625,4.5,32.0,1,False,2463,512,66607
834,B1/S168,0.0,0.001953125,4.5,32.0,1,False,2719,512,66038
872,B1/S3568,0.0,0.0,4.5,32.0,0,False,,512,66094
950,B1/S124578,0.0,0.021484375,7.5,10.181640625,6,False,667|671|2183|2189|2703|2709,512,224554
990,B1/S1234678,0.0,0.0,64.0,0.0625,0,False,,512,34477
1024,B2/S,0.0,0.0,5.0,30.1875,0,False,,512,65433
1056,B2/S5,0.0,0.0,5.5,31.9375,0,False,,512,67286
2060,B3/S23,0.0,0.00390625,33.5,12.75,1,False,2719,512,91395
2084,B3/S25,0.0,0.0,64.0,0.806640625,0,False,,512,36764
2124,B3/S236,0.0,0.0,23.0,22.6171875,0,False,,512,74220
2572,B13/S23,0.0,0.0,4.5,32.0,0,False,,512,65963
2596,B13/S25,0.0,0.0,4.0,32.0,0,False,,512,65932
2833,B13/S048,0.0,0.001953125,4.5,32.0,1,False,2751,512,65914
2870,B13/S12458,0.0,0.0,4.5,32.0,0,False,,512,66075
2961,B13/S0478,0.0,0.0,4.5,32.0,0,False,,512,65909
2965,B13/S02478,0.0,0.044921875,4.5,32.0,1,False,3007,512,66034
3369,B23/S0358,0.0,0.037109375,5.0,32.0,1,False,11199,512,66314
3874,B123/S158,0.001953125,0.427734375,4.0,31.98828125,2,False,24223|27359,512,65706
3890,B123/S1458,0.0,0.09765625,4.0,32.0,5,False,20191|22267|23263|28319|31903,512,65845
3894,B123/S12458,0.0,0.14453125,4.0,32.0,6,False,19167|19423|23199|24223|27295|30363,512,65899
3985,B123/S0478,0.0,0.34375,4.0,32.0,5,False,23263|29919|30427|31951|31963,512,65758
4356,B4/S28,0.0,0.0,64.0,0.056640625,0,False,,512,33865
4467,B4/S014568,0.0,0.0,64.0,0.126953125,0,False,,512,33394
4718,B14/S12356,0.0,0.001953125,5.0,32.0,1,False,23263,512,66231
4719,B14/S012356,0.0,0.00390625,5.0,32.0,1,False,8062,512,66245
4795,B14/S013457,0.0,0.158203125,5.5,32.0,2,False,15988|16212,512,130133
4823,B14/S012467,0.0,0.1015625,4.5,32.0,1,False,3007,512,66051
4947,B14/S01468,0.0,0.091796875,4.5,32.0,2,False,2751|2975,512,66052
4974,B14/S123568,0.0,0.0,5.0,32.0,0,False,,512,66239
4979,B14/S014568,0.0,0.044921875,4.5,32.0,5,False,13811|16107|29919|29947|32110,512,70999
4987,B14/S0134568,0.0,0.05859375,7.0,1.056640625,3,False,15952|32068|32324,512,39772
5280,B24/S57,0.0,0.0,5.0,32.0,0,False,,512,67076
5307,B24/S013457,0.0,0.0703125,6.5,32.0,2,False,15956|15988,512,149662
5376,B24/S8,0.0,0.0,5.0,30.314453125,0,False,,512,65430
5380,B24/S28,0.0,0.0,5.5,30.814453125,0,False,,512,66101
5691,B124/S01345,0.0,0.1328125,4.5,32.0,2,False,15988|16212,512,103064
5818,B124/S13457,0.0,0.130859375,4.5,32.0,2,False,15956|15988,512,145605
5819,B124/S013457,0.0,0.21484375,5.0,32.0,2,False,15956|15988,512,146355
5912,B124/S348,0.01953125,0.080078125,4.5,31.59375,1,True,19423,512,65140
6003,B124/S014568,0.0,0.140625,4.0,32.0,4,False,30068|32100|32112|32372,512,109889
6292,B34/S247,0.0,0.001953125,64.0,12.20703125,1,False,427,512,47028
6356,B34/S2467,0.0,0.00390625,64.0,13.064453125,2,False,427|31996,512,48046
6364,B34/S23467,0.001953125,0.09765625,12.0,30.875,2,False,32340|32372,512,71892
6697,B134/S035,0.0,0.00390625,4.0,32.0,1,False,7103,512,65874
6827,B134/S01357,0.0,0.013671875,4.5,32.0,2,False,31951|32602,512,65955
6871,B134/S012467,0.0,0.044921875,4.5,32.0,3,False,32335|32350|32628,512,65955
7127,B134/S0124678,0.0,0.0390625,4.5,32.0,4,False,32343|32350|32469|32596,512,65991
7285,B234/S02456,0.0,0.09375,5.0,31.98828125,4,False,30064|32096|32324|32576,512,161366
