rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
215,B/S012467,0.0,0.0,64.0,1.1484375,0,False,,512,59904
222,B/S123467,0.0,0.171875,49.0,4.412109375,3,False,923|2239|2715,512,144115
282,B/S1348,0.0,0.130859375,33.5,4.611328125,1,False,139,512,120465
283,B/S01348,0.0,0.0,60.0,2.431640625,0,False,,512,90720
287,B/S012348,0.0,0.0,64.0,0.208984375,0,False,,512,38187
467,B/S014678,0.0,0.0,59.0,2.146484375,0,False,,512,82793
471,B/S0124678,0.0,0.0,64.0,0.974609375,0,False,,512,55028
476,B/S234678,0.001953125,0.27734375,33.0,7.271484375,1,False,139,512,186062
478,B/S1234678,0.0,0.166015625,50.0,4.60546875,4,False,443|671|2459|2703,512,149130
576,B1/S6,0.0,0.0,4.0,32.0,0,False,,512,65536
578,B1/S16,0.0,0.0,4.0,32.0,0,False,,512,65536
616,B1/S356,0.0,0.001953125,4.0,32.0,1,False,927,512,65536
618,B1/S1356,0.0,0.0,4.0,32.0,0,False,,512,65536
834,B1/S168,0.0,0.0,4.0,32.0,0,False,,512,65536
872,B1/S3568,0.0,0.001953125,4.0,31.939453125,1,False,2719,512,65416
950,B1/S124578,0.005859375,0.095703125,4.0,31.9921875,2,True,2191|2717,512,124368
990,B1/S1234678,0.0,0.0,4.0,9.287109375,0,False,,512,196289
1024,B2/S,0.0,0.001953125,4.0,31.4296875,1,False,11,512,65813
1056,B2/S5,0.0,0.0,4.0,32.0,0,False,,512,65547
2060,B3/S23,0.001953125,0.109375,4.5,20.63671875,4,False,139|155|2187|2191,512,78863
2084,B3/S25,0.0,0.087890625,4.5,4.0859375,1,False,139,512,71192
2124,B3/S236,0.001953125,0.099609375,4.5,24.1796875,4,False,139|155|667|2751,512,68525
2572,B13/S23,0.0,0.0078125,4.0,32.0,1,False,3007,512,65536
2596,B13/S25,0.0,0.0,4.0,32.0,0,False,,512,65536
2833,B13/S048,0.0,0.046875,4.0,32.0,1,False,2751,512,65536
2870,B13/S12458,0.0,0.08203125,4.0,32.0,1,False,3007,512,65536
2961,B13/S0478,0.0,0.068359375,4.0,32.0,1,False,3003,512,65536
2965,B13/S02478,0.0,0.03515625,4.0,32.0,1,False,3007,512,65536
3369,B23/S0358,0.0,0.083984375,4.0,32.0,1,False,11199,512,65536
3874,B123/S158,0.01171875,0.4140625,4.0,31.837890625,4,True,27359|28319|28379|30367,512,65204
3890,B123/S1458,0.013671875,0.1484375,4.0,31.78125,3,True,24223|27359|29407,512,65088
3894,B123/S12458,0.0,0.0859375,4.0,32.0,5,False,19167|23199|27295|27359|29403,512,65536
3985,B123/S0478,0.00390625,0.26171875,4.0,31.921875,4,False,27343|28379|30427|32459,512,65376
4356,B4/S28,0.0,0.017578125,29.0,2.052734375,2,False,11|139,512,60956
4467,B4/S014568,0.0,0.0,53.0,13.501953125,0,False,,512,265267
4718,B14/S12356,0.0,0.02734375,4.0,32.0,3,False,3071|15325|24382,512,65536
4719,B14/S012356,0.0,0.01953125,4.0,32.0,2,False,7927|11135,512,65536
4795,B14/S013457,0.0,0.12109375,4.0,32.0,1,False,16212,512,65688
4823,B14/S012467,0.0,0.107421875,4.0,32.0,2,False,2991|3007,512,65536
4947,B14/S01468,0.0,0.1171875,4.0,32.0,1,False,2751,512,65536
4974,B14/S123568,0.0,0.04296875,4.0,32.0,2,False,7135|11231,512,65536
4979,B14/S014568,0.009765625,0.140625,4.0,31.90234375,7,True,29919|30429|30457|30667|31951|31973|32102,512,65337
4987,B14/S0134568,0.04296875,0.63671875,4.0,29.388671875,4,True,13908|15444|15940|15952,512,394708
5280,B24/S57,0.0,0.00390625,4.0,31.884765625,1,False,2719,512,65423
5307,B24/S013457,0.001953125,0.103515625,4.0,31.966796875,3,False,15956|15988|16212,512,66085
5376,B24/S8,0.0,0.02734375,4.0,31.52734375,3,False,703|2719|2959,512,65608
5380,B24/S28,0.00390625,0.021484375,4.0,31.328125,1,False,2975,512,64638
5691,B124/S01345,0.001953125,0.12890625,4.0,31.958984375,2,False,15956|16212,512,65603
5818,B124/S13457,0.001953125,0.154296875,4.0,31.978515625,1,False,15956,512,65959
5819,B124/S013457,0.0,0.19140625,4.0,32.0,2,False,15956|15988,512,66058
5912,B124/S348,0.001953125,0.095703125,4.0,31.9609375,2,False,7903|29659,512,65456
6003,B124/S014568,0.00390625,0.21484375,4.0,31.95703125,4,False,30068|30576|32100|32112,512,65753
6292,B34/S247,0.0,0.080078125,4.0,13.943359375,1,False,139,512,68075
6356,B34/S2467,0.009765625,0.150390625,4.5,15.2109375,1,True,139,512,69369
6364,B34/S23467,0.064453125,0.23046875,4.5,30.826171875,5,True,32086|32340|32348|32372|32596,512,66329
6697,B134/S035,0.0,0.05859375,4.0,32.0,4,False,14815|16091|23983|24255,512,65536
6827,B134/S01357,0.0,0.033203125,4.0,32.0,3,False,31951|32335|32459,512,65536
6871,B134/S012467,0.0,0.154296875,4.0,32.0,4,False,31951|32343|32350|32374,512,65536
7127,B134/S0124678,0.0,0.15625,4.0,32.0,3,False,32343|32350|32469,512,65536
7285,B234/S02456,0.05078125,0.1796875,4.0,31.37109375,4,True,30064|30560|32068|32096,512,65510
7428,B234/S28,0.0,0.15234375,4.0,32.0,3,False,20127|23199|24223,512,65536
7888,B1234/S467,0.005859375,0.22265625,4.0,31.892578125,3,True,32335|32350|32469,512,65316
7959,B1234/S01248,0.0,0.201171875,4.0,32.0,3,False,24158|32342|32346,512,65536
8045,B1234/S023568,0.0,0.123046875,4.0,32.0,3,False,32372|32453|32596,512,65536
8203,B5/S013,0.0,0.0,59.0,2.701171875,0,False,,512,95985
8261,B5/S026,0.0,0.0,45.0,8.84375,0,False,,512,240162
8269,B5/S0236,0.0,0.0,48.0,8.83203125,0,False,,512,236365
8271,B5/S01236,0.0,0.0,64.0,13.546875,0,False,,512,145618
8397,B5/S02367,0.0,0.0,45.0,9.830078125,0,False,,512,258136
8459,B5/S0138,0.0,0.0,58.0,2.947265625,0,False,,512,101785
8585,B5/S0378,0.0,0.0,42.0,9.69921875,0,False,,512,260050
8587,B5/S01378,0.0,0.0,58.0,3.330078125,0,False,,512,111740
8663,B5/S0124678,0.0,0.0,64.0,3.31640625,0,False,,512,103003
9483,B25/S0138,0.0,0.001953125,4.0,32.0,1,False,3003,512,65619
10650,B35/S13478,0.015625,0.083984375,5.0,20.1484375,4,True,927|2191|2703|19103,512,76806
