rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
616,B1/S356,0.0,0.0,12.5,32.0,0,False,,512,184498
618,B1/S1356,0.0,0.0,15.5,32.0,0,False,,512,239478
1024,B2/S,0.0,0.0,12.5,30.625,0,False,,512,161647
2060,B3/S23,0.0,0.0,91.0,5.041015625,0,False,,512,160547
2870,B13/S12458,0.0,0.0,14.0,32.0,0,False,,512,216713
4718,B14/S12356,0.0,0.0,15.0,32.0,0,False,,512,224077
4719,B14/S012356,0.0,0.0,15.0,32.0,0,False,,512,226282
5307,B24/S013457,0.0,0.0,25.0,32.0,0,False,,512,617642
6697,B134/S035,0.0,0.0,9.5,32.0,0,False,,512,131478
7959,B1234/S01248,0.0,0.0078125,7.5,32.0,1,False,32339,512,102572
11062,B135/S12458,0.0,0.0,11.5,32.0,0,False,,512,167046
11063,B135/S012458,0.0,0.0,11.5,32.0,0,False,,512,167721
14573,B345/S023567,0.0,0.19140625,25.0,32.0,2,False,29760|30016,512,482634
14580,B345/S24567,0.0,0.0,128.0,0.07421875,0,False,,512,69492
15158,B1345/S12458,0.0,0.0,9.5,32.0,0,False,,512,131963
16951,B16/S01245,0.0,0.0,128.0,0.03125,0,False,,512,67308
17971,B126/S0145,0.0,0.0,11.0,32.0,0,False,,512,159047
17975,B126/S01245,0.0,0.0,14.0,32.0,0,False,,512,217772
18444,B36/S23,0.0,0.0,109.5,6.177734375,0,False,,512,155508
18470,B36/S125,0.0,0.0,128.0,12.615234375,0,False,,512,145730
18743,B36/S012458,0.0,0.240234375,26.0,32.0,3,False,3071|4031|7103,512,210030
22017,B1246/S0,0.0,0.0,7.0,32.0,0,False,,512,99109
22856,B346/S368,0.0,0.0,128.0,8.279296875,0,False,,512,80708
24343,B12346/S01248,0.0,0.001953125,7.5,32.0,1,False,27863,512,99238
25051,B56/S0134678,0.0,0.0,128.0,0.0,0,False,,512,65536
26167,B1256/S01245,0.0,0.0,10.5,32.0,0,False,,512,150535
30964,B3456/S24567,0.0,0.04296875,96.5,0.732421875,1,False,13376,512,94532
31048,B3456/S368,0.0,0.0,128.0,12.005859375,0,False,,512,78525
31476,B13456/S24567,0.0,0.0,91.0,0.908203125,0,False,,512,103288
33792,B27/S,0.0,0.0,13.0,31.125,0,False,,512,161858
36060,B237/S23467,0.0,0.154296875,20.0,32.0,2,False,12276|16244,512,433323
37047,B47/S012457,0.0,0.00390625,128.0,0.208984375,1,False,651,512,72451
37947,B247/S01345,0.0,0.0,15.5,32.0,0,False,,512,212778
38059,B247/S01357,0.0,0.0,12.5,32.0,0,False,,512,150679
38075,B247/S013457,0.0,0.0,18.5,32.0,0,False,,512,249774
38470,B1247/S126,0.0,0.0,8.5,32.0,0,False,,512,115548
38662,B1247/S128,0.0,0.001953125,7.5,32.0,1,False,22175,512,102868
38726,B1247/S1268,0.0,0.001953125,8.5,32.0,1,False,30363,512,115652
40974,B57/S123,0.0,0.0,128.0,0.0,0,False,,512,65536
41998,B257/S123,0.0,0.0,14.0,32.0,0,False,,512,172193
44188,B2357/S2347,0.0,0.0,11.0,32.0,0,False,,512,134115
44252,B2357/S23467,0.0,0.0,13.5,32.0,0,False,,512,178708
44764,B12357/S23467,0.0,0.0,11.5,32.0,0,False,,512,177102
46602,B12457/S13,0.0,0.044921875,7.5,32.0,2,False,29919|30427,512,99290
46634,B12457/S135,0.0,0.0,8.0,32.0,0,False,,512,115533
47341,B3457/S023567,0.0,0.150390625,23.0,32.0,1,False,29760,512,247728
47357,B3457/S0234567,0.0,0.013671875,36.0,32.0,2,False,28736|29760,512,841453
50044,B167/S234568,0.0,0.001953125,51.5,30.80078125,1,False,32340,512,1039272
51836,B1367/S23456,0.0,0.0,14.0,32.0,0,False,,512,348355
52092,B1367/S234568,0.0,0.0,16.0,32.0,0,False,,512,410435
52670,B2367/S1234578,0.0,0.0859375,15.5,32.0,2,False,32340|32356,512,205971
52671,B2367/S01234578,0.0,0.05859375,14.5,32.0,2,False,30292|32340,512,205907
55212,B12467/S23578,0.0,0.0,9.5,32.0,0,False,,512,142570
57260,B123467/S23578,0.0,0.087890625,9.0,32.0,1,False,32372,512,132035
57819,B567/S0134678,0.0,0.0,128.0,0.0,0,False,,512,65536
60178,B13567/S148,0.0,0.0,8.5,32.0,0,False,,512,115499
60180,B13567/S248,0.0,0.0,9.0,32.0,0,False,,512,115715
60182,B13567/S1248,0.0,0.0,9.0,32.0,0,False,,512,115912
61423,B123567/S01235678,0.0,0.0,128.0,0.0,0,False,,512,65536
65519,B1234567/S01235678,0.0,0.0,128.0,0.0,0,False,,512,65536
66334,B18/S12348,0.0,0.0,128.0,0.0,0,False,,512,65536
67884,B38/S2358,0.0,0.0,39.0,25.125,0,False,,512,201276
67885,B38/S02358,0.0,0.103515625,33.0,31.3125,1,False,3007,512,236112
67900,B38/S23458,0.0,0.0,128.0,0.0,0,False,,512,65536
68045,B38/S023678,0.0,0.06640625,39.0,30.625,3,False,2751|2975|3007,512,238160
68047,B38/S0123678,0.00390625,0.185546875,23.0,12.505859375,5,False,2583|2590|2591|2709|2711,512,194310
69048,B238/S34578,0.0,0.095703125,29.0,31.84375,2,False,15988|16212,512,926680
69705,B48/S036,0.0,0.0,128.0,0.0,0,False,,512,65536
69707,B48/S0136,0.0,0.0,128.0,0.0,0,False,,512,65536
