rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
616,B1/S356,0.0,0.0,12.5,32.0,0,False,,256,92202
618,B1/S1356,0.0,0.0,16.0,32.0,0,False,,256,119770
1024,B2/S,0.0,0.0,16.5,27.125,0,False,,256,73089
2060,B3/S23,0.0,0.0,64.0,2.50390625,0,False,,256,36928
2870,B13/S12458,0.0,0.0,14.0,32.0,0,False,,256,108459
4718,B14/S12356,0.0,0.0,15.0,32.0,0,False,,256,112127
4719,B14/S012356,0.0,0.0,15.0,32.0,0,False,,256,113047
5307,B24/S013457,0.0,0.0,25.5,20.7109375,0,False,,256,202373
6697,B134/S035,0.0,0.0,9.0,32.0,0,False,,256,65753
7959,B1234/S01248,0.0,0.00390625,8.0,32.0,1,False,31822,256,51260
11062,B135/S12458,0.0,0.0,11.5,32.0,0,False,,256,83564
11063,B135/S012458,0.0,0.0,11.5,32.0,0,False,,256,83878
14573,B345/S023567,0.0,0.140625,26.0,29.6640625,1,False,29760,256,223892
14580,B345/S24567,0.0,0.0,64.0,0.0,0,False,,256,16384
15158,B1345/S12458,0.0,0.0,9.0,32.0,0,False,,256,65984
16951,B16/S01245,0.0,0.0,64.0,0.00390625,0,False,,256,16442
17971,B126/S0145,0.0,0.0,10.5,32.0,0,False,,256,79504
17975,B126/S01245,0.0,0.0,13.0,32.0,0,False,,256,108900
18444,B36/S23,0.0,0.0,58.0,4.48828125,0,False,,256,46811
18470,B36/S125,0.0,0.0,43.5,13.3203125,0,False,,256,63728
18743,B36/S012458,0.0,0.15234375,23.0,31.0,3,False,4031|11199|19391,256,101406
22017,B1246/S0,0.0,0.00390625,7.5,32.0,1,False,24219,256,49606
22856,B346/S368,0.0,0.0,64.0,13.2421875,0,False,,256,34621
24343,B12346/S01248,0.0,0.0,7.5,32.0,0,False,,256,49582
25051,B56/S0134678,0.0,0.0,64.0,0.125,0,False,,256,17358
26167,B1256/S01245,0.0,0.0,10.5,32.0,0,False,,256,75264
30964,B3456/S24567,0.0,0.0,64.0,0.1953125,0,False,,256,19001
31048,B3456/S368,0.0,0.0,38.0,16.0,0,False,,256,32997
31476,B13456/S24567,0.0,0.0,64.0,0.15625,0,False,,256,18377
33792,B27/S,0.0,0.0,14.0,30.125,0,False,,256,78349
36060,B237/S23467,0.0078125,0.15234375,21.0,31.984375,4,True,8053|12150|15221|16244,256,217553
37047,B47/S012457,0.0,0.0,64.0,0.30078125,0,False,,256,18596
37947,B247/S01345,0.0,0.0,16.0,32.0,0,False,,256,106338
38059,B247/S01357,0.0,0.0,12.0,32.0,0,False,,256,75214
38075,B247/S013457,0.0,0.0,17.0,32.0,0,False,,256,124796
38470,B1247/S126,0.0,0.00390625,8.0,32.0,1,False,29407,256,57775
38662,B1247/S128,0.0,0.00390625,7.5,32.0,1,False,27343,256,51310
38726,B1247/S1268,0.0,0.0,8.0,32.0,0,False,,256,57834
40974,B57/S123,0.0,0.0,64.0,0.0,0,False,,256,16384
41998,B257/S123,0.0,0.0,13.0,32.0,0,False,,256,85989
44188,B2357/S2347,0.0,0.0,11.0,32.0,0,False,,256,66949
44252,B2357/S23467,0.0,0.0,12.5,32.0,0,False,,256,89340
44764,B12357/S23467,0.0,0.0,11.5,32.0,0,False,,256,88634
46602,B12457/S13,0.0,0.06640625,7.5,32.0,2,False,28379|30427,256,49657
46634,B12457/S135,0.0,0.0,8.0,32.0,0,False,,256,57768
47341,B3457/S023567,0.0,0.171875,20.0,31.0,1,False,29760,256,120276
47357,B3457/S0234567,0.0,0.0,37.0,6.59765625,0,False,,256,94495
50044,B167/S234568,0.0,0.0,43.0,1.8984375,0,False,,256,40036
51836,B1367/S23456,0.0,0.0,15.0,32.0,0,False,,256,174781
52092,B1367/S234568,0.0,0.0,16.0,32.0,0,False,,256,205841
52670,B2367/S1234578,0.0,0.109375,14.5,32.0,3,False,32100|32580|32592,256,103131
52671,B2367/S01234578,0.0,0.0390625,14.0,32.0,2,False,32340|32592,256,102988
55212,B12467/S23578,0.0,0.0,10.0,32.0,0,False,,256,71357
57260,B123467/S23578,0.0,0.07421875,9.0,32.0,1,False,32372,256,65990
57819,B567/S0134678,0.0,0.0,64.0,0.109375,0,False,,256,17247
60178,B13567/S148,0.0,0.0,8.0,32.0,0,False,,256,57751
60180,B13567/S248,0.0,0.00390625,9.0,32.0,1,False,31951,256,57852
60182,B13567/S1248,0.0,0.0,8.5,32.0,0,False,,256,57899
61423,B123567/S01235678,0.0,0.0,64.0,0.0,0,False,,256,16384
65519,B1234567/S01235678,0.0,0.0,64.0,0.0,0,False,,256,16384
66334,B18/S12348,0.0,0.0,64.0,0.0,0,False,,256,16384
67884,B38/S2358,0.0,0.0,29.0,23.25,0,False,,256,89258
