rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
616,B1/S356,0.0,0.0,12.5,32.0,0,False,,256,92154
618,B1/S1356,0.0,0.0,15.5,32.0,0,False,,256,119647
1024,B2/S,0.0,0.0,14.0,30.0,0,False,,256,78544
2060,B3/S23,0.0,0.0,62.0,3.19921875,0,False,,256,42975
2870,B13/S12458,0.0,0.0,14.0,32.0,0,False,,256,108387
4718,B14/S12356,0.0,0.0,15.0,32.0,0,False,,256,111958
4719,B14/S012356,0.0,0.0,15.0,32.0,0,False,,256,113156
5307,B24/S013457,0.0,0.0,25.0,20.25,0,False,,256,196300
6697,B134/S035,0.0,0.0,9.0,32.0,0,False,,256,65742
7959,B1234/S01248,0.0,0.00390625,8.0,32.0,1,False,30927,256,51322
11062,B135/S12458,0.0,0.0,11.5,32.0,0,False,,256,83555
11063,B135/S012458,0.0,0.0,11.5,32.0,0,False,,256,83813
14573,B345/S023567,0.0,0.15234375,26.0,29.58203125,1,False,29760,256,224654
14580,B345/S24567,0.0,0.0,64.0,0.0,0,False,,256,16384
15158,B1345/S12458,0.0,0.0,9.5,32.0,0,False,,256,65968
16951,B16/S01245,0.0,0.0,64.0,0.00390625,0,False,,256,16409
17971,B126/S0145,0.0,0.0,10.5,32.0,0,False,,256,79459
17975,B126/S01245,0.0,0.00390625,13.0,32.0,1,False,27295,256,108852
18444,B36/S23,0.0,0.0,58.0,5.27734375,0,False,,256,51300
18470,B36/S125,0.0,0.0,60.5,13.55078125,0,False,,256,63276
18743,B36/S012458,0.0,0.19140625,27.0,30.625,3,False,7103|11199|19423,256,100637
22017,B1246/S0,0.0,0.0,7.0,32.0,0,False,,256,49558
22856,B346/S368,0.0,0.0,64.0,7.98828125,0,False,,256,27218
24343,B12346/S01248,0.0,0.00390625,7.5,32.0,1,False,31950,256,49609
25051,B56/S0134678,0.0,0.0,64.0,0.0,0,False,,256,16384
26167,B1256/S01245,0.0,0.0,10.5,32.0,0,False,,256,75301
30964,B3456/S24567,0.0,0.0,64.0,0.25390625,0,False,,256,19445
31048,B3456/S368,0.0,0.00390625,64.0,12.78515625,1,False,2063,256,30508
31476,B13456/S24567,0.0,0.0,64.0,0.21875,0,False,,256,19065
33792,B27/S,0.0,0.0,14.0,29.625,0,False,,256,77159
36060,B237/S23467,0.0,0.1171875,21.0,31.90234375,3,False,7998|15228|16244,256,216773
37047,B47/S012457,0.0,0.0,64.0,0.05859375,0,False,,256,17088
37947,B247/S01345,0.0,0.0,16.0,32.0,0,False,,256,106424
38059,B247/S01357,0.0,0.0,13.0,32.0,0,False,,256,75323
38075,B247/S013457,0.0,0.0,18.0,32.0,0,False,,256,124937
38470,B1247/S126,0.0,0.0078125,8.5,32.0,1,False,30959,256,57795
38662,B1247/S128,0.0,0.00390625,8.0,32.0,1,False,29403,256,51413
38726,B1247/S1268,0.0,0.01171875,8.5,32.0,1,False,31391,256,57835
40974,B57/S123,0.0,0.0,64.0,0.0,0,False,,256,16384
41998,B257/S123,0.0,0.0,14.0,32.0,0,False,,256,86118
44188,B2357/S2347,0.0,0.0,12.0,32.0,0,False,,256,67044
44252,B2357/S23467,0.0,0.0,14.5,32.0,0,False,,256,89352
