rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
616,B1/S356,0.0,0.0,12.5,32.0,0,False,,256,92195
618,B1/S1356,0.0,0.0,15.0,32.0,0,False,,256,119794
1024,B2/S,0.0,0.0,13.0,31.25,0,False,,256,83510
2060,B3/S23,0.0,0.0,81.5,5.953125,0,False,,256,123316
2870,B13/S12458,0.0,0.0,14.0,32.0,0,False,,256,108308
4718,B14/S12356,0.0,0.0,14.5,32.0,0,False,,256,112088
4719,B14/S012356,0.0,0.0,15.0,32.0,0,False,,256,113141
5307,B24/S013457,0.0,0.0,26.0,32.0,0,False,,256,307545
6697,B134/S035,0.0,0.0,9.0,32.0,0,False,,256,65738
7959,B1234/S01248,0.0,0.00390625,8.0,32.0,1,False,32453,256,51324
11062,B135/S12458,0.0,0.0,11.5,32.0,0,False,,256,83565
11063,B135/S012458,0.0,0.0,11.5,32.0,0,False,,256,83857
14573,B345/S023567,0.0,0.21875,25.0,32.0,2,False,29760|29792,256,241090
14580,B345/S24567,0.0,0.0,256.0,0.33203125,0,False,,256,80718
15158,B1345/S12458,0.0,0.0,9.5,32.0,0,False,,256,65976
16951,B16/S01245,0.0,0.0,234.0,0.734375,0,False,,256,103438
17971,B126/S0145,0.0,0.0,10.5,32.0,0,False,,256,79454
17975,B126/S01245,0.0,0.0,14.0,32.0,0,False,,256,108978
18444,B36/S23,0.0,0.0,131.5,5.9765625,0,False,,256,111014
18470,B36/S125,0.0,0.0,195.5,12.60546875,0,False,,256,98224
18743,B36/S012458,0.0,0.2421875,25.5,32.0,3,False,3071|4031|7103,256,104892
22017,B1246/S0,0.0,0.00390625,7.0,32.0,1,False,24207,256,49575
22856,B346/S368,0.0,0.0,256.0,8.11328125,0,False,,256,64803
24343,B12346/S01248,0.0,0.0,7.5,32.0,0,False,,256,49627
25051,B56/S0134678,0.0,0.0,256.0,0.0,0,False,,256,65536
26167,B1256/S01245,0.0,0.0,10.5,32.0,0,False,,256,75298
30964,B3456/S24567,0.0,0.0625,100.5,1.5078125,1,False,13376,256,117117
31048,B3456/S368,0.0,0.0,256.0,12.02734375,0,False,,256,60560
31476,B13456/S24567,0.0,0.0,97.0,2.1484375,0,False,,256,146090
