substrate,rule,family,pair_id,source_form,condition_id,intervention,dose,geometry,operation,missing,outcomes,death_count,metadata
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,A,donor:d0.5:square:identity,donor,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0625, ""resolved"": 0.0625}, ""local_secondary"": {""p_a"": 0.0625, ""p_b"": 0.53125, ""resolved"": 0.59375}, ""primary"": {""p_a"": 0.1875, ""p_b"": 0.75, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.09375, ""persistent_p_b"": 0.5, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.1875, ""resolved"": 0.21875}, ""local_secondary"": {""p_a"": 0.125, ""p_b"": 0.59375, ""resolved"": 0.71875}, ""primary"": {""p_a"": 0.125, ""p_b"": 0.71875, ""resolved"": 0.84375}}, ""persistent_p_a"": 0.125, ""persistent_p_b"": 0.625, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.03125, ""resolved"": 0.03125}, ""local_secondary"": {""p_a"": 0.03125, ""p_b"": 0.34375, ""resolved"": 0.375}, ""primary"": {""p_a"": 0.1875, ""p_b"": 0.6875, ""resolved"": 0.875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [56]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,B,donor:d0.5:square:identity,donor,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.09375, ""p_b"": 0.0, ""resolved"": 0.09375}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.09375, ""p_b"": 0.0, ""resolved"": 0.09375}, ""local_secondary"": {""p_a"": 0.3125, ""p_b"": 0.4375, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.3125, ""p_b"": 0.59375, ""resolved"": 0.90625}}, ""persistent_p_a"": 0.1875, ""persistent_p_b"": 0.4375, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.09375, ""p_b"": 0.09375, ""resolved"": 0.1875}, ""local_secondary"": {""p_a"": 0.40625, ""p_b"": 0.375, ""resolved"": 0.78125}, ""primary"": {""p_a"": 0.46875, ""p_b"": 0.53125, ""resolved"": 1.0}}, ""persistent_p_a"": 0.34375, ""persistent_p_b"": 0.46875, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.28125, ""resolved"": 0.46875}, ""primary"": {""p_a"": 0.34375, ""p_b"": 0.53125, ""resolved"": 0.875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [61]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,A,ancestor:d0.5:square:identity,ancestor,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.125, ""resolved"": 0.125}, ""local_secondary"": {""p_a"": 0.125, ""p_b"": 0.3125, ""resolved"": 0.4375}, ""primary"": {""p_a"": 0.15625, ""p_b"": 0.65625, ""resolved"": 0.8125}}, ""persistent_p_a"": 0.0625, ""persistent_p_b"": 0.40625, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.09375, ""p_b"": 0.1875, ""resolved"": 0.28125}, ""local_secondary"": {""p_a"": 0.3125, ""p_b"": 0.4375, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.46875, ""p_b"": 0.53125, ""resolved"": 1.0}}, ""persistent_p_a"": 0.3125, ""persistent_p_b"": 0.375, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0625, ""resolved"": 0.0625}, ""local_secondary"": {""p_a"": 0.09375, ""p_b"": 0.53125, ""resolved"": 0.625}, ""primary"": {""p_a"": 0.125, ""p_b"": 0.8125, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [23]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,B,ancestor:d0.5:square:identity,ancestor,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.25, ""resolved"": 0.25}, ""local_secondary"": {""p_a"": 0.09375, ""p_b"": 0.78125, ""resolved"": 0.875}, ""primary"": {""p_a"": 0.09375, ""p_b"": 0.875, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.03125, ""persistent_p_b"": 0.8125, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.375, ""resolved"": 0.40625}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.625, ""resolved"": 0.8125}, ""primary"": {""p_a"": 0.1875, ""p_b"": 0.75, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.0625, ""persistent_p_b"": 0.6875, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.28125, ""resolved"": 0.28125}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.5625, ""resolved"": 0.5625}, ""primary"": {""p_a"": 0.0625, ""p_b"": 0.875, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [39]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,A,exact_random:d0.5:square:identity,exact_random,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.28125, ""resolved"": 0.3125}, ""local_secondary"": {""p_a"": 0.125, ""p_b"": 0.65625, ""resolved"": 0.78125}, ""primary"": {""p_a"": 0.125, ""p_b"": 0.84375, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.0625, ""persistent_p_b"": 0.8125, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.375, ""resolved"": 0.40625}, ""local_secondary"": {""p_a"": 0.15625, ""p_b"": 0.65625, ""resolved"": 0.8125}, ""primary"": {""p_a"": 0.1875, ""p_b"": 0.75, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.09375, ""persistent_p_b"": 0.6875, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.25, ""resolved"": 0.25}, ""local_secondary"": {""p_a"": 0.03125, ""p_b"": 0.5625, ""resolved"": 0.59375}, ""primary"": {""p_a"": 0.0625, ""p_b"": 0.90625, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [58]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,B,exact_random:d0.5:square:identity,exact_random,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.375, ""p_b"": 0.21875, ""resolved"": 0.59375}, ""primary"": {""p_a"": 0.5, ""p_b"": 0.4375, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.3125, ""persistent_p_b"": 0.375, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.09375, ""p_b"": 0.0625, ""resolved"": 0.15625}, ""local_secondary"": {""p_a"": 0.4375, ""p_b"": 0.3125, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.5, ""p_b"": 0.4375, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.40625, ""persistent_p_b"": 0.34375, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.28125, ""p_b"": 0.28125, ""resolved"": 0.5625}, ""primary"": {""p_a"": 0.40625, ""p_b"": 0.46875, ""resolved"": 0.875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""mask_cells"": 128, ""transmitted_live"": [60]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,A,block2:d0.5:square:identity,block2,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.15625, ""resolved"": 0.1875}, ""local_secondary"": {""p_a"": 0.15625, ""p_b"": 0.59375, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.21875, ""p_b"": 0.6875, ""resolved"": 0.90625}}, ""persistent_p_a"": 0.15625, ""persistent_p_b"": 0.5625, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0625, ""p_b"": 0.3125, ""resolved"": 0.375}, ""local_secondary"": {""p_a"": 0.25, ""p_b"": 0.59375, ""resolved"": 0.84375}, ""primary"": {""p_a"": 0.28125, ""p_b"": 0.6875, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.21875, ""persistent_p_b"": 0.5625, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.03125, ""resolved"": 0.03125}, ""local_secondary"": {""p_a"": 0.125, ""p_b"": 0.40625, ""resolved"": 0.53125}, ""primary"": {""p_a"": 0.25, ""p_b"": 0.71875, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""block"": 2, ""mask_cells"": 128, ""transmitted_live"": [54]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,B,block2:d0.5:square:identity,block2,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.15625, ""p_b"": 0.03125, ""resolved"": 0.1875}, ""local_secondary"": {""p_a"": 0.6875, ""p_b"": 0.1875, ""resolved"": 0.875}, ""primary"": {""p_a"": 0.75, ""p_b"": 0.21875, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.625, ""persistent_p_b"": 0.15625, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.3125, ""p_b"": 0.0625, ""resolved"": 0.375}, ""local_secondary"": {""p_a"": 0.6875, ""p_b"": 0.1875, ""resolved"": 0.875}, ""primary"": {""p_a"": 0.6875, ""p_b"": 0.25, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.65625, ""persistent_p_b"": 0.21875, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.03125, ""resolved"": 0.03125}, ""local_secondary"": {""p_a"": 0.625, ""p_b"": 0.125, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.75, ""p_b"": 0.1875, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}}",0,"{""block"": 2, ""mask_cells"": 128, ""transmitted_live"": [60]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,A,conditional_null:d0.5:square:identity,conditional_null,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.125, ""resolved"": 0.125}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.15625, ""resolved"": 0.15625}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.53125, ""resolved"": 0.71875}, ""primary"": {""p_a"": 0.3125, ""p_b"": 0.625, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.125, ""persistent_p_b"": 0.59375, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.21875, ""resolved"": 0.25}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.5625, ""resolved"": 0.75}, ""primary"": {""p_a"": 0.28125, ""p_b"": 0.65625, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.21875, ""persistent_p_b"": 0.625, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.125, ""resolved"": 0.125}, ""local_secondary"": {""p_a"": 0.03125, ""p_b"": 0.40625, ""resolved"": 0.4375}, ""primary"": {""p_a"": 0.125, ""p_b"": 0.625, ""resolved"": 0.75}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.09375, ""survival"": 1.0, ""valid"": 32}}",0,"{""conditional_null"": {""best"": {""component_cosine"": 0.9999999999999998, ""neighbor_error"": 0.33333333333333337, ""structure_error"": 0.3281232713578136}, ""generated"": 4096, ""mean"": {""component_cosine"": 0.9161206023444933, ""neighbor_error"": 0.4166666666666667, ""structure_error"": 0.2974868424843629}, ""retained"": 32, ""target_live"": 60}, ""mask_cells"": 128, ""transmitted_live"": [60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]}"
life,31649,local,life-31649-local-e2da5ccff13d00f9-188c8f25a6d691a2-0000,B,conditional_null:d0.5:square:identity,conditional_null,0.5,square,identity,False,"{""1"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_secondary"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""primary"": {""p_a"": 0.0, ""p_b"": 0.15625, ""resolved"": 0.15625}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.0, ""survival"": 1.0, ""valid"": 32}, ""16"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.03125, ""p_b"": 0.21875, ""resolved"": 0.25}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.5, ""resolved"": 0.6875}, ""primary"": {""p_a"": 0.25, ""p_b"": 0.6875, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.15625, ""persistent_p_b"": 0.5625, ""survival"": 1.0, ""valid"": 32}, ""32"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.28125, ""resolved"": 0.28125}, ""local_secondary"": {""p_a"": 0.1875, ""p_b"": 0.5, ""resolved"": 0.6875}, ""primary"": {""p_a"": 0.25, ""p_b"": 0.6875, ""resolved"": 0.9375}}, ""persistent_p_a"": 0.1875, ""persistent_p_b"": 0.6875, ""survival"": 1.0, ""valid"": 32}, ""8"": {""n"": 32, ""observers"": {""global"": {""p_a"": 0.0, ""p_b"": 0.0, ""resolved"": 0.0}, ""local_aux"": {""p_a"": 0.0, ""p_b"": 0.25, ""resolved"": 0.25}, ""local_secondary"": {""p_a"": 0.21875, ""p_b"": 0.4375, ""resolved"": 0.65625}, ""primary"": {""p_a"": 0.34375, ""p_b"": 0.625, ""resolved"": 0.96875}}, ""persistent_p_a"": 0.0, ""persistent_p_b"": 0.15625, ""survival"": 1.0, ""valid"": 32}}",0,"{""conditional_null"": {""best"": {""component_cosine"": 0.9428090415820631, ""neighbor_error"": 0.5396825396825397, ""structure_error"": 0.28600940521875945}, ""generated"": 4096, ""mean"": {""component_cosine"": 0.7192116243397784, ""neighbor_error"": 0.6557539682539681, ""structure_error"": 0.30902637534970656}, ""retained"": 32, ""target_live"": 63}, ""mask_cells"": 128, ""transmitted_live"": [63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63]}"
