substrate,donor_rule,host_rule,native,donor_id,donor_kind,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,11,11,True,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,10,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,9,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,15,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,3,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,27,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,43,False,eca-11-0-0,switcher,0,4,1.0,"{""multiscale"": 4, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",4
eca,11,75,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,139,False,eca-11-0-0,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,11,True,eca-11-1-1,switcher,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,10,False,eca-11-1-1,switcher,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
