substrate,rule,donor_id,donor_kind,intervention,fraction,transmitted_sites,transmitted_live,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,11,eca-11-0-0,switcher,intact,1.0,64,31,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,ancestor,1.0,64,48,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-0-0,switcher,one_interval,0.25,16,9,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,two_interval,0.25,16,8,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,dispersed,0.25,16,11,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,shuffled,0.25,16,7,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,density_random,0.25,16,8,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-0-0,switcher,one_interval,0.5,32,16,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,two_interval,0.5,32,15,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,dispersed,0.5,32,13,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,shuffled,0.5,32,15,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,density_random,0.5,32,16,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,one_interval,0.75,48,23,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,two_interval,0.75,48,23,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,dispersed,0.75,48,22,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,shuffled,0.75,48,23,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-0-0,switcher,density_random,0.75,48,23,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-1-1,switcher,intact,1.0,64,30,0,3,0.75,"{""multiscale"": 4, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 1.0, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,ancestor,1.0,64,60,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,one_interval,0.25,16,7,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,two_interval,0.25,16,9,0,2,0.5,"{""multiscale"": 3, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.75, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-1-1,switcher,dispersed,0.25,16,10,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,shuffled,0.25,16,7,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,density_random,0.25,16,8,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,one_interval,0.5,32,16,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-1-1,switcher,two_interval,0.5,32,16,0,4,1.0,"{""multiscale"": 4, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",4
eca,11,eca-11-1-1,switcher,dispersed,0.5,32,10,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-1-1,switcher,shuffled,0.5,32,15,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-1-1,switcher,density_random,0.5,32,15,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,one_interval,0.75,48,22,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-1-1,switcher,two_interval,0.75,48,22,0,4,1.0,"{""multiscale"": 4, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",4
eca,11,eca-11-1-1,switcher,dispersed,0.75,48,24,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-1-1,switcher,shuffled,0.75,48,22,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-1-1,switcher,density_random,0.75,48,22,0,2,0.5,"{""multiscale"": 3, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.75, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,intact,1.0,64,29,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-2-2,switcher,ancestor,1.0,64,56,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-2-2,switcher,one_interval,0.25,16,6,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-2-2,switcher,two_interval,0.25,16,8,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-2-2,switcher,dispersed,0.25,16,9,0,0,0.0,"{""multiscale"": 1, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.25, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-2-2,switcher,shuffled,0.25,16,8,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-2-2,switcher,density_random,0.25,16,7,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-2-2,switcher,one_interval,0.5,32,14,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,two_interval,0.5,32,16,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,dispersed,0.5,32,13,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-2-2,switcher,shuffled,0.5,32,13,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,density_random,0.5,32,14,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,one_interval,0.75,48,21,0,4,1.0,"{""multiscale"": 3, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 0.75, ""primary"": 1.0, ""raw4"": 1.0}",4
eca,11,eca-11-2-2,switcher,two_interval,0.75,48,23,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-2-2,switcher,dispersed,0.75,48,20,0,2,0.5,"{""multiscale"": 3, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.75, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-2-2,switcher,shuffled,0.75,48,22,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,11,eca-11-2-2,switcher,density_random,0.75,48,22,0,1,0.25,"{""multiscale"": 2, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.5, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-4-4,switcher,intact,1.0,64,33,0,1,0.25,"{""multiscale"": 2, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.5, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-4-4,switcher,ancestor,1.0,64,7,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-4-4,switcher,one_interval,0.25,16,9,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-4-4,switcher,two_interval,0.25,16,7,0,2,0.5,"{""multiscale"": 3, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.75, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-4-4,switcher,dispersed,0.25,16,9,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-4-4,switcher,shuffled,0.25,16,11,0,2,0.5,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-4-4,switcher,density_random,0.25,16,8,0,1,0.25,"{""multiscale"": 2, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.5, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-4-4,switcher,one_interval,0.5,32,15,0,3,0.75,"{""multiscale"": 4, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 1.0, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-4-4,switcher,two_interval,0.5,32,16,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-4-4,switcher,dispersed,0.5,32,19,0,1,0.25,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.25, ""primary"": 0.25, ""raw4"": 0.25}",4
eca,11,eca-11-4-4,switcher,shuffled,0.5,32,16,0,3,0.75,"{""multiscale"": 3, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",4
eca,11,eca-11-4-4,switcher,density_random,0.5,32,16,0,2,0.5,"{""multiscale"": 3, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.75, ""primary"": 0.5, ""raw4"": 0.5}",4
eca,11,eca-11-4-4,switcher,one_interval,0.75,48,23,0,4,1.0,"{""multiscale"": 4, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",4
