substrate,rule,donor_id,donor_kind,intervention,fraction,transmitted_sites,transmitted_live,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,11,eca-11-0-0,switcher,intact,1.0,64,31,0,10,0.625,"{""multiscale"": 11, ""primary"": 10, ""raw4"": 10}","{""multiscale"": 0.6875, ""primary"": 0.625, ""raw4"": 0.625}",16
eca,11,eca-11-0-0,switcher,ancestor,1.0,64,58,0,12,0.75,"{""multiscale"": 12, ""primary"": 12, ""raw4"": 12}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",16
eca,11,eca-11-0-0,switcher,one_interval,0.25,16,7,0,7,0.4375,"{""multiscale"": 8, ""primary"": 7, ""raw4"": 7}","{""multiscale"": 0.5, ""primary"": 0.4375, ""raw4"": 0.4375}",16
eca,11,eca-11-0-0,switcher,two_interval,0.25,16,9,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,dispersed,0.25,16,8,0,4,0.25,"{""multiscale"": 5, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 0.3125, ""primary"": 0.25, ""raw4"": 0.25}",16
eca,11,eca-11-0-0,switcher,shuffled,0.25,16,7,0,8,0.5,"{""multiscale"": 8, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-0-0,switcher,density_random,0.25,16,8,0,9,0.5625,"{""multiscale"": 10, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,one_interval,0.5,32,15,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,two_interval,0.5,32,14,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,dispersed,0.5,32,16,0,5,0.3125,"{""multiscale"": 8, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.5, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-0-0,switcher,shuffled,0.5,32,15,0,7,0.4375,"{""multiscale"": 9, ""primary"": 7, ""raw4"": 7}","{""multiscale"": 0.5625, ""primary"": 0.4375, ""raw4"": 0.4375}",16
eca,11,eca-11-0-0,switcher,density_random,0.5,32,16,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,one_interval,0.75,48,23,0,11,0.6875,"{""multiscale"": 12, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.75, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-0-0,switcher,two_interval,0.75,48,23,0,7,0.4375,"{""multiscale"": 11, ""primary"": 7, ""raw4"": 7}","{""multiscale"": 0.6875, ""primary"": 0.4375, ""raw4"": 0.4375}",16
eca,11,eca-11-0-0,switcher,dispersed,0.75,48,23,0,8,0.5,"{""multiscale"": 9, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-0-0,switcher,shuffled,0.75,48,23,0,10,0.625,"{""multiscale"": 13, ""primary"": 10, ""raw4"": 10}","{""multiscale"": 0.8125, ""primary"": 0.625, ""raw4"": 0.625}",16
eca,11,eca-11-0-0,switcher,density_random,0.75,48,23,0,9,0.5625,"{""multiscale"": 11, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.6875, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,intact,1.0,64,32,0,10,0.625,"{""multiscale"": 14, ""primary"": 10, ""raw4"": 10}","{""multiscale"": 0.875, ""primary"": 0.625, ""raw4"": 0.625}",16
eca,11,eca-11-1-1,switcher,ancestor,1.0,64,57,0,10,0.625,"{""multiscale"": 10, ""primary"": 10, ""raw4"": 10}","{""multiscale"": 0.625, ""primary"": 0.625, ""raw4"": 0.625}",16
eca,11,eca-11-1-1,switcher,one_interval,0.25,16,6,0,6,0.375,"{""multiscale"": 7, ""primary"": 6, ""raw4"": 6}","{""multiscale"": 0.4375, ""primary"": 0.375, ""raw4"": 0.375}",16
eca,11,eca-11-1-1,switcher,two_interval,0.25,16,9,0,11,0.6875,"{""multiscale"": 12, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.75, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,dispersed,0.25,16,6,0,11,0.6875,"{""multiscale"": 12, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.75, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,shuffled,0.25,16,6,0,6,0.375,"{""multiscale"": 7, ""primary"": 6, ""raw4"": 6}","{""multiscale"": 0.4375, ""primary"": 0.375, ""raw4"": 0.375}",16
eca,11,eca-11-1-1,switcher,density_random,0.25,16,8,0,8,0.5,"{""multiscale"": 9, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-1-1,switcher,one_interval,0.5,32,18,0,9,0.5625,"{""multiscale"": 13, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.8125, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,two_interval,0.5,32,15,0,9,0.5625,"{""multiscale"": 12, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.75, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,dispersed,0.5,32,17,0,9,0.5625,"{""multiscale"": 11, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.6875, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,shuffled,0.5,32,18,0,11,0.6875,"{""multiscale"": 11, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.6875, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,density_random,0.5,32,16,0,11,0.6875,"{""multiscale"": 11, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.6875, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,one_interval,0.75,48,24,0,9,0.5625,"{""multiscale"": 12, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.75, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,two_interval,0.75,48,25,0,11,0.6875,"{""multiscale"": 12, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.75, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,dispersed,0.75,48,23,0,11,0.6875,"{""multiscale"": 11, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.6875, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,shuffled,0.75,48,24,0,9,0.5625,"{""multiscale"": 10, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,density_random,0.75,48,24,0,11,0.6875,"{""multiscale"": 11, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.6875, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-2-2,switcher,intact,1.0,64,30,0,8,0.5,"{""multiscale"": 10, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-2-2,switcher,ancestor,1.0,64,58,0,5,0.3125,"{""multiscale"": 8, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.5, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-2-2,switcher,one_interval,0.25,16,7,0,5,0.3125,"{""multiscale"": 8, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.5, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-2-2,switcher,two_interval,0.25,16,7,0,5,0.3125,"{""multiscale"": 7, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.4375, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-2-2,switcher,dispersed,0.25,16,6,0,7,0.4375,"{""multiscale"": 7, ""primary"": 7, ""raw4"": 7}","{""multiscale"": 0.4375, ""primary"": 0.4375, ""raw4"": 0.4375}",16
eca,11,eca-11-2-2,switcher,shuffled,0.25,16,7,0,9,0.5625,"{""multiscale"": 13, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.8125, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-2-2,switcher,density_random,0.25,16,8,0,8,0.5,"{""multiscale"": 11, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.6875, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-2-2,switcher,one_interval,0.5,32,15,0,9,0.5625,"{""multiscale"": 11, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.6875, ""primary"": 0.5625, ""raw4"": 0.5625}",16
