substrate,rule,donor_id,donor_kind,intervention,eta_multiplier,epsilon_multiplier,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,11,eca-11-0-0,switcher,intact,0,0,0,16,1.0,"{""multiscale"": 16, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-0-0,switcher,intact,0,1,0,16,1.0,"{""multiscale"": 16, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-0-0,switcher,intact,0,2,0,16,1.0,"{""multiscale"": 15, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 0.9375, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-0-0,switcher,intact,1,0,0,12,0.75,"{""multiscale"": 13, ""primary"": 12, ""raw4"": 12}","{""multiscale"": 0.8125, ""primary"": 0.75, ""raw4"": 0.75}",16
eca,11,eca-11-0-0,switcher,intact,1,1,0,12,0.75,"{""multiscale"": 12, ""primary"": 12, ""raw4"": 12}","{""multiscale"": 0.75, ""primary"": 0.75, ""raw4"": 0.75}",16
eca,11,eca-11-0-0,switcher,intact,1,2,0,8,0.5,"{""multiscale"": 10, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-0-0,switcher,intact,2,0,0,5,0.3125,"{""multiscale"": 6, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.375, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-0-0,switcher,intact,2,1,0,4,0.25,"{""multiscale"": 5, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 0.3125, ""primary"": 0.25, ""raw4"": 0.25}",16
eca,11,eca-11-0-0,switcher,intact,2,2,0,0,0.0,"{""multiscale"": 2, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.125, ""primary"": 0.0, ""raw4"": 0.0}",16
eca,11,eca-11-0-0,switcher,structured_half,0,0,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",16
eca,11,eca-11-0-0,switcher,structured_half,0,1,0,1,0.0625,"{""multiscale"": 3, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.1875, ""primary"": 0.0625, ""raw4"": 0.0625}",16
eca,11,eca-11-0-0,switcher,structured_half,0,2,0,8,0.5,"{""multiscale"": 9, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-0-0,switcher,structured_half,1,0,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,structured_half,1,1,0,5,0.3125,"{""multiscale"": 6, ""primary"": 5, ""raw4"": 5}","{""multiscale"": 0.375, ""primary"": 0.3125, ""raw4"": 0.3125}",16
eca,11,eca-11-0-0,switcher,structured_half,1,2,0,9,0.5625,"{""multiscale"": 10, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-0-0,switcher,structured_half,2,0,0,1,0.0625,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.0625, ""primary"": 0.0625, ""raw4"": 0.0625}",16
eca,11,eca-11-0-0,switcher,structured_half,2,1,0,3,0.1875,"{""multiscale"": 5, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.3125, ""primary"": 0.1875, ""raw4"": 0.1875}",16
eca,11,eca-11-0-0,switcher,structured_half,2,2,0,2,0.125,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.125, ""primary"": 0.125, ""raw4"": 0.125}",16
eca,11,eca-11-1-1,switcher,intact,0,0,0,16,1.0,"{""multiscale"": 16, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-1-1,switcher,intact,0,1,0,13,0.8125,"{""multiscale"": 13, ""primary"": 13, ""raw4"": 13}","{""multiscale"": 0.8125, ""primary"": 0.8125, ""raw4"": 0.8125}",16
eca,11,eca-11-1-1,switcher,intact,0,2,0,14,0.875,"{""multiscale"": 14, ""primary"": 14, ""raw4"": 14}","{""multiscale"": 0.875, ""primary"": 0.875, ""raw4"": 0.875}",16
eca,11,eca-11-1-1,switcher,intact,1,0,0,10,0.625,"{""multiscale"": 15, ""primary"": 10, ""raw4"": 10}","{""multiscale"": 0.9375, ""primary"": 0.625, ""raw4"": 0.625}",16
eca,11,eca-11-1-1,switcher,intact,1,1,0,8,0.5,"{""multiscale"": 9, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-1-1,switcher,intact,1,2,0,11,0.6875,"{""multiscale"": 11, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.6875, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-1-1,switcher,intact,2,0,0,3,0.1875,"{""multiscale"": 4, ""primary"": 3, ""raw4"": 3}","{""multiscale"": 0.25, ""primary"": 0.1875, ""raw4"": 0.1875}",16
eca,11,eca-11-1-1,switcher,intact,2,1,0,0,0.0,"{""multiscale"": 3, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.1875, ""primary"": 0.0, ""raw4"": 0.0}",16
eca,11,eca-11-1-1,switcher,intact,2,2,0,2,0.125,"{""multiscale"": 2, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.125, ""primary"": 0.125, ""raw4"": 0.125}",16
eca,11,eca-11-1-1,switcher,structured_half,0,0,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",16
eca,11,eca-11-1-1,switcher,structured_half,0,1,0,1,0.0625,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.0625, ""primary"": 0.0625, ""raw4"": 0.0625}",16
eca,11,eca-11-1-1,switcher,structured_half,0,2,0,6,0.375,"{""multiscale"": 7, ""primary"": 6, ""raw4"": 6}","{""multiscale"": 0.4375, ""primary"": 0.375, ""raw4"": 0.375}",16
eca,11,eca-11-1-1,switcher,structured_half,1,0,0,8,0.5,"{""multiscale"": 9, ""primary"": 8, ""raw4"": 8}","{""multiscale"": 0.5625, ""primary"": 0.5, ""raw4"": 0.5}",16
eca,11,eca-11-1-1,switcher,structured_half,1,1,0,6,0.375,"{""multiscale"": 7, ""primary"": 6, ""raw4"": 6}","{""multiscale"": 0.4375, ""primary"": 0.375, ""raw4"": 0.375}",16
eca,11,eca-11-1-1,switcher,structured_half,1,2,0,9,0.5625,"{""multiscale"": 8, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-1-1,switcher,structured_half,2,0,0,4,0.25,"{""multiscale"": 5, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 0.3125, ""primary"": 0.25, ""raw4"": 0.25}",16
eca,11,eca-11-1-1,switcher,structured_half,2,1,0,2,0.125,"{""multiscale"": 4, ""primary"": 2, ""raw4"": 2}","{""multiscale"": 0.25, ""primary"": 0.125, ""raw4"": 0.125}",16
eca,11,eca-11-1-1,switcher,structured_half,2,2,0,4,0.25,"{""multiscale"": 6, ""primary"": 4, ""raw4"": 4}","{""multiscale"": 0.375, ""primary"": 0.25, ""raw4"": 0.25}",16
eca,11,eca-11-2-2,switcher,intact,0,0,0,16,1.0,"{""multiscale"": 16, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-2-2,switcher,intact,0,1,0,16,1.0,"{""multiscale"": 16, ""primary"": 16, ""raw4"": 16}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",16
eca,11,eca-11-2-2,switcher,intact,0,2,0,15,0.9375,"{""multiscale"": 15, ""primary"": 15, ""raw4"": 15}","{""multiscale"": 0.9375, ""primary"": 0.9375, ""raw4"": 0.9375}",16
eca,11,eca-11-2-2,switcher,intact,1,0,0,12,0.75,"{""multiscale"": 11, ""primary"": 12, ""raw4"": 12}","{""multiscale"": 0.6875, ""primary"": 0.75, ""raw4"": 0.75}",16
eca,11,eca-11-2-2,switcher,intact,1,1,0,11,0.6875,"{""multiscale"": 12, ""primary"": 11, ""raw4"": 11}","{""multiscale"": 0.75, ""primary"": 0.6875, ""raw4"": 0.6875}",16
eca,11,eca-11-2-2,switcher,intact,1,2,0,9,0.5625,"{""multiscale"": 9, ""primary"": 9, ""raw4"": 9}","{""multiscale"": 0.5625, ""primary"": 0.5625, ""raw4"": 0.5625}",16
eca,11,eca-11-2-2,switcher,intact,2,0,0,1,0.0625,"{""multiscale"": 7, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 0.4375, ""primary"": 0.0625, ""raw4"": 0.0625}",16
