substrate,rule,donor_id,donor_kind,intervention,fraction,transmitted_sites,transmitted_live,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,35,eca-35-0-0,switcher,intact,1.0,64,24,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,ancestor,1.0,64,60,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,one_interval,0.25,16,6,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,two_interval,0.25,16,5,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,dispersed,0.25,16,9,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,shuffled,0.25,16,6,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,density_random,0.25,16,6,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,one_interval,0.5,32,10,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,two_interval,0.5,32,11,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,dispersed,0.5,32,13,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,shuffled,0.5,32,10,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,density_random,0.5,32,12,0,0,0.0,"{""multiscale"": 1, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 1.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,one_interval,0.75,48,18,0,0,0.0,"{""multiscale"": 1, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 1.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,two_interval,0.75,48,18,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,dispersed,0.75,48,18,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,shuffled,0.75,48,18,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,35,eca-35-0-0,switcher,density_random,0.75,48,18,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,intact,1.0,64,33,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,ancestor,1.0,64,27,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,one_interval,0.25,16,10,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,two_interval,0.25,16,8,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,dispersed,0.25,16,8,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,shuffled,0.25,16,10,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,density_random,0.25,16,8,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,one_interval,0.5,32,16,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,two_interval,0.5,32,17,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,dispersed,0.5,32,16,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,shuffled,0.5,32,16,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,density_random,0.5,32,16,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,one_interval,0.75,48,27,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,two_interval,0.75,48,24,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,dispersed,0.75,48,19,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
eca,90,eca-90-0-0,maintainer,shuffled,0.75,48,27,0,1,1.0,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",1
