substrate,rule,donor_id,arm,donor_kind,depths,final_leaves,final_success_count,final_success_rate
eca,35,eca-35-0-0,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.75, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}]",4,1,0.25
eca,35,eca-35-0-0,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,0,0.0
eca,35,eca-35-0-0,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.25, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}]",4,1,0.25
eca,90,eca-90-0-0,intact,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,4,1.0
eca,90,eca-90-0-0,complementary_half,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,4,1.0
eca,90,eca-90-0-0,shuffled_half,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,4,1.0
life,2060,life-2060-4-4,intact,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,4,1.0
life,2060,life-2060-4-4,complementary_half,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.5, ""nodes"": 4, ""sibling_concordance"": 0.0, ""survivors"": 3}]",3,0,0.0
life,2060,life-2060-4-4,shuffled_half,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.25, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}]",4,1,0.25
life,18444,life-18444-6-6,intact,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}]",4,4,1.0
life,18444,life-18444-6-6,complementary_half,maintainer,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.25, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 3}]",3,0,0.0
life,18444,life-18444-6-6,shuffled_half,maintainer,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 1}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}]",2,0,0.0
