death_count,donor_id,epsilon_multiplier,eta_multiplier,intervention,n,observer_success_counts,observer_success_rates,rule,substrate,success_count,success_rate
0,eca-35-0-0,0,0,intact,1,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",35,eca,1,1.0
0,eca-35-0-0,1,0,intact,1,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",35,eca,1,1.0
0,eca-35-0-0,2,0,intact,1,"{""multiscale"": 1, ""primary"": 1, ""raw4"": 1}","{""multiscale"": 1.0, ""primary"": 1.0, ""raw4"": 1.0}",35,eca,1,1.0
0,eca-35-0-0,0,1,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,1,1,intact,1,"{""multiscale"": 1, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 1.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,2,1,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,0,2,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,1,2,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,2,2,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,0,0,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,1,0,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,2,0,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,0,1,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,1,1,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,2,1,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,0,2,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,1,2,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
0,eca-35-0-0,2,2,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",35,eca,0,0.0
1,eca-90-0-0,0,0,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",90,eca,0,0.0
0,eca-90-0-0,1,0,intact,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",90,eca,0,0.0
0,eca-90-0-0,2,0,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,0,1,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,1,1,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,2,1,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,0,2,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,1,2,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,2,2,intact,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
1,eca-90-0-0,0,0,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",90,eca,0,0.0
0,eca-90-0-0,1,0,structured_half,1,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",90,eca,0,0.0
0,eca-90-0-0,2,0,structured_half,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,0,1,structured_half,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,1,1,structured_half,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,2,1,structured_half,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
0,eca-90-0-0,0,2,structured_half,1,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 1.0, ""raw4"": 0.0}",90,eca,1,1.0
