rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0.00048828125,0,,,0.0,0.0,0.0,0.0,2048
1,2,False,0.146484375,0.8486328125,5.0,29.6640625,2,0|1,32769|32771,0.125,0.0,1.0,0.25,2048
2,2,False,0.00537109375,0.21240234375,17.0,31.9541015625,2,2|3,5|17,0.125,0.25,0.0,0.25,2048
3,2,False,0.060546875,0.9609375,5.0,31.240234375,3,4|5|6,32779|33027|36873,0.25,0.25,1.0,0.3333333333333333,2048
4,2,False,0.0,0.0,128.0,0.0,0,,,0.125,0.0,0.0,0.25,2048
5,2,False,0.01904296875,0.955078125,6.0,31.80615234375,1,7,33825,0.25,0.0,1.0,0.3333333333333333,2048
6,2,False,0.01416015625,0.8037109375,16.0,31.845703125,2,8|9,259|275,0.25,0.25,0.0,0.5,2048
7,2,False,0.00439453125,0.84326171875,5.0,25.45556640625,3,1|10|11,1|32768|32769,0.375,0.25,1.0,0.4166666666666667,2048
8,1,False,0.0,0.0,128.0,0.00048828125,0,,,0.125,0.25,0.0,0.25,2048
9,2,False,0.02392578125,0.90234375,7.0,31.69677734375,1,8,275,0.25,0.25,1.0,0.5,2048
10,2,False,0.0107421875,0.353515625,13.0,31.91455078125,4,8|12|13|14,21|23|263|275,0.25,0.5,0.0,0.3333333333333333,2048
11,2,False,0.33984375,0.8466796875,6.0,27.48291015625,1,15,4616,0.375,0.5,1.0,0.4166666666666667,2048
12,2,False,0.0,0.0,128.0,0.0,0,,,0.25,0.25,0.0,0.3333333333333333,2048
13,2,False,0.00048828125,0.3125,73.0,2.4765625,1,16,1056,0.375,0.25,1.0,0.4166666666666667,2048
14,2,False,0.03271484375,0.28955078125,13.0,31.52880859375,1,17,4168,0.375,0.5,0.0,0.4166666666666667,2048
