rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0,0,,,0.0,0.0,0.0,0.0,2048
1,2,False,0.06787109375,0.93505859375,5.0,31.970703125,2,109|110,32769|32771,0.125,0.0,1.0,0.25,2048
2,2,False,0.00732421875,0.29345703125,12.0,32,2,1|2,5|17,0.125,0.25,0.0,0.25,2048
3,2,False,0.0361328125,0.99853515625,5.0,32,1,111,33027,0.25,0.25,1.0,0.3333333333333333,2048
4,2,False,0.001953125,0.6982421875,128.0,32,2,1|2,5|17,0.125,0.0,0.0,0.25,2048
5,2,False,0.01025390625,0.986328125,8.0,32,1,114,33825,0.25,0.0,1.0,0.3333333333333333,2048
6,2,False,0.02392578125,0.892578125,12.0,32,1,6,259,0.25,0.25,0.0,0.5,2048
7,2,False,0.22119140625,1.0,5.0,31.71044921875,1,109,32769,0.375,0.25,1.0,0.4166666666666667,2048
8,1,False,0.00048828125,0.16015625,128.0,0.9765625,1,0,1,0.125,0.25,0.0,0.25,2048
9,2,False,0.041015625,0.96435546875,7.0,32,2,7|112,263|33031,0.25,0.25,1.0,0.5,2048
10,2,False,0.015625,0.38232421875,11.0,32,1,4,23,0.25,0.5,0.0,0.3333333333333333,2048
11,2,False,0.6611328125,0.9091796875,7.0,32,1,40,4616,0.375,0.5,1.0,0.4166666666666667,2048
12,2,False,0.0009765625,0.8583984375,128.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,2048
13,2,False,0.81396484375,0.84619140625,128.0,32,1,20,1056,0.375,0.25,1.0,0.4166666666666667,2048
14,2,False,0.85546875,0.919921875,10.0,32,1,37,4168,0.375,0.5,0.0,0.4166666666666667,2048
15,2,False,0.0009765625,0.9794921875,8.0,32,10,18|84|103|146|147|148|152|165|172|184,863|20879|31114|50595|51591|52387|53643|57739|59779|63625,0.5,0.5,1.0,0.3333333333333333,2048
18,3,False,0.00830078125,0.98388671875,8.0,32,1,4,23,0.25,0.0,0.0,0.5,2048
19,2,False,0.17333984375,0.99169921875,5.0,31.95751953125,1,109,32769,0.375,0.0,1.0,0.4166666666666667,2048
22,3,False,0.001953125,0.99658203125,8.0,32,3,7|9|10,263|275|279,0.375,0.0,0.0,0.75,2048
23,2,False,0.1103515625,0.8955078125,5.0,31.92626953125,1,109,32769,0.5,0.0,1.0,0.5,2048
24,2,False,0.0869140625,0.416015625,12.0,32,2,1|2,5|17,0.25,0.5,0.0,0.5,2048
25,2,False,0.04345703125,0.96728515625,6.0,32,1,11,295,0.375,0.5,1.0,0.5833333333333334,2048
26,2,True,0.0,0.9990234375,7.0,32,2,23|24,1111|1141,0.375,0.25,0.0,0.5833333333333334,2048
27,2,False,0.02099609375,0.9775390625,5.0,32,6,139|140|141|162|163|169,49283|49291|49539|57473|57475|59521,0.5,0.25,1.0,0.5,2048
28,2,False,0.90966796875,0.9453125,35.0,32,1,20,1056,0.375,0.5,0.0,0.5833333333333334,2048
29,2,False,0.00244140625,0.96142578125,11.0,32,2,32|62,3124|11300,0.5,0.5,1.0,0.5,2048
30,3,False,0.0,1.0,8.0,32,13,81|85|88|113|122|143|144|152|164|165|173|183|184,16799|21387|22919|33183|37151|49563|49819|53643|57499|57739|60041|62089|63625,0.5,0.25,0.0,0.6666666666666666,2048
32,1,False,0.0,0.0859375,128.0,0.8994140625,1,0,1,0.125,0.0,0.0,0.25,2048
33,2,False,0.162109375,0.89990234375,6.0,32,1,110,32771,0.25,0.0,1.0,0.5,2048
34,2,False,0.01611328125,0.20361328125,8.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,2048
