rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0,0,,,0.0,0.0,0.0,0.0,2048
1,2,False,0.279296875,0.990234375,5.0,31.9677734375,2,112|113,32769|32771,0.125,0.0,1.0,0.25,2048
2,2,False,0.00439453125,0.24755859375,12.0,32,2,1|2,5|17,0.125,0.25,0.0,0.25,2048
3,2,False,0.09326171875,0.99853515625,5.0,32,1,114,33027,0.25,0.25,1.0,0.3333333333333333,2048
4,2,False,0.00830078125,0.66357421875,128.0,31.97265625,2,1|2,5|17,0.125,0.0,0.0,0.25,2048
5,2,False,0.01025390625,0.98486328125,8.0,32,1,117,33825,0.25,0.0,1.0,0.3333333333333333,2048
6,2,False,0.00732421875,0.865234375,12.0,32,2,6|7,259|263,0.25,0.25,0.0,0.5,2048
7,2,False,0.005859375,0.83544921875,5.0,31.99365234375,1,112,32769,0.375,0.25,1.0,0.4166666666666667,2048
8,1,False,0.0,0.0,128.0,0,0,,,0.125,0.25,0.0,0.25,2048
9,2,False,0.00830078125,0.89111328125,7.0,32,3,7|36|115,263|4359|33031,0.25,0.25,1.0,0.5,2048
10,2,False,0.021484375,0.4267578125,11.0,32,3,4|7|9,23|263|275,0.25,0.5,0.0,0.3333333333333333,2048
11,2,False,0.048828125,0.525390625,7.0,32,1,38,4616,0.375,0.5,1.0,0.4166666666666667,2048
12,2,False,0.00048828125,0.8759765625,128.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,2048
13,2,False,0.0009765625,0.0087890625,128.0,32,1,18,1056,0.375,0.25,1.0,0.4166666666666667,2048
14,2,False,0.0078125,0.1181640625,10.0,32,1,33,4168,0.375,0.5,0.0,0.4166666666666667,2048
15,2,False,0.0009765625,0.978515625,8.0,32,12,48|49|85|102|110|116|125|143|148|156|161|177,5019|5067|14933|27019|30922|33567|37533|49559|53643|55945|57739|63625,0.5,0.5,1.0,0.3333333333333333,2048
18,3,False,0.00048828125,0.96044921875,8.0,32,1,4,23,0.25,0.0,0.0,0.5,2048
19,2,False,0.0703125,0.91015625,5.0,31.99267578125,1,112,32769,0.375,0.0,1.0,0.4166666666666667,2048
22,3,False,0.00146484375,0.99658203125,8.0,32,1,10,279,0.375,0.0,0.0,0.75,2048
23,2,False,0.0126953125,0.6728515625,5.0,32,1,112,32769,0.5,0.0,1.0,0.5,2048
24,2,False,0.01123046875,0.27490234375,12.0,32,2,1|2,5|17,0.25,0.5,0.0,0.5,2048
25,2,False,0.0048828125,0.89404296875,6.0,32,1,11,295,0.375,0.5,1.0,0.5833333333333334,2048
26,2,True,0.0,0.9951171875,7.0,32,2,21|22,1111|1141,0.375,0.25,0.0,0.5833333333333334,2048
27,2,False,0.01025390625,0.95751953125,5.0,32,5,141|142|159|160|164,49291|49539|57475|57481|59521,0.5,0.25,1.0,0.5,2048
28,2,False,0.001953125,0.07568359375,38.0,32,1,18,1056,0.375,0.5,0.0,0.5833333333333334,2048
29,2,False,0.0009765625,0.94482421875,11.0,32,2,31|66,3124|11300,0.5,0.5,1.0,0.5,2048
30,3,False,0.0,1.0,8.0,32,6,144|148|154|161|162|178,49563|53643|55683|57739|57747|63681,0.5,0.25,0.0,0.6666666666666666,2048
32,1,False,0.0,0.0,128.0,0,0,,,0.125,0.0,0.0,0.25,2048
33,2,False,0.06494140625,0.78076171875,6.0,32,1,113,32771,0.25,0.0,1.0,0.5,2048
34,2,False,0.02001953125,0.2509765625,8.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,2048
35,2,False,0.05908203125,0.255859375,6.0,32,3,14|15|39,533|534|4628,0.375,0.25,1.0,0.4166666666666667,2048
36,2,False,0.00146484375,0.25927734375,128.0,26.98193359375,1,0,1,0.25,0.0,0.0,0.5,2048
37,2,False,0.0087890625,0.85986328125,6.0,32,2,8|35,267|4355,0.375,0.0,1.0,0.5833333333333334,2048
38,2,False,0.0107421875,0.74462890625,11.0,32,1,7,263,0.375,0.25,0.0,0.5833333333333334,2048
40,1,False,0.0,0.0,128.0,0,0,,,0.25,0.25,0.0,0.5,2048
41,4,True,0.0,0.99951171875,7.0,32,1,10,279,0.375,0.25,1.0,0.75,2048
42,2,False,0.01904296875,0.51416015625,8.0,32,1,12,339,0.375,0.5,0.0,0.4166666666666667,2048
43,2,False,0.0029296875,0.09033203125,8.0,32,4,16|33|38|40,584|4168|4616|4672,0.5,0.5,1.0,0.5,2048
44,2,False,0.00048828125,0.56494140625,128.0,32,1,2,17,0.375,0.25,0.0,0.5833333333333334,2048
45,3,False,0.0,1.0,8.0,32,7,54|84|124|126|138|148|153,6507|14667|37323|39243|45387|53643|55497,0.5,0.25,1.0,0.6666666666666666,2048
46,2,False,0.01318359375,0.2099609375,10.0,32,1,34,4169,0.5,0.5,0.0,0.5,2048
50,2,False,0.05224609375,0.31103515625,5.0,32,1,18,1056,0.375,0.0,0.0,0.4166666666666667,2048
51,2,False,0.00146484375,0.99169921875,5.0,32,13,59|64|76|79|82|86|96|97|131|132|145|151|165,9852|11094|11892|12004|14056|14940|21212|21390|43573|43605|50595|54442|59541,0.5,0.0,1.0,0.3333333333333333,2048
54,4,True,0.0,0.9990234375,6.0,32,1,13,407,0.5,0.0,0.0,0.6666666666666666,2048
56,2,False,0.03857421875,0.22509765625,6.0,32,1,19,1060,0.375,0.5,0.0,0.5833333333333334,2048
57,2,False,0.00537109375,0.11962890625,5.0,32,1,18,1056,0.5,0.5,1.0,0.6666666666666666,2048
58,2,False,0.00244140625,0.04248046875,6.0,32,1,61,10304,0.5,0.25,0.0,0.5,2048
60,3,False,0.0,1.0,8.0,32,16,43|45|46|52|68|76|107|118|120|127|130|134|146|150|155|167,4943|4971|4974|5693|11559|11892|27880|34103|35159|39525|43287|44148|52897|54154|55686|59604,0.5,0.5,0.0,0.6666666666666666,2048
62,2,False,0.0087890625,0.78076171875,6.0,32,1,83,14400,0.625,0.25,0.0,0.5833333333333334,2048
72,2,False,0.0,0.0,49.0,0.03857421875,0,,,0.25,0.0,0.0,0.5,2048
73,2,True,0.0,0.9990234375,12.0,32,1,62,10563,0.375,0.0,1.0,0.75,2048
74,2,False,0.01171875,0.77099609375,13.0,32,1,7,263,0.375,0.25,0.0,0.5833333333333334,2048
76,2,False,0.0,0.99072265625,128.0,32,1,20,1077,0.375,0.0,0.0,0.4166666666666667,2048
77,2,False,0.0,0.0078125,128.0,32,1,18,1056,0.5,0.0,1.0,0.5,2048
78,2,False,0.00146484375,0.04541015625,128.0,32,1,18,1056,0.5,0.25,0.0,0.5,2048
90,3,False,0.0,1.0,8.0,32,11,23|24|25|27|28|42|51|93|118|119|143,1343|1399|1463|1823|1847|4919|5431|16823|34103|34227|49559,0.5,0.0,0.0,0.6666666666666666,2048
94,2,False,0.00439453125,0.8681640625,32.0,32,1,65,11296,0.625,0.0,0.0,0.5833333333333334,2048
104,2,False,0.0,0.0,27.0,0.00146484375,0,,,0.375,0.0,0.0,0.75,2048
105,3,False,0.0,1.0,8.0,32,16,37|55|92|99|104|109|123|133|135|148|157|158|166|172|173|181,4447|6998|16096|22919|27082|30921|37271|43636|44386|53643|55948|55972|59593|60584|60640|64192,0.5,0.0,1.0,1.0,2048
106,4,True,0.0,1.0,8.0,32,11,32|53|56|58|59|76|77|81|129|136|173,3446|5756|9587|9594|9852|11892|11896|13944|42616|44648|60640,0.5,0.25,0.0,0.6666666666666666,2048
108,2,False,0.0009765625,0.96728515625,67.0,32,1,4,23,0.5,0.0,0.0,0.6666666666666666,2048
110,4,False,0.0,0.99951171875,10.0,32,1,147,53385,0.625,0.25,0.0,0.5833333333333334,2048
122,3,False,0.0,0.9990234375,8.0,32,1,122,37001,0.625,0.0,0.0,0.5833333333333334,2048
126,3,False,0.0,0.99609375,8.0,32,1,121,36873,0.75,0.0,0.0,0.5,2048
128,1,False,0.0,0.0,128.0,0,0,,,0.125,0.0,0.0,0.25,2048
130,2,False,0.0068359375,0.2626953125,12.0,32,2,1|2,5|17,0.25,0.25,0.0,0.5,2048
132,2,False,0.005859375,0.70556640625,128.0,31.99365234375,2,1|2,5|17,0.25,0.0,0.0,0.5,2048
134,2,False,0.001953125,0.943359375,11.0,32,1,7,263,0.375,0.25,0.0,0.75,2048
136,1,False,0.0,0.0,128.0,0,0,,,0.25,0.25,0.0,0.3333333333333333,2048
138,2,False,0.02734375,0.505859375,11.0,32,3,4|7|9,23|263|275,0.375,0.5,0.0,0.4166666666666667,2048
140,2,False,0.0009765625,0.87744140625,128.0,32,1,3,21,0.375,0.25,0.0,0.4166666666666667,2048
142,2,False,0.009765625,0.078125,10.0,32,4,16|33|38|40,584|4168|4616|4672,0.5,0.5,0.0,0.5,2048
146,3,False,0.00146484375,0.96240234375,8.0,32,1,4,23,0.375,0.0,0.0,0.75,2048
150,3,False,0.0,1.0,8.0,32,16,26|29|44|50|58|69|75|87|91|94|100|101|105|139|149|171,1662|1854|4951|5407|9594|11574|11861|15466|15976|20148|24795|26296|27292|45784|53646|60578,0.5,0.0,0.0,1.0,2048
152,2,False,0.0048828125,0.2880859375,12.0,32,2,1|2,5|17,0.375,0.5,0.0,0.5833333333333334,2048
154,2,True,0.0,0.97314453125,8.0,32,16,56|57|63|69|70|71|72|73|80|88|89|111|168|169|173|179,9587|9590|10590|11574|11606|11610|11619|11634|12008|15592|15714|30952|59842|60104|60640|63688,0.5,0.25,0.0,0.6666666666666666,2048
156,2,False,0.00146484375,0.056640625,40.0,32,1,18,1056,0.5,0.5,0.0,0.6666666666666666,2048
160,1,False,0.0,0.0,128.0,0,0,,,0.25,0.0,0.0,0.3333333333333333,2048
162,2,False,0.02783203125,0.18310546875,7.0,32,4,3|4|5|17,21|23|53|1045,0.375,0.25,0.0,0.4166666666666667,2048
164,2,False,0.001953125,0.4091796875,128.0,31.6875,2,1|2,5|17,0.375,0.0,0.0,0.5833333333333334,2048
168,1,False,0.0,0.0,128.0,0,0,,,0.375,0.25,0.0,0.4166666666666667,2048
170,2,False,0.0126953125,0.74169921875,8.0,32,11,67|74|76|78|90|98|106|108|128|137|175,11381|11746|11892|11956|15972|21926|27364|28384|40548|44708|61088,0.5,0.5,0.0,0.3333333333333333,2048
172,2,False,0.00048828125,0.5888671875,128.0,32,2,2|3,17|21,0.5,0.25,0.0,0.5,2048
178,2,False,0.05126953125,0.25048828125,5.0,32,1,18,1056,0.5,0.0,0.0,0.5,2048
184,2,False,0.0146484375,0.044921875,5.0,32,1,18,1056,0.5,0.5,0.0,0.5,2048
200,2,False,0.0,0.00048828125,128.0,1.72607421875,1,0,1,0.375,0.0,0.0,0.4166666666666667,2048
204,2,False,0.0,1.0,128.0,32,16,26|30|41|47|60|95|103|118|140|152|163|169|170|174|176|180,1662|1886|4911|5015|10038|20907|27075|34103|47434|55465|59032|60104|60577|61064|62104|64136,0.5,0.0,0.0,0.3333333333333333,2048
232,2,False,0.115234375,0.24072265625,128.0,27.86083984375,1,112,32769,0.5,0.0,0.0,0.5,2048
