rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0,0,,,0.0,0.0,0.0,0.0,16
1,2,False,0.0,1.0,5.0,32,2,61|62,32769|32771,0.125,0.0,1.0,0.25,16
2,2,False,0.0,0.5,12.0,32,2,1|2,5|17,0.125,0.25,0.0,0.25,16
3,2,False,0.0,1.0,5.0,32,2,63|67,33027|36867,0.25,0.25,1.0,0.3333333333333333,16
4,2,False,0.0,0.625,128.0,32,2,1|2,5|17,0.125,0.0,0.0,0.25,16
5,2,False,0.0,1.0,8.0,32,1,65,33825,0.25,0.0,1.0,0.3333333333333333,16
6,2,False,0.0,0.9375,12.0,32,2,6|7,259|263,0.25,0.25,0.0,0.5,16
7,2,False,0.4375,1.0,5.0,32,1,61,32769,0.375,0.25,1.0,0.4166666666666667,16
8,1,False,0.0,0.125,128.0,0.4375,1,0,1,0.125,0.25,0.0,0.25,16
9,2,False,0.0625,0.9375,7.0,32,1,7,263,0.25,0.25,1.0,0.5,16
10,2,False,0.0,0.5,11.0,32,3,3|7|9,21|263|275,0.25,0.5,0.0,0.3333333333333333,16
11,2,False,0.75,1.0,7.0,32,1,28,4616,0.375,0.5,1.0,0.4166666666666667,16
12,2,False,0.0,0.9375,128.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,16
13,2,False,0.75,0.9375,128.0,32,1,17,1056,0.375,0.25,1.0,0.4166666666666667,16
14,2,False,0.75,0.75,10.0,32,1,25,4168,0.375,0.5,0.0,0.4166666666666667,16
15,2,False,0.0,0.875,8.0,32,4,43|53|81|82,10647|21930|53961|53964,0.5,0.5,1.0,0.3333333333333333,16
18,3,False,0.0,1.0,8.0,32,1,4,23,0.25,0.0,0.0,0.5,16
19,2,False,0.25,1.0,5.0,32,1,61,32769,0.375,0.0,1.0,0.4166666666666667,16
22,3,False,0.0,1.0,8.0,32,2,7|10,263|279,0.375,0.0,0.0,0.75,16
