rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.375,128.0,1,1,0,1,0.0,0.0,0.0,0.0,16
1,2,False,0.5,1.0,5.0,32,2,63|64,32769|32771,0.125,0.0,1.0,0.25,16
2,2,False,0.9375,1.0,12.0,32,3,1|2|3,5|17|21,0.125,0.25,0.0,0.25,16
3,2,False,0.25,1.0,5.0,32,1,65,33027,0.25,0.25,1.0,0.3333333333333333,16
4,2,False,0.8125,1.0,128.0,32,2,1|2,5|17,0.125,0.0,0.0,0.25,16
5,2,False,0.0625,1.0,9.0,32,1,67,33825,0.25,0.0,1.0,0.3333333333333333,16
6,2,False,0.3125,1.0,12.0,32,2,6|7,259|263,0.25,0.25,0.0,0.5,16
7,2,False,0.375,1.0,5.0,32,1,63,32769,0.375,0.25,1.0,0.4166666666666667,16
8,1,False,0.0,0.375,128.0,0.4375,1,0,1,0.125,0.25,0.0,0.25,16
9,2,False,0.125,1.0,7.0,32,3,7|65|66,263|33027|33031,0.25,0.25,1.0,0.5,16
10,2,False,0.75,1.0,11.0,32,3,4|6|9,23|259|275,0.25,0.5,0.0,0.3333333333333333,16
11,2,False,0.9375,1.0,7.0,32,1,30,4616,0.375,0.5,1.0,0.4166666666666667,16
12,2,False,0.3125,1.0,128.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,16
13,2,False,1.0,1.0,128.0,32,1,19,1056,0.375,0.25,1.0,0.4166666666666667,16
14,2,False,0.875,0.875,10.0,32,1,26,4168,0.375,0.5,0.0,0.4166666666666667,16
15,2,False,0.0,1.0,8.0,32,4,52|72|80|84,18108|37469|49563|53643,0.5,0.5,1.0,0.3333333333333333,16
18,3,False,0.0,1.0,8.0,32,1,4,23,0.25,0.0,0.0,0.5,16
19,2,False,0.4375,1.0,5.0,32,1,63,32769,0.375,0.0,1.0,0.4166666666666667,16
22,3,False,0.0,1.0,8.0,32,1,10,279,0.375,0.0,0.0,0.75,16
23,2,False,0.625,1.0,5.0,32,1,63,32769,0.5,0.0,1.0,0.5,16
24,2,False,0.875,1.0,12.0,32,2,1|2,5|17,0.25,0.5,0.0,0.5,16
25,2,False,0.125,1.0,6.0,32,3,11|29|66,295|4359|33031,0.375,0.5,1.0,0.5833333333333334,16
26,2,True,0.0,1.0,7.0,32,3,22|23|24,1109|1111|1141,0.375,0.25,0.0,0.5833333333333334,16
27,2,False,0.0625,1.0,5.0,32,2,79|91,49283|59521,0.5,0.25,1.0,0.5,16
28,2,False,1.0,1.0,35.0,32,1,19,1056,0.375,0.5,0.0,0.5833333333333334,16
29,2,False,0.0625,1.0,11.0,32,2,25|43,3124|11300,0.5,0.5,1.0,0.5,16
30,3,False,0.0,1.0,8.0,32,4,45|53|88|97,11543|21387|53913|64136,0.5,0.25,0.0,0.6666666666666666,16
32,1,False,0.0,0.5625,128.0,1,1,0,1,0.125,0.0,0.0,0.25,16
33,2,False,0.5,1.0,6.0,32,1,64,32771,0.25,0.0,1.0,0.5,16
34,2,False,0.875,1.0,8.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,16
35,2,False,0.875,1.0,6.0,32,2,15|31,532|4628,0.375,0.25,1.0,0.4166666666666667,16
36,2,False,0.875,1.0,128.0,30.3125,1,0,1,0.25,0.0,0.0,0.5,16
37,2,False,0.25,1.0,6.0,32,2,8|28,267|4355,0.375,0.0,1.0,0.5833333333333334,16
38,2,False,0.25,1.0,11.0,32,1,7,263,0.375,0.25,0.0,0.5833333333333334,16
40,1,False,0.0,0.4375,128.0,0.625,1,0,1,0.25,0.25,0.0,0.5,16
41,4,True,0.0,1.0,7.0,32,1,10,279,0.375,0.25,1.0,0.75,16
42,2,False,0.1875,0.875,8.0,32,2,12|13,339|343,0.375,0.5,0.0,0.4166666666666667,16
43,2,False,0.6875,0.875,8.0,32,4,17|26|30|32,584|4168|4616|4672,0.5,0.5,1.0,0.5,16
44,2,False,0.625,1.0,128.0,32,1,2,17,0.375,0.25,0.0,0.5833333333333334,16
45,3,False,0.0,1.0,8.0,32,4,34|48|74|84,4955|13770|38183|53643,0.5,0.25,1.0,0.6666666666666666,16
46,2,False,1.0,1.0,10.0,32,1,27,4169,0.5,0.5,0.0,0.5,16
50,2,False,0.9375,0.9375,5.0,32,1,19,1056,0.375,0.0,0.0,0.4166666666666667,16
51,2,False,0.0,1.0,5.0,32,4,46|59|70|90,11892|27030|36405|54952,0.5,0.0,1.0,0.3333333333333333,16
