measurementId,panel,quantity,method,sourcePixelOrObservation,estimate,lower,upper,unit,status,note
S12F-FIG-001,A,axis_right_boundary,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"spine x=460; tick fit value=3.3333333333*x-220",1313.333333,1300.0,1314.0,molecular_step,INTERVAL_RETAINED,Manual estimate was approximately 1300; union retained because the tiny disagreement is at the one-percent tolerance boundary.
S12F-FIG-002,A,visible_aggregate_trace_terminal,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"last high-confidence blue x=397; tick fit value=3.3333333333*x-220",1103.333333,1090.0,1120.0,molecular_step,AGREED,Compression-sensitive weak pixels after x=397 were excluded; red regression is not the aggregate trace.
S12F-FIG-003,A,visible_aggregate_trace_terminal,INDEPENDENT_HIGH_DPI_MANUAL_GRID_CALIBRATION,"visually near 1100 tick-equivalent on 300-DPI page render",1100.0,1080.0,1120.0,molecular_step,AGREED,Independent reading retained broader manual uncertainty.
S12F-FIG-004,A,late_discontinuity,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"high-confidence blue gap approximately x=360 to x=387",1025.0,980.0,1070.0,molecular_step,DETECTED,Short trace segment resumes near 1070 and terminates near 1100.
S12F-FIG-005,B,final_plotted_time,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"last blue x=902; nine tick centroids x=529..902 for 0..800",799.092076,792.0,808.0,molecular_step,AGREED,Uncertainty is max of two raster pixels and one percent of panel range.
S12F-FIG-006,B,final_plotted_time,INDEPENDENT_HIGH_DPI_MANUAL_GRID_CALIBRATION,"trace ends at labelled 800 tick",800.0,792.0,808.0,molecular_step,AGREED,Trace ends before right plot spine.
S12F-FIG-007,C,final_plotted_time,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"last blue x=441; nine tick centroids x=66..441 for 0..800",799.855728,792.0,808.0,molecular_step,AGREED,Uncertainty is max of two raster pixels and one percent of panel range.
S12F-FIG-008,C,final_plotted_time,INDEPENDENT_HIGH_DPI_MANUAL_GRID_CALIBRATION,"trace ends at labelled 800 tick",800.0,792.0,808.0,molecular_step,AGREED,Trace ends before right plot spine.
S12F-FIG-009,D,final_plotted_time,TICK_CENTROID_PIXEL_AFFINE_CALIBRATION_ORIGINAL_RASTER,"last blue x=904; six tick centroids x=529..904 for 0..1000",1000.0,990.0,1010.0,molecular_step,AGREED,Uncertainty is max of two raster pixels and one percent of panel range.
S12F-FIG-010,D,final_plotted_time,INDEPENDENT_HIGH_DPI_MANUAL_GRID_CALIBRATION,"trace ends at labelled 1000 tick",1000.0,990.0,1010.0,molecular_step,AGREED,Trace ends before right plot spine.
