state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_h10,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_state_only,prediction_beta_only,prediction_h10_beta
MECHCONF-c02-m000-g020,MECHCONF,02,0,20,40,41,1065,0.4375,0.4375,0.4375,0.30716302372383664,0.307160638668189,0.3255291066850896,0.2930655904598045,0.3422175251501429,0.289811556836331,0.32045937569432426
MECHCONF-c02-m000-g035,MECHCONF,02,0,35,40,52,1742,0.453125,0.5,0.40625,0.5858776123694455,0.5875432348691293,0.6079656953035709,0.5752465132008059,0.3625172239578718,0.289811556836331,0.6007770721530553
MECHCONF-c02-m000-g050,MECHCONF,02,0,50,40,46,2566,0.3125,0.25,0.375,0.35622925444234754,0.33447696225439527,0.35364516413192854,0.3262542920392846,0.224843861039391,0.289811556836331,0.37051371995111837
MECHCONF-c02-m000-g065,MECHCONF,02,0,65,40,39,3073,0.34375,0.40625,0.28125,0.3106187895108816,0.3226894021103506,0.3415287422434078,0.31889908596450806,0.4297136555044793,0.289811556836331,0.32399477894365103
MECHCONF-c02-m000-g080,MECHCONF,02,0,80,40,30,3547,0.515625,0.46875,0.5625,0.24011357209291243,0.15498147415824268,0.16643563011955198,0.16665506008446157,0.03753220352071635,0.289811556836331,0.25156134646918
MECHCONF-c03-m000-g020,MECHCONF,03,0,20,40,40,605,0.828125,0.78125,0.875,0.5401977200447831,0.5575356697599487,0.5831354838623013,0.5945263835175827,0.6860450103921096,0.34230612832941376,0.5567116374202743
MECHCONF-c03-m000-g035,MECHCONF,03,0,35,44,25,1174,0.71875,0.78125,0.65625,0.5898207079464688,0.6222296564362694,0.6464599434347991,0.6593252358841255,0.6263239219644324,0.34230612832941376,0.6058527749663669
MECHCONF-c03-m000-g050,MECHCONF,03,0,50,38,64,1888,0.46875,0.375,0.5625,0.6924415285104955,0.7080611487604384,0.7291822751464916,0.7388442599887941,0.7076113882734045,0.34230612832941376,0.7064587912846371
MECHCONF-c03-m000-g065,MECHCONF,03,0,65,31,5,2399,0.515625,0.53125,0.5,0.25201884792119833,0.05774417733420269,0.06369932806299448,0.07667547614489938,0.008119089150905891,0.34230612832941376,0.26479651618051053
MECHCONF-c03-m000-g080,MECHCONF,03,0,80,37,75,3308,0.578125,0.46875,0.6875,0.7594327544167241,0.7829983511073676,0.800227571312015,0.7990474780789603,0.6090726581447964,0.34230612832941376,0.7714047764218777
MECHCONF-c02-m001-g020,MECHCONF,02,1,20,40,49,993,0.5625,0.5,0.625,0.41585198113965205,0.4255840548734215,0.41955894742656413,0.39845867257616935,0.4095816959805521,0.3703594707311933,0.41099626084018276
MECHCONF-c02-m001-g035,MECHCONF,02,1,35,40,79,1913,0.65625,0.59375,0.71875,0.4139645490024548,0.4225906492342965,0.4165771865916235,0.39339572523959354,0.3897838109052731,0.3703594707311933,0.40911543232543945
MECHCONF-c02-m001-g050,MECHCONF,02,1,50,40,48,2829,0.4375,0.46875,0.40625,0.510445148796552,0.5213355884231278,0.515170666401409,0.4962184947666668,0.40395927468620874,0.3703594707311933,0.5054406064125206
MECHCONF-c02-m001-g065,MECHCONF,02,1,65,40,36,3681,0.671875,0.6875,0.65625,0.5668419913856182,0.6000872960131628,0.5941470495092142,0.5618646005107033,0.5701140449192215,0.3703594707311933,0.5619191812165245
MECHCONF-c02-m001-g080,MECHCONF,02,1,80,40,39,4530,0.59375,0.59375,0.59375,0.33278883918422797,0.3333971829975353,0.3279321045189291,0.3070209827584228,0.3411184046619947,0.3703594707311933,0.32835782081264087
MECHCONF-c03-m001-g020,MECHCONF,03,1,20,38,37,880,0.6875,0.65625,0.71875,0.5062453227622885,0.5349550247295567,0.510467574698887,0.4929549133510442,0.4179709433574362,0.4166621946081248,0.4857555270225818
MECHCONF-c03-m001-g035,MECHCONF,03,1,35,45,68,1599,0.828125,0.8125,0.84375,0.5671507046918961,0.5889421586754365,0.5649857942272654,0.5644774727100971,0.5393130559590673,0.4166621946081248,0.5469263704520698
MECHCONF-c03-m001-g050,MECHCONF,03,1,50,34,33,2205,0.765625,0.78125,0.75,0.6247233346634529,0.676457890328147,0.65461076004216,0.6397540644301936,0.6091331013538845,0.4166621946081248,0.6053170185786027
MECHCONF-c03-m001-g065,MECHCONF,03,1,65,48,30,2883,0.6875,0.6875,0.6875,0.4864393758194322,0.49746409044625156,0.4729474780830539,0.4473428647613653,0.4579746423008412,0.4166621946081248,0.46599464938787827
MECHCONF-c03-m001-g080,MECHCONF,03,1,80,38,63,3642,0.53125,0.4375,0.625,0.7469402396260271,0.7608698077832523,0.7425533075515207,0.7265738786549927,0.505803400250784,0.4166621946081248,0.7311339940579143
MECHCONF-c02-m002-g020,MECHCONF,02,2,20,40,45,734,0.609375,0.71875,0.5,0.5625957117686399,0.6010875741236226,0.5765485940826595,0.4961582939809154,0.5089175988790252,0.42793532720145416,0.544070346724361
MECHCONF-c02-m002-g035,MECHCONF,02,2,35,40,35,1478,0.4375,0.34375,0.53125,0.2470715633429145,0.24044063335543467,0.2224158335423203,0.17727931510001696,0.29412607259153783,0.42793532720145416,0.23339211566939724
MECHCONF-c02-m002-g050,MECHCONF,02,2,50,40,51,1939,0.890625,0.8125,0.96875,0.39624162520836753,0.40302231217226653,0.378889198974972,0.3165541148123872,0.6570948633327277,0.42793532720145416,0.37845450934695657
MECHCONF-c02-m002-g065,MECHCONF,02,2,65,40,47,2565,0.625,0.625,0.625,0.4114189939836391,0.4215050945455907,0.39700123885843686,0.32933223694836244,0.41431143063672865,0.42793532720145416,0.39339449495036116
MECHCONF-c02-m002-g080,MECHCONF,02,2,80,40,53,3156,0.6875,0.71875,0.65625,0.5763732108194384,0.6047073598927627,0.5802355501466225,0.5103569720469924,0.5256538627597763,0.42793532720145416,0.5579728981558739
MECHCONF-c03-m002-g020,MECHCONF,03,2,20,42,37,612,0.8125,0.9375,0.6875,0.6086828452169889,0.6323040287859947,0.6534654934532279,0.5680946215180814,0.5596651506227005,0.5055102479724514,0.639228283530364
MECHCONF-c03-m002-g035,MECHCONF,03,2,35,45,37,1134,0.46875,0.5,0.4375,0.40412047854915456,0.4108881435232895,0.43337320132991936,0.3463561774516375,0.41848338189091344,0.5055102479724514,0.4358337314931912
MECHCONF-c03-m002-g050,MECHCONF,03,2,50,37,34,1595,0.703125,0.78125,0.625,0.28078325866405496,0.30665999524813925,0.32660349048303755,0.24358605784048434,0.4344757352657623,0.5055102479724514,0.3078175272828064
MECHCONF-c03-m002-g065,MECHCONF,03,2,65,35,23,2102,0.671875,0.625,0.71875,0.4635098053122534,0.4610681423492749,0.48404295357853855,0.382421208990669,0.33947396858987,0.5055102479724514,0.4960042146666658
MECHCONF-c03-m002-g080,MECHCONF,03,2,80,36,26,2571,0.734375,0.8125,0.65625,0.6285444362605267,0.6432189592143439,0.6640859712622816,0.5710399672201563,0.4729920657451148,0.5055102479724514,0.6584095721686186
MECHCONF-c02-m003-g020,MECHCONF,02,3,20,40,34,956,0.5,0.59375,0.40625,0.26827398616038034,0.23505261536352565,0.2403464270062334,0.22528761958300023,0.14985378441174108,0.3366296230042624,0.27254922177845975
MECHCONF-c02-m003-g035,MECHCONF,02,3,35,40,67,1867,0.75,0.8125,0.6875,0.5432914339338991,0.5722685910369072,0.579404549171008,0.5574160546687844,0.5353030340903827,0.3366296230042624,0.5486631314408876
MECHCONF-c02-m003-g050,MECHCONF,02,3,50,40,91,2926,0.40625,0.40625,0.40625,0.6417591701764515,0.6642250650667715,0.6707096484318861,0.6354591063434067,0.5036558366066866,0.3366296230042624,0.646725801039777
MECHCONF-c02-m003-g065,MECHCONF,02,3,65,40,85,3780,0.8125,0.78125,0.84375,0.7862751746854274,0.8044901357606578,0.8090446326052347,0.7910271819601319,0.5923028892614798,0.3366296230042624,0.7898941906916789
MECHCONF-c02-m003-g080,MECHCONF,02,3,80,40,93,4511,0.59375,0.53125,0.65625,0.7947526881451,0.8270400933064873,0.8311795135873336,0.8111475874176248,0.6563007428874567,0.3366296230042624,0.7982649846441958
MECHCONF-c03-m003-g020,MECHCONF,03,3,20,45,51,928,0.703125,0.75,0.65625,0.6835793280685883,0.7100026374029008,0.6982842739980865,0.6955792042934356,0.5720746576579583,0.3812012262383603,0.6712773409085216
MECHCONF-c03-m003-g035,MECHCONF,03,3,35,49,49,1791,0.796875,0.78125,0.8125,0.7320542864756587,0.7781766754955307,0.7683141823994426,0.7714017383048374,0.7665464061577766,0.3812012262383603,0.7208673644417342
MECHCONF-c03-m003-g050,MECHCONF,03,3,50,47,58,2558,0.546875,0.53125,0.5625,0.7984435533816693,0.8391365796596078,0.8313971937001822,0.8258718722719238,0.751114179550611,0.3812012262383603,0.7892303867816856
