source_cohort,candidate,half,metric,estimate,ci95_lower,ci95_upper,median,q05,q95,events,matrices
scaled5,02,combined,first_last_daughter_similarity,0.6923580470380175,0.6879907384802685,0.696673714333166,0.7188507574477845,0.3859725663978787,0.904893187907046,23752,200
scaled5,02,combined,minimum_pairwise_daughter_similarity,0.6869341876107549,0.68236461029521,0.6915504231886872,0.7136199647322772,0.38338743510065,0.8972079208828817,23752,200
scaled5,02,combined,mean_pairwise_daughter_similarity,0.78299315507251,0.7801333403735398,0.7859599328795653,0.7955775965654004,0.5967692520741367,0.9237617522376789,23752,200
scaled5,02,combined,maximum_anchor_similarity,0.6850173572609196,0.6762598104985994,0.6944615808869218,0.7217936016349759,0.3441750444817952,0.904341523532822,23752,200
scaled5,02,combined,mean_anchor_similarity,0.5947351687941375,0.5848556343211389,0.604695552321352,0.6184686715833064,0.26984045956821406,0.8462091834984579,23752,200
scaled5,02,combined,onset_parent_to_final_daughter_similarity,0.7107006820662942,0.7059843504116962,0.715421327181363,0.7395607230845263,0.4017172506001627,0.9162907998232739,23752,200
scaled5,02,combined,observed_inherited_run_length,5.980675311552711,5.884000753383567,6.082398561294148,6.0,3.0,11.0,23752,200
scaled5,02,combined,persistence_5_resolved,0.7727986227150742,0.7531959767474155,0.7920845229444077,1.0,0.0,1.0,19749,200
scaled5,02,combined,persistence_5_right_censored,0.16853317615358707,0.16096635888495978,0.17653431558780674,0.0,0.0,1.0,23752,200
scaled5,02,combined,later_break_observed,0.3477601886156955,0.32296858760256253,0.3727879176781632,0.0,0.0,1.0,23752,200
scaled5,02,combined,second_renewal_after_later_break_observed,0.10538059952846077,0.0978190771520021,0.11242164504417199,0.0,0.0,1.0,23752,200
scaled5,02,A,first_last_daughter_similarity,0.6919596247819041,0.6870524248950886,0.6969738343355396,0.7178567337721209,0.38652732119137573,0.9051021803163869,11963,200
scaled5,02,A,minimum_pairwise_daughter_similarity,0.686591529553034,0.6816237674163179,0.691872848036097,0.7129400248696981,0.38496122657978016,0.8974707575354981,11963,200
scaled5,02,A,mean_pairwise_daughter_similarity,0.7828897248836412,0.7796992429164402,0.7862229170037309,0.795805839671163,0.5963959543341382,0.9236832685221985,11963,200
scaled5,02,A,maximum_anchor_similarity,0.6861384979980556,0.6770445090113137,0.6957189463866669,0.7237677527153995,0.3430697903145264,0.9052954187722514,11963,200
scaled5,02,A,mean_anchor_similarity,0.5960820818267961,0.5865366072013697,0.6063061221223062,0.6206668355329256,0.269823182371507,0.8474151430608107,11963,200
