source_cohort,candidate,half,coherence_threshold_strict,distinctness_max_anchor_threshold_inclusive,all_events,persistence_resolved_events,persistence_censored_events,coherent_rate,coherent_ci95_lower,coherent_ci95_upper,coherent_events,coherent_matrices,distinct_rate,distinct_ci95_lower,distinct_ci95_upper,distinct_events,distinct_matrices,coherent_and_distinct_rate,coherent_and_distinct_ci95_lower,coherent_and_distinct_ci95_upper,coherent_and_distinct_events,coherent_and_distinct_matrices,coherent_distinct_and_persistent_5_rate,coherent_distinct_and_persistent_5_ci95_lower,coherent_distinct_and_persistent_5_ci95_upper,coherent_distinct_and_persistent_5_events,coherent_distinct_and_persistent_5_matrices
scaled5,02,combined,0.9,0.9,23752,19749,4003,0.046901313573593804,0.0406021886626069,0.053511025150379046,23752,200,0.9425732569888852,0.9342707768471635,0.9495927039899733,23752,200,0.03949141124957898,0.03391478423865599,0.04576568136695446,23752,200,0.036406906678819184,0.031148562220799345,0.04216540338089981,19749,200
scaled5,02,combined,0.9,0.85,23752,19749,4003,0.046901313573593804,0.04064610239634622,0.053669203523557,23752,200,0.83997137083193,0.8244566649788205,0.8539623421504965,23752,200,0.035491748063320984,0.03009162563532021,0.04163885899330165,23752,200,0.03276115246341587,0.027792695956169674,0.038235652578264286,19749,200
scaled5,02,combined,0.9,0.8,23752,19749,4003,0.046901313573593804,0.04062537916075239,0.05400074203245656,23752,200,0.7031828898619064,0.6827342560534203,0.7218779783164353,23752,200,0.03237622094981475,0.026894895989283744,0.038149396784274876,23752,200,0.02977365942579371,0.02488697127106371,0.0351413863071093,19749,200
scaled5,02,combined,0.95,0.9,23752,19749,4003,0.007830919501515661,0.005483354100538305,0.010662758248173214,23752,200,0.9425732569888852,0.9346638368327603,0.9498676877824757,23752,200,0.006694173122263388,0.004469247069455142,0.009259974842433771,23752,200,0.005924350600030381,0.003919731155473806,0.008202209499943807,19749,200
scaled5,02,combined,0.95,0.85,23752,19749,4003,0.007830919501515661,0.005497835020825584,0.010633278600141132,23752,200,0.83997137083193,0.8249737720903996,0.8534320634906867,23752,200,0.00631525766251263,0.0041475552246441815,0.0089071626802644,23752,200,0.005519266798318902,0.0036640566124595225,0.00787355389882834,19749,200
scaled5,02,combined,0.95,0.8,23752,19749,4003,0.007830919501515661,0.00549107923851654,0.01063236104748294,23752,200,0.7031828898619064,0.6832632568355503,0.7217576450503453,23752,200,0.006188952509262378,0.00402685242527859,0.008695652173913044,23752,200,0.005468631323104967,0.003592528005696034,0.007754404446876297,19749,200
scaled5,02,combined,0.975,0.9,23752,19749,4003,0.0015156618390030313,0.0005208926911026209,0.0029635565860523174,23752,200,0.9425732569888852,0.9346856246508236,0.9497687350371606,23752,200,0.0013893566857527788,0.0004395415992233134,0.002847654745829935,23752,200,0.0014684287812041115,0.0005025679852728184,0.0029807252432448106,19749,200
scaled5,02,combined,0.975,0.85,23752,19749,4003,0.0015156618390030313,0.0005103586884116254,0.0030020798715075406,23752,200,0.83997137083193,0.8255579335323922,0.8535556767386552,23752,200,0.0013472549680026945,0.0003991397059615061,0.002786528501347226,23752,200,0.0014177933059901766,0.0004251293064852862,0.0029179081711062636,19749,200
scaled5,02,combined,0.975,0.8,23752,19749,4003,0.0015156618390030313,0.0005073907385083882,0.0029539432715485247,23752,200,0.7031828898619064,0.6827637770994962,0.7222438456562241,23752,200,0.0013472549680026945,0.0003864041466979621,0.0027972191658117616,23752,200,0.0014177933059901766,0.0004311387079863911,0.002853373637030947,19749,200
scaled5,02,A,0.9,0.9,11963,9927,2036,0.047396138092451724,0.040881737350821235,0.054378005518084714,11963,200,0.9418206135584719,0.9337186521083918,0.9495151375877157,11963,200,0.0387026665552119,0.033293066687677425,0.04488582176114369,11963,200,0.03455223128840536,0.029096958908316636,0.040220146075325224,9927,200
scaled5,02,A,0.9,0.85,11963,9927,2036,0.047396138092451724,0.040813085380541216,0.054453291330204164,11963,200,0.839672322995904,0.8239510375895508,0.8539217303056484,11963,200,0.03452311293153891,0.029172219636889967,0.04051899933476262,11963,200,0.030825022665457842,0.025895432571540245,0.03607766944607893,9927,200
scaled5,02,A,0.9,0.8,11963,9927,2036,0.047396138092451724,0.04102888590103125,0.054271579863577,11963,200,0.7007439605450138,0.6805411280873124,0.720360619007254,11963,200,0.031430243250020896,0.0264853107787438,0.03687717627940194,11963,200,0.028004432356200263,0.02317064437496028,0.03306697930913935,9927,200
