mechanism,candidate,matrix_id,landmark,main_attempt,launch_mass,launch_occupied,launch_entropy,source_throughput,active_throughput,q_f12,q_f12_A,q_f12_B,q_break_f12,mean_inherited_f12,survival_f12,mean_growth_updates_f12,mean_final_entropy_f12,mean_final_occupied_f12,q_break_f32,q_run8_f32,q_strict_all8,q_strict_all8_A,q_strict_all8_B,q_strict_first5,q_strict_centroid,survival_f32,frozen_direct,frozen_full,frozen_outside_5sd,crossfit_h10,crossfit_h10_state
COUPLING_DERANGED,02,0,50.0,0.0,40.0,20.6,2.6354848722868724,161.11134336859374,21.096276145192185,0.65625,0.65,0.6625,0.78125,10.2,1.0,651.496875,2.5933079470225975,19.9125,0.95625,0.83125,0.0,0.0,0.0,0.09375,0.059375,1.0,0.423096852096442,0.5801343512305335,0.0,0.5525681198404261,0.5814910056416405
COUPLING_DERANGED,02,1,50.0,0.0,40.0,18.4,2.482876523187186,192.0937328389795,55.6207903652098,0.36875,0.325,0.4125,0.446875,11.325,1.0,513.978125,2.3572004584426454,17.228125,0.753125,0.628125,0.015625,0.0125,0.01875,0.103125,0.08125,1.0,0.2966018175065565,0.38889994691282764,0.0,0.4599075625010215,0.46806908216654797
COUPLING_DERANGED,02,2,50.0,0.0,40.0,18.6,2.542638799225476,170.51033746969262,27.920688172810934,0.6875,0.6625,0.7125,0.903125,9.20625,1.0,729.475,2.7840018889732816,21.8625,0.996875,0.746875,0.0,0.0,0.0,0.00625,0.046875,1.0,0.4902540160667912,0.5735413294435693,0.0,0.5553939001933057,0.5589173710917738
COUPLING_DERANGED,02,3,50.0,0.0,40.0,15.0,2.2524945089548067,408.996845096199,25.399043018681773,0.4375,0.4125,0.4625,0.503125,11.26875,1.0,384.2875,2.332912459895293,16.55625,0.709375,0.63125,0.009375,0.0125,0.00625,0.0625,0.23125,1.0,0.22718267993939034,0.2943562991632796,0.0,0.3710447098617714,0.3711552110528691
COUPLING_DERANGED,02,4,50.0,0.0,40.0,17.2,2.448147799288405,361.4968663500517,22.60749100299127,0.71875,0.775,0.6625,0.790625,10.159375,1.0,559.178125,2.424675133711515,18.225,0.875,0.821875,0.071875,0.08125,0.0625,0.26875,0.35625,1.0,0.32485264794694046,0.425709367091053,0.0,0.44231663294095724,0.4353000460232009
COUPLING_DERANGED,02,5,50.0,0.0,40.0,17.4,2.2427493802123823,462.17865676314875,17.786025314809834,0.346875,0.4,0.29375,0.446875,11.390625,1.0,464.421875,2.4479763691581433,18.2875,0.75625,0.63125,0.0,0.0,0.0,0.04375,0.0625,1.0,0.16806823927274503,0.29887770456563234,0.0,0.3846537295956144,0.3810309516602465
COUPLING_DERANGED,02,6,50.0,0.0,40.0,13.2,1.7845351734045554,1581.1317535435853,35.97701517196514,0.009375,0.0125,0.00625,0.021875,11.975,1.0,295.009375,1.4889357792846334,10.796875,0.215625,0.10625,0.028125,0.03125,0.025,0.046875,0.040625,1.0,0.15497562690839312,0.20716403222645563,0.0,0.34942886634239356,0.3239821940981858
COUPLING_DERANGED,02,7,50.0,0.0,40.0,16.0,2.322564921589731,571.4257152114636,12.059223091668624,0.325,0.3,0.35,0.415625,11.40625,1.0,362.65625,2.434176667291237,16.709375,0.753125,0.603125,0.0,0.0,0.0,0.003125,0.125,1.0,0.389776936501552,0.4728041493361174,0.0,0.4040117488937902,0.40273745979167036
COUPLING_DERANGED,02,8,50.0,0.0,40.0,16.6,2.3625758337401344,675.5790808046287,6.291176264070138,0.5,0.49375,0.50625,0.5875,10.871875,1.0,556.03125,2.3840726478321534,17.6,0.85625,0.70625,0.0125,0.0125,0.0125,0.103125,0.115625,1.0,0.31829340769807846,0.475021127292479,0.0,0.5064214029689589,0.4964031921972659
COUPLING_DERANGED,02,9,50.0,0.0,40.0,21.8,2.770379730167645,82.76113086541999,49.738640857726026,0.56875,0.5125,0.625,0.725,10.209375,1.0,515.68125,2.347812779771731,18.50625,0.9625,0.76875,0.125,0.1,0.15,0.34375,0.171875,1.0,0.4924920546014775,0.5272633611355608,0.0,0.5591990967133482,0.5771627810871187
COUPLING_DERANGED,02,10,50.0,0.0,40.0,19.2,2.545620366295151,90.02192720699108,12.465719227871869,0.659375,0.65,0.66875,0.7625,10.35625,1.0,502.059375,2.4896525771726927,18.54375,0.928125,0.825,0.003125,0.0,0.00625,0.1,0.090625,1.0,0.33106684652262536,0.5109233746204522,0.0,0.5034050216610715,0.5070557370092432
COUPLING_DERANGED,02,11,50.0,0.0,40.0,11.6,1.8859298407562808,2092.8509071664175,36.79468665998182,0.25,0.2375,0.2625,0.253125,11.678125,1.0,276.04375,1.7245733209206384,9.9625,0.275,0.265625,0.025,0.0125,0.0375,0.140625,0.225,1.0,0.10933475285730702,0.1973947394436313,0.0,0.27752982544114363,0.23962905220640743
COUPLING_DERANGED,02,12,50.0,0.0,40.0,7.2,1.0621444280671253,5097.364977700783,4.88710924228898,0.1125,0.10625,0.11875,0.171875,11.796875,1.0,407.621875,1.6895911955456142,12.3,0.315625,0.275,0.09375,0.1,0.0875,0.159375,0.134375,1.0,0.07747413483064591,0.11483050129433132,0.0,0.2666527660206007,0.19669151587525616
COUPLING_DERANGED,02,13,50.0,0.0,40.0,15.2,2.260882827758839,435.05283824150854,8.378106630867059,0.31875,0.29375,0.34375,0.375,11.528125,1.0,439.4125,2.291183454058331,15.559375,0.56875,0.490625,0.01875,0.01875,0.01875,0.109375,0.16875,1.0,0.26388728587708277,0.39088576958190424,0.0,0.3999037209898118,0.3990623481855457
COUPLING_DERANGED,02,14,50.0,0.0,40.0,13.0,1.8999723333974292,786.442838030837,10.583232584425994,0.4125,0.45,0.375,0.4625,11.015625,1.0,554.134375,2.0928547035939986,15.740625,0.4875,0.45625,0.278125,0.275,0.28125,0.38125,0.39375,1.0,0.10970917458840061,0.21876879238325597,0.0,0.31469991728894936,0.2790333166253303
COUPLING_DERANGED,02,15,50.0,0.0,40.0,20.2,2.683963919412233,159.60134653290896,14.21668044825211,0.703125,0.6625,0.74375,0.825,10.028125,1.0,480.66875,2.6366134834868595,19.75,0.971875,0.840625,0.00625,0.0125,0.0,0.034375,0.0875,1.0,0.47804161063044903,0.5467493564364859,0.0,0.5048716705553296,0.5176533700653934
COUPLING_DERANGED,02,16,50.0,0.0,40.0,14.4,2.120643926605562,1245.492753946605,20.235573305328206,0.10625,0.09375,0.11875,0.15625,11.834375,1.0,296.05625,2.0402400554713727,14.246875,0.390625,0.29375,0.01875,0.03125,0.00625,0.075,0.03125,1.0,0.21667818559264962,0.2496243642184645,0.0,0.399778893171676,0.36315599201979065
COUPLING_DERANGED,02,17,50.0,0.0,40.0,14.8,2.1501946053739567,367.2696581284205,3.0072584705821197,0.478125,0.48125,0.475,0.53125,11.0875,1.0,572.075,2.436661595636196,18.015625,0.76875,0.66875,0.0,0.0,0.0,0.121875,0.259375,1.0,0.1681625977980954,0.358418382576157,0.0,0.41756309622860277,0.40788255921750827
COUPLING_DERANGED,02,18,50.0,0.0,40.0,18.8,2.660918589627464,74.19371640922354,128.64990215148424,0.353125,0.36875,0.3375,0.553125,10.9625,1.0,558.85,2.543712424171523,19.5,0.959375,0.721875,0.015625,0.0125,0.01875,0.053125,0.04375,1.0,0.5615905788426736,0.5831256369792596,0.0,0.6126149659629557,0.6212618387838058
COUPLING_DERANGED,02,19,50.0,0.0,40.0,21.6,2.8345174616430144,83.0966126085527,15.277078597617887,0.75,0.74375,0.75625,0.9,9.409375,1.0,607.528125,2.7025587140925875,20.821875,0.99375,0.815625,0.0125,0.0,0.025,0.078125,0.05,1.0,0.6106377354408423,0.6894766475511455,0.0,0.57495220192335,0.6018739411718779
COUPLING_DERANGED,02,20,50.0,0.0,40.0,17.0,2.4411326410625196,311.33529554713266,9.894030398118819,0.246875,0.25625,0.2375,0.34375,11.4875,1.0,449.2125,2.2820690112980353,16.165625,0.65625,0.51875,0.009375,0.0125,0.00625,0.078125,0.1,1.0,0.3394160535586887,0.4705047240675765,0.0,0.5062226605726521,0.5039611886429677
COUPLING_DERANGED,02,21,50.0,0.0,40.0,20.6,2.720961718134866,120.2749192619015,8.686076347778918,0.746875,0.7375,0.75625,0.859375,9.584375,1.0,645.859375,2.631951870356503,19.60625,0.9875,0.81875,0.0,0.0,0.0,0.021875,0.04375,1.0,0.45996353074915736,0.5924967947107741,0.0,0.5303130750229404,0.5555384461859226
COUPLING_DERANGED,02,22,50.0,0.0,40.0,20.4,2.658760018088709,109.47154427932216,180.30769733916082,0.275,0.28125,0.26875,0.5375,10.9375,1.0,397.421875,2.6242172018040364,20.03125,0.91875,0.6625,0.0,0.0,0.0,0.034375,0.028125,1.0,0.499533795883095,0.4538218887065085,0.0,0.5267615074166502,0.5378874023372304
COUPLING_DERANGED,02,23,50.0,0.0,40.0,21.8,2.7249667957761674,181.41477809149714,30.162559236660833,0.50625,0.54375,0.46875,0.678125,10.475,1.0,616.09375,2.4375145113815364,19.0,0.85625,0.74375,0.021875,0.025,0.01875,0.2,0.15,1.0,0.3856257010149854,0.4383339906740136,0.0,0.5347070064223978,0.5440483439973034
COUPLING_DERANGED,02,24,50.0,0.0,40.0,12.4,1.9246480353929774,1190.88697231054,2.070458002613632,0.3875,0.39375,0.38125,0.43125,11.2625,1.0,475.75,2.246708576973978,16.140625,0.596875,0.525,0.05,0.05625,0.04375,0.203125,0.271875,1.0,0.13616629983098572,0.267824312130724,0.0,0.33558802606287735,0.30198976388817955
COUPLING_DERANGED,02,25,50.0,0.0,40.0,21.8,2.817803731802641,56.70308733544349,18.603345666005335,0.725,0.7375,0.7125,0.921875,9.01875,1.0,616.44375,2.7943964345209196,21.8625,1.0,0.675,0.0,0.0,0.0,0.00625,0.009375,1.0,0.614635171390862,0.6893266352758542,0.0,0.5596711708164711,0.5798799722493199
COUPLING_DERANGED,02,26,50.0,0.0,40.0,25.8,3.056581141440741,58.960213804002024,17.66542991400944,0.615625,0.58125,0.65,1.0,5.934375,1.0,569.053125,2.937787911515497,23.35625,1.0,0.275,0.0,0.0,0.0,0.0,0.0,1.0,0.8043667950985688,0.769933370582853,0.0,0.643842607159334,0.6875470115509306
COUPLING_DERANGED,02,27,50.0,0.0,40.0,19.0,2.5761922593901034,133.86680507495663,24.849578792319157,0.696875,0.725,0.66875,0.75625,10.55,1.0,502.5625,2.544173685309196,18.371875,0.9125,0.83125,0.0,0.0,0.0,0.065625,0.146875,1.0,0.39375710837195027,0.47982183595637806,0.0,0.48111937926733883,0.50027025942453
COUPLING_DERANGED,02,28,50.0,0.0,40.0,20.0,2.6044456008561108,192.1609142514777,20.491231466223446,0.503125,0.5125,0.49375,0.54375,11.028125,1.0,459.85625,2.3314919791241833,16.475,0.7625,0.671875,0.00625,0.00625,0.00625,0.109375,0.153125,1.0,0.43965959279189093,0.4523828533089625,0.0,0.578964248686346,0.5906733488778946
COUPLING_DERANGED,02,29,50.0,0.0,40.0,16.2,2.026364417752379,1387.171028510731,5.5312639660494956,0.378125,0.40625,0.35,0.428125,11.2,1.0,576.93125,2.1030381063989547,16.19375,0.53125,0.49375,0.203125,0.2,0.20625,0.390625,0.41875,1.0,0.10861406189354059,0.2520107441879701,0.0,0.36940864143128327,0.33045426852443793
COUPLING_DERANGED,02,30,50.0,0.0,40.0,17.2,2.4241014270964483,192.40574989105346,18.31043521712217,0.515625,0.5375,0.49375,0.70625,10.415625,1.0,530.909375,2.6726427973141824,20.26875,0.953125,0.765625,0.0,0.0,0.0,0.0125,0.03125,1.0,0.426032498793946,0.4666464253096656,0.0,0.5223786464767983,0.5093042032114159
COUPLING_DERANGED,02,31,50.0,0.0,40.0,21.4,2.8060790821747936,127.05581986885436,25.458927446457796,0.609375,0.625,0.59375,0.80625,9.65625,1.0,594.15,2.812487846441429,22.20625,0.9875,0.671875,0.0,0.0,0.0,0.0125,0.046875,1.0,0.5038522783253503,0.5662076991924433,0.2,0.5659021757177463,0.584490886009831
COUPLING_DERANGED,02,32,50.0,0.0,40.0,23.0,2.7771560450461417,263.0306537208523,6.274472080070128,0.61875,0.6,0.6375,0.959375,7.8375,1.0,786.16875,2.9275957655335074,23.9375,1.0,0.475,0.0,0.0,0.0,0.00625,0.0125,1.0,0.6721629334177831,0.7174460164848867,0.0,0.6072296496279111,0.6308836049101004
