candidate,direction,train_fold,test_fold,model,previous,duration_bin,positives,trials,probability
02,odd_to_even,1,0,iid,,,429934,511903,0.8398726326173802
02,odd_to_even,1,0,markov,0.0,,51673,85211,0.6064098200978724
02,odd_to_even,1,0,semimarkov,0.0,1,34451,52871,0.6515991148601366
02,odd_to_even,1,0,semimarkov,0.0,2,10181,17761,0.5732139841243034
02,odd_to_even,1,0,semimarkov,0.0,3,3789,7316,0.5179010658649904
02,odd_to_even,1,0,semimarkov,0.0,4,1637,3421,0.4785276073619632
02,odd_to_even,1,0,semimarkov,0.0,5+,1615,3842,0.42039542143600417
02,odd_to_even,1,0,markov,1.0,,378261,426692,0.8864947714287054
02,odd_to_even,1,0,semimarkov,1.0,1,53400,66335,0.8049957037550688
02,odd_to_even,1,0,semimarkov,1.0,2,44323,51648,0.858160696999032
02,odd_to_even,1,0,semimarkov,1.0,3,37664,42754,0.8809289924221162
02,odd_to_even,1,0,semimarkov,1.0,4,32386,36321,0.8916389064779892
02,odd_to_even,1,0,semimarkov,1.0,5+,210488,229634,0.9166202163423853
02,even_to_odd,0,1,iid,,,437805,519039,0.8434902059760212
02,even_to_odd,0,1,markov,0.0,,52082,84670,0.6151147959183674
02,even_to_odd,0,1,semimarkov,0.0,1,34895,53284,0.6548812070712757
02,even_to_odd,0,1,semimarkov,0.0,2,10175,17744,0.5734249971824636
02,even_to_odd,0,1,semimarkov,0.0,3,3884,7274,0.5339472237493128
02,even_to_odd,0,1,semimarkov,0.0,4,1644,3258,0.504601226993865
02,even_to_odd,0,1,semimarkov,0.0,5+,1484,3110,0.47718508997429304
02,even_to_odd,0,1,markov,1.0,,385723,434369,0.8880058751620159
02,even_to_odd,0,1,semimarkov,1.0,1,53951,66866,0.8068433331339355
02,even_to_odd,0,1,semimarkov,1.0,2,44714,52102,0.8581874712114234
02,even_to_odd,0,1,semimarkov,1.0,3,38129,43160,0.8834159677494092
02,even_to_odd,0,1,semimarkov,1.0,4,32903,36835,0.8932323479110676
02,even_to_odd,0,1,semimarkov,1.0,5+,216026,235406,0.9176705974308434
03,odd_to_even,1,0,iid,,,456997,549188,0.8321309564995721
03,odd_to_even,1,0,markov,0.0,,60620,95032,0.6378874928972789
03,odd_to_even,1,0,semimarkov,0.0,1,41823,61895,0.675703184322342
03,odd_to_even,1,0,semimarkov,0.0,2,11447,19350,0.5915667631252584
03,odd_to_even,1,0,semimarkov,0.0,3,4248,7611,0.5581242611322738
03,odd_to_even,1,0,semimarkov,0.0,4,1734,3237,0.5356591540598951
03,odd_to_even,1,0,semimarkov,0.0,5+,1368,2939,0.46548792927575655
03,odd_to_even,1,0,markov,1.0,,396377,454156,0.8727755538821291
03,odd_to_even,1,0,semimarkov,1.0,1,60135,76030,0.7909301346801347
03,odd_to_even,1,0,semimarkov,1.0,2,49163,58135,0.8456576706744414
03,odd_to_even,1,0,semimarkov,1.0,3,41102,47486,0.8655449797843666
03,odd_to_even,1,0,semimarkov,1.0,4,34796,39597,0.8787343114725119
03,odd_to_even,1,0,semimarkov,1.0,5+,211181,232908,0.9067107466403331
03,even_to_odd,0,1,iid,,,455742,546412,0.8340617187700169
03,even_to_odd,0,1,markov,0.0,,60167,93449,0.6438454377160223
03,even_to_odd,0,1,semimarkov,0.0,1,41615,61495,0.6767159373627982
03,even_to_odd,0,1,semimarkov,0.0,2,11450,19097,0.5995601863971936
03,even_to_odd,0,1,semimarkov,0.0,3,4182,7327,0.5707463501159776
03,even_to_odd,0,1,semimarkov,0.0,4,1656,3034,0.5457839262187089
03,even_to_odd,0,1,semimarkov,0.0,5+,1264,2496,0.5064051240992794
03,even_to_odd,0,1,markov,1.0,,395575,452963,0.8733036768845275
03,even_to_odd,0,1,semimarkov,1.0,1,60410,75730,0.7976945016637617
03,even_to_odd,0,1,semimarkov,1.0,2,49371,58388,0.8455557458468916
03,even_to_odd,0,1,semimarkov,1.0,3,41420,47680,0.8686925883981377
03,even_to_odd,0,1,semimarkov,1.0,4,35098,39911,0.8793876681782877
03,even_to_odd,0,1,semimarkov,1.0,5+,209276,231254,0.9049581416265956
