candidate,direction,train_fold,test_fold,model,previous,duration_bin,positives,trials,probability
02,odd_to_even,1,0,iid,,,76720,94974,0.8077935478436657
02,odd_to_even,1,0,markov,0.0,,12070,20181,0.598077590051033
02,odd_to_even,1,0,semimarkov,0.0,1,8206,13015,0.6304832142582777
02,odd_to_even,1,0,semimarkov,0.0,2,2436,4290,0.5678005591798695
02,odd_to_even,1,0,semimarkov,0.0,3,878,1637,0.5363026235509457
02,odd_to_even,1,0,semimarkov,0.0,4,318,661,0.48114630467571645
02,odd_to_even,1,0,semimarkov,0.0,5+,232,578,0.4017241379310345
02,odd_to_even,1,0,markov,1.0,,64650,74793,0.8643759609599572
02,odd_to_even,1,0,semimarkov,1.0,1,16497,20428,0.8075379344101811
02,odd_to_even,1,0,semimarkov,1.0,2,12749,14807,0.86096292794922
02,odd_to_even,1,0,semimarkov,1.0,3,9991,11316,0.8828414914295812
02,odd_to_even,1,0,semimarkov,1.0,4,7804,8750,0.8917961608775137
02,odd_to_even,1,0,semimarkov,1.0,5+,17609,19492,0.9033548784241305
02,odd_to_even,1,0,legacy_mismatched_iid,,,87254,109997,0.7932344839498541
02,even_to_odd,0,1,iid,,,82382,104460,0.7886408454749095
02,even_to_odd,0,1,markov,0.0,,13342,24098,0.5536514522821577
02,even_to_odd,0,1,semimarkov,0.0,1,8669,14584,0.5944055944055944
02,even_to_odd,0,1,semimarkov,0.0,2,2837,5276,0.5377036756347101
02,even_to_odd,0,1,semimarkov,0.0,3,1024,2164,0.4732225300092336
02,even_to_odd,0,1,semimarkov,0.0,4,431,1006,0.42857142857142855
02,even_to_odd,0,1,semimarkov,0.0,5+,381,1068,0.35700934579439253
02,even_to_odd,0,1,markov,1.0,,69040,80362,0.8591035787168384
02,even_to_odd,0,1,semimarkov,1.0,1,17517,22035,0.7949357898080501
02,even_to_odd,0,1,semimarkov,1.0,2,13514,15862,0.851928895612708
02,even_to_odd,0,1,semimarkov,1.0,3,10579,12058,0.8772802653399668
02,even_to_odd,0,1,semimarkov,1.0,4,8215,9257,0.8873528458796847
02,even_to_odd,0,1,semimarkov,1.0,5+,19215,21150,0.9084720121028744
02,even_to_odd,0,1,legacy_mismatched_iid,,,93281,120298,0.7754114713216957
03,odd_to_even,1,0,iid,,,87482,107747,0.8119147277468932
03,odd_to_even,1,0,markov,0.0,,14026,21969,0.6384324791770971
03,odd_to_even,1,0,semimarkov,0.0,1,9958,14987,0.6644205750883981
03,odd_to_even,1,0,semimarkov,0.0,2,2672,4464,0.5985221674876847
03,odd_to_even,1,0,semimarkov,0.0,3,902,1569,0.5747931253978358
03,odd_to_even,1,0,semimarkov,0.0,4,319,573,0.5565217391304348
03,odd_to_even,1,0,semimarkov,0.0,5+,175,376,0.4656084656084656
03,odd_to_even,1,0,markov,1.0,,73456,85778,0.8563418046164607
03,odd_to_even,1,0,semimarkov,1.0,1,18928,23683,0.7991978045176272
03,odd_to_even,1,0,semimarkov,1.0,2,14453,17043,0.8479906130830156
03,odd_to_even,1,0,semimarkov,1.0,3,11229,12820,0.8758384027452816
03,odd_to_even,1,0,semimarkov,1.0,4,8769,9885,0.8870233640133509
03,odd_to_even,1,0,semimarkov,1.0,5+,20077,22347,0.8983847151997852
03,odd_to_even,1,0,legacy_mismatched_iid,,,99509,124368,0.8001125673393905
03,even_to_odd,0,1,iid,,,93028,117332,0.792856290589258
03,even_to_odd,0,1,markov,0.0,,15685,26196,0.5987479960302313
03,even_to_odd,0,1,semimarkov,0.0,1,10820,16880,0.6409785570430044
03,even_to_odd,0,1,semimarkov,0.0,2,2998,5399,0.5552675430475837
03,even_to_odd,0,1,semimarkov,0.0,3,1076,2137,0.5035063113604488
03,even_to_odd,0,1,semimarkov,0.0,4,418,933,0.4481283422459893
03,even_to_odd,0,1,semimarkov,0.0,5+,373,847,0.44051825677267376
03,even_to_odd,0,1,markov,1.0,,77343,91136,0.8486471065856174
03,even_to_odd,0,1,semimarkov,1.0,1,20148,25627,0.786179718287877
03,even_to_odd,0,1,semimarkov,1.0,2,15308,18125,0.844541291995366
03,even_to_odd,0,1,semimarkov,1.0,3,11784,13676,0.8616025734756544
03,even_to_odd,0,1,semimarkov,1.0,4,9183,10401,0.8828222628088052
03,even_to_odd,0,1,semimarkov,1.0,5+,20920,23307,0.8975503024582779
03,even_to_odd,0,1,legacy_mismatched_iid,,,105479,134946,0.7816344073272667
