candidate,section,metric,replicated_value,reported_low,reported_high,within_reported_range
02,process,break_event,0.2314814814814814,0.64,0.73,False
02,process,resume_2,0.82,0.88,0.91,False
02,process,episode_3,0.66,0.76,0.82,False
02,process,persist_5,0.48,0.53,0.6,False
02,process,old_return,0.12,0.0024,0.0069,False
02,process,old_anchor_gain_mean,-0.2546699514838856,-0.28,-0.24,True
02,confirmation,branch_half_spearman,0.8490162398368529,0.924,0.938,False
02,confirmation,centered_branch_half_spearman,0.7771552625509762,0.606,0.625,False
02,confirmation,full_overall_spearman,0.7514333149470236,0.895,0.918,False
02,confirmation,full_centered_spearman,0.8135797243451185,0.55,0.697,False
02,confirmation,history_overall_spearman,0.8021584879002738,0.742,0.822,True
02,confirmation,history_centered_spearman,0.6598248491593379,0.198,0.345,False
02,confirmation,beta_overall_abs_max,0.1652545063976795,0.0,0.1,False
02,confirmation,log_loss_gain,0.05286741364996493,0.041,0.052,False
02,confirmation,q_brier_gain,0.012700613334045052,0.012,0.018,True
02,confirmation,permutation_p_max,0.03076923076923077,0.0,0.001949317738791423,False
03,process,break_event,0.2407407407407407,0.64,0.73,False
03,process,resume_2,0.9230769230769232,0.88,0.91,False
03,process,episode_3,0.8846153846153846,0.76,0.82,False
03,process,persist_5,0.5192307692307693,0.53,0.6,False
03,process,old_return,0.0576923076923076,0.0024,0.0069,False
03,process,old_anchor_gain_mean,-0.1863404346888242,-0.28,-0.24,False
03,confirmation,branch_half_spearman,0.8496434601111927,0.924,0.938,False
03,confirmation,centered_branch_half_spearman,0.35611469949180374,0.606,0.625,False
03,confirmation,full_overall_spearman,0.8041351358162687,0.895,0.918,False
03,confirmation,full_centered_spearman,0.6109425103585939,0.55,0.697,True
03,confirmation,history_overall_spearman,0.7121162097226861,0.742,0.822,False
03,confirmation,history_centered_spearman,0.3880495615543057,0.198,0.345,False
03,confirmation,beta_overall_abs_max,0.3462242303356603,0.0,0.1,False
03,confirmation,log_loss_gain,0.06986067816471726,0.041,0.052,False
03,confirmation,q_brier_gain,0.017553531629350593,0.012,0.018,True
03,confirmation,permutation_p_max,0.03076923076923077,0.0,0.001949317738791423,False
both,replay,exact_regeneration,,True,True,False
