state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_primary_all8_all,q_primary_all8_A,q_primary_all8_B,prediction_primary_all8_h10,prediction_primary_all8_h10_state,prediction_primary_all8_h10_state_beta,prediction_primary_all8_h10_state_beta_interaction,prediction_primary_all8_state_only,prediction_primary_all8_beta_only,prediction_primary_all8_h10_beta,q_secondary_first5_all,q_secondary_first5_A,q_secondary_first5_B,prediction_secondary_first5_h10,prediction_secondary_first5_h10_state,prediction_secondary_first5_h10_state_beta,prediction_secondary_first5_h10_state_beta_interaction,prediction_secondary_first5_state_only,prediction_secondary_first5_beta_only,prediction_secondary_first5_h10_beta,q_secondary_centroid_all,q_secondary_centroid_A,q_secondary_centroid_B,prediction_secondary_centroid_h10,prediction_secondary_centroid_h10_state,prediction_secondary_centroid_h10_state_beta,prediction_secondary_centroid_h10_state_beta_interaction,prediction_secondary_centroid_state_only,prediction_secondary_centroid_beta_only,prediction_secondary_centroid_h10_beta
REGDEV-c02-m000-g020,REGDEV,02,0,20,40,90,643,0.1015625,0.125,0.078125,0.06593574468999462,0.06763706525407179,0.048321297772390984,0.04852053506782284,0.02075071055506323,0.017066732167193725,0.048008195939576094,0.4140625,0.421875,0.40625,0.18480741416114538,0.18882959004072716,0.20851271474981176,0.20988591801168685,0.08520972375448042,0.09015212186115597,0.20432539671243574,0.3125,0.328125,0.296875,0.18356983977497712,0.19246537905273953,0.1670819535852262,0.16807714185750458,0.09918567837603065,0.07387005735385226,0.1584098773073867
REGDEV-c02-m000-g035,REGDEV,02,0,35,40,19,1265,0.0625,0.0625,0.0625,0.023387637813276647,0.024527750136040992,0.017294760411838465,0.017444739620595548,0.02390690156370866,0.017066732167193725,0.01682035033684386,0.1953125,0.1875,0.203125,0.07098105934120238,0.07694245537540335,0.08620214071634848,0.08783652915752034,0.08007898504257029,0.09015212186115597,0.07965216563636517,0.1640625,0.15625,0.171875,0.07840166316357908,0.08187333945843263,0.06981444669424527,0.07115696034240032,0.08227558834813607,0.07387005735385226,0.06648222186575825
REGDEV-c02-m000-g050,REGDEV,02,0,50,40,21,1817,0.03125,0.015625,0.046875,0.025486101084138645,0.03317373215066828,0.02345242641018363,0.02333461207029387,0.030187849611378867,0.017066732167193725,0.018340627701767875,0.1875,0.140625,0.234375,0.09556002425110996,0.11105687629385419,0.1238711351835217,0.12255202622881048,0.08509228370589754,0.09015212186115597,0.10688825510208305,0.15625,0.125,0.1875,0.09007827041414569,0.09499903774729544,0.08117782951111734,0.08038520611448469,0.07924093893314249,0.07387005735385226,0.07653104462362166
REGDEV-c02-m000-g065,REGDEV,02,0,65,40,21,2383,0.015625,0.015625,0.015625,0.022263045215641743,0.022918108617365495,0.016151926609474634,0.016036165327697284,0.02367645765444906,0.017066732167193725,0.016006369548005554,0.1328125,0.140625,0.125,0.08095726991009838,0.08437135756003576,0.0944336140116933,0.09329273014316203,0.07864040127716103,0.09015212186115597,0.09072805997181915,0.0859375,0.09375,0.078125,0.07959328839300171,0.08338525306680511,0.07112092472519088,0.0702819089853641,0.08322297286690755,0.07387005735385226,0.06750595375103842
REGDEV-c02-m000-g080,REGDEV,02,0,80,40,27,3093,0.046875,0.0625,0.03125,0.02126743030878551,0.030154712236466655,0.02129861750812634,0.021285217966357232,0.03277201449190345,0.017066732167193725,0.015286181925564793,0.140625,0.125,0.15625,0.07268766004016834,0.08841647786127091,0.09890904822988926,0.09860409403792164,0.08739763452904194,0.09015212186115597,0.0815489458413238,0.125,0.109375,0.140625,0.07317953700669323,0.07710264979369656,0.06569613980659166,0.06542719327603867,0.0772879627267136,0.07387005735385226,0.06200060678783734
REGDEV-c03-m000-g020,REGDEV,03,0,20,44,33,571,0.0703125,0.0625,0.078125,0.02862314350810938,0.03188315628519973,0.03190087727704349,0.03220934971166162,0.028130437892116347,0.02461955491693036,0.028641085901199962,0.171875,0.203125,0.140625,0.10972534842463502,0.12293038336659325,0.1266675686262364,0.12696462692762142,0.10117932642082707,0.08935615650855014,0.11372614402029829,0.125,0.109375,0.140625,0.11542447584347075,0.1272763172934017,0.11946523290571846,0.11948798417466017,0.10897924531086153,0.08619454974844076,0.10806436524748396
REGDEV-c03-m000-g035,REGDEV,03,0,35,39,23,1019,0.0390625,0.03125,0.046875,0.027671488494381745,0.02953971161301191,0.0295561698588628,0.029016652011909567,0.026291830896132674,0.02461955491693036,0.027688851347678286,0.1328125,0.09375,0.171875,0.08726692030816986,0.09439900506787317,0.09736510200571966,0.09699472872029816,0.09138021303956773,0.08935615650855014,0.09053211044835205,0.1171875,0.109375,0.125,0.09061100346830148,0.09461891859849761,0.0886085633160039,0.08807772139987308,0.09331522246586751,0.08619454974844076,0.08468166810949217
REGDEV-c03-m000-g050,REGDEV,03,0,50,37,43,1508,0.0625,0.0625,0.0625,0.03151969562087023,0.034934103388209924,0.03495345890408142,0.034681913266870125,0.02756195431028698,0.02461955491693036,0.03153939476162814,0.203125,0.234375,0.171875,0.08513364161698252,0.09621650572764291,0.09923345239512835,0.09906193402969261,0.09625464139729902,0.08935615650855014,0.08832673695479087,0.15625,0.171875,0.140625,0.08275428801803039,0.08871414690593081,0.08304446915033886,0.08294431563947201,0.096607063957834,0.08619454974844076,0.07729537571248025
REGDEV-c03-m000-g065,REGDEV,03,0,65,39,13,2046,0.0546875,0.03125,0.078125,0.023514853509265767,0.027188449559641694,0.02720363450637493,0.02681637386351706,0.02625298516174472,0.02461955491693036,0.023529671340288265,0.125,0.09375,0.15625,0.10810786156578009,0.10629553991628579,0.10959020122731904,0.10912270232807784,0.07177446271209989,0.08935615650855014,0.11205710377873018,0.15625,0.15625,0.15625,0.11027069178949576,0.09525832232428165,0.08921135310777878,0.0888701284074534,0.06527732542404392,0.08619454974844076,0.10320087451558047
REGDEV-c03-m000-g080,REGDEV,03,0,80,42,57,2721,0.0546875,0.046875,0.0625,0.029526660007701738,0.030574338860423125,0.03059135538455393,0.031508982855493514,0.026299683133891416,0.02461955491693036,0.029545151542817578,0.2421875,0.234375,0.25,0.14600601239266517,0.1501071796814239,0.15452499990345117,0.1555859098717542,0.09601626678252166,0.08935615650855014,0.15110514256794588,0.234375,0.25,0.21875,0.14329426386927385,0.1546315227119566,0.14542136034054584,0.14689124378283097,0.11326461542594674,0.08619454974844076,0.134427086880842
REGDEV-c02-m001-g020,REGDEV,02,1,20,40,57,1182,0.0,0.0,0.0,0.011105890931675608,0.010250379627856158,0.009999219371779177,0.010057357062016988,0.01965562092168764,0.018049697556006696,0.01113443451905463,0.0078125,0.0,0.015625,0.043637002678003856,0.041969765640711476,0.03828410478244852,0.03877362726167481,0.08230071393508356,0.06584653977465998,0.040365195379762506,0.015625,0.015625,0.015625,0.06397036277133133,0.06467921657742699,0.11303822454090622,0.1140748890288188,0.09692494341047549,0.1326979209634124,0.11524388646866397
REGDEV-c02-m001-g035,REGDEV,02,1,35,40,74,2127,0.0,0.0,0.0,0.012560842884479824,0.010887674345788379,0.010621066324563782,0.01061556919264212,0.018633257382568796,0.018049697556006696,0.012593078268415823,0.0,0.0,0.0,0.056504340590416924,0.05347704896335939,0.0488323611180104,0.048747747514106085,0.07956895424264782,0.06584653977465998,0.05232054855671336,0.0234375,0.03125,0.015625,0.0712041973301879,0.07231069442624868,0.12560929346769203,0.1255202724125981,0.09552250209825382,0.1326979209634124,0.12748609484089357
REGDEV-c02-m001-g050,REGDEV,02,1,50,40,69,3247,0.0,0.0,0.0,0.008272375479311254,0.008516850827966266,0.008307809881116388,0.008295255174925267,0.022641030223162707,0.018049697556006696,0.008293697639824437,0.015625,0.015625,0.015625,0.03826064722745865,0.03940741581955595,0.03593833191473846,0.035759661459069406,0.0843082190108787,0.06584653977465998,0.03537703590070411,0.0390625,0.046875,0.03125,0.0497855638375283,0.05178959654736573,0.09145367183083745,0.09117666336365812,0.09371210123891274,0.1326979209634124,0.09079249063281856
REGDEV-c02-m001-g065,REGDEV,02,1,65,40,74,4187,0.0,0.0,0.0,0.01189483335183105,0.01878277134141578,0.0183264169795888,0.01835099349134298,0.028051387303455542,0.018049697556006696,0.011925380171591367,0.046875,0.03125,0.0625,0.04835444630171277,0.06334821203384182,0.057898619464599566,0.05806083415387318,0.097493110749888,0.06584653977465998,0.04474548414779611,0.046875,0.046875,0.046875,0.054242047876301956,0.06704973169266194,0.11695948276629402,0.11722032803544312,0.1048953277036669,0.1326979209634124,0.09853899550505071
REGDEV-c02-m001-g080,REGDEV,02,1,80,40,63,5166,0.0,0.0,0.0,0.010062132691324879,0.008400200310622913,0.008193998818195915,0.00815207249380702,0.017536622766202006,0.018049697556006696,0.010088021049965248,0.0,0.0,0.0,0.04987438187955518,0.04585232477510982,0.041840599757413194,0.04146657133890018,0.07930229876946204,0.06584653977465998,0.04615748067216221,0.03125,0.046875,0.015625,0.05532833638250289,0.05512789665021328,0.09708689458294063,0.09631113421795211,0.09706503003431699,0.1326979209634124,0.10041821281087132
REGDEV-c03-m001-g020,REGDEV,03,1,20,33,41,1023,0.0,0.0,0.0,0.027036044943935054,0.026028475147013837,0.025967434365815004,0.02678695970684652,0.025225953260005558,0.024612990739611075,0.0269673128365477,0.0078125,0.015625,0.0,0.06874088111456238,0.07102268221543492,0.06530964235233398,0.06575650590223032,0.0946850999346909,0.07886797334892885,0.06299352953819863,0.0234375,0.046875,0.0,0.08380223400232556,0.08504992861347828,0.10049618341178576,0.10080118455622288,0.10658775110916,0.11461425596540468,0.09920184129945586
REGDEV-c03-m001-g035,REGDEV,03,1,35,36,51,1943,0.0,0.0,0.0,0.024199898893078425,0.023973930719424587,0.023917589841228135,0.024129720664254416,0.02523170506755359,0.024612990739611075,0.024138198072381312,0.0234375,0.0,0.046875,0.07275831835892975,0.07138944175242626,0.06564898472820399,0.06581746999958639,0.09221989440652553,0.07886797334892885,0.06669913070030405,0.0859375,0.09375,0.078125,0.09092237957311686,0.09695256469918223,0.11429047876590606,0.11502909172057421,0.11317385520035216,0.11461425596540468,0.10747690803060392
REGDEV-c03-m001-g050,REGDEV,03,1,50,44,22,2621,0.0,0.0,0.0,0.020407264614935697,0.016950117527554296,0.016909997255137844,0.016473970032662717,0.022077060140420286,0.024612990739611075,0.02035503190260256,0.015625,0.0,0.03125,0.05700683867947733,0.05262251744152488,0.048312605869060644,0.048073749419486625,0.07741428539541093,0.07886797334892885,0.05218558093805186,0.0234375,0.015625,0.03125,0.07623715728878726,0.06947167153469938,0.08234332114636003,0.08201844763682462,0.09247014524771567,0.11461425596540468,0.0903837376302147
REGDEV-c03-m001-g065,REGDEV,03,1,65,33,39,3455,0.0,0.0,0.0,0.040567569118374135,0.040280043934294504,0.040186960057813824,0.03985186664638086,0.025530465355567314,0.024612990739611075,0.04046586735494238,0.0234375,0.03125,0.015625,0.11103386517038775,0.10937994670875406,0.10091663980950714,0.10066272250695371,0.09404512643073437,0.07886797334892885,0.10213827023401716,0.0390625,0.0625,0.015625,0.15897942235190676,0.1702392217159093,0.19781209135347805,0.1972431785898468,0.11681853855941567,0.11461425596540468,0.1853982070988406
