state_id,cohort,candidate,matrix_id,landmark,mass,q_all,q_half_A,q_half_B,prediction_prior,prediction_history,prediction_beta,prediction_full
CONF-c02-m000-g020,CONF,02,0,20,40,0.921875,0.90625,0.9375,0.34825,0.7177838169283544,0.3823847197626019,0.7796449631475393
CONF-c02-m000-g035,CONF,02,0,35,40,0.09375,0.03125,0.15625,0.34825,0.32158970195887154,0.3823847197626019,0.19972153803091675
CONF-c02-m000-g050,CONF,02,0,50,40,0.203125,0.1875,0.21875,0.34825,0.23188008043342903,0.3823847197626019,0.25281980730529335
CONF-c02-m000-g065,CONF,02,0,65,40,0.203125,0.125,0.28125,0.34825,0.33676421922449395,0.3823847197626019,0.2458932644766232
CONF-c02-m000-g080,CONF,02,0,80,40,0.234375,0.1875,0.28125,0.34825,0.2795836608176209,0.3823847197626019,0.3122214495191852
CONF-c03-m000-g020,CONF,03,0,20,39,0.8125,0.78125,0.84375,0.38684375,0.5482917507973778,0.38834778282154003,0.6333281522742719
CONF-c03-m000-g035,CONF,03,0,35,43,0.140625,0.1875,0.09375,0.38684375,0.5787754315398007,0.38834778282154003,0.430482016485108
CONF-c03-m000-g050,CONF,03,0,50,31,0.21875,0.1875,0.25,0.38684375,0.5419156011574076,0.38834778282154003,0.46687579895467696
CONF-c03-m000-g065,CONF,03,0,65,35,0.140625,0.15625,0.125,0.38684375,0.2920110498772559,0.38834778282154003,0.25197473100168855
CONF-c03-m000-g080,CONF,03,0,80,36,0.421875,0.46875,0.375,0.38684375,0.33055850718130136,0.38834778282154003,0.3495121524573352
CONF-c02-m001-g020,CONF,02,1,20,40,0.0,0.0,0.0,0.34825,0.128462375534818,0.08153600169849355,0.002728564804683287
CONF-c02-m001-g035,CONF,02,1,35,40,0.0,0.0,0.0,0.34825,0.09227630094915376,0.08153600169849355,0.0012174350044877138
CONF-c02-m001-g050,CONF,02,1,50,40,0.0,0.0,0.0,0.34825,0.06602378732426914,0.08153600169849355,0.002249578815493092
CONF-c02-m001-g065,CONF,02,1,65,40,0.0,0.0,0.0,0.34825,0.047087379702485825,0.08153600169849355,0.001715998731414675
CONF-c02-m001-g080,CONF,02,1,80,40,0.0,0.0,0.0,0.34825,0.03640462972993533,0.08153600169849355,0.0016247933600129316
CONF-c03-m001-g020,CONF,03,1,20,43,0.0,0.0,0.0,0.38684375,0.13939130219322585,0.11963799785354325,0.0024182918206071004
CONF-c03-m001-g035,CONF,03,1,35,44,0.0,0.0,0.0,0.38684375,0.11016316438000004,0.11963799785354325,0.0008299012440849925
CONF-c03-m001-g050,CONF,03,1,50,36,0.0,0.0,0.0,0.38684375,0.06959739999347794,0.11963799785354325,0.0007274434299314007
CONF-c03-m001-g065,CONF,03,1,65,42,0.0,0.0,0.0,0.38684375,0.06328942744727135,0.11963799785354325,0.0005930418835656912
CONF-c03-m001-g080,CONF,03,1,80,37,0.0,0.0,0.0,0.38684375,0.04276128365895405,0.11963799785354325,0.0021805185681434917
