cohort,candidate,metric,estimate,lower_95,upper_95,defined_n
VALI,02,break_event,0.4661875,0.4268453125,0.5105140625,32000
VALI,02,resume_2,0.8535326451266926,0.8445643179552179,0.8630865050080123,14918
VALI,02,episode_3,0.7470170264110471,0.7354640580772277,0.7582769667885813,14918
VALI,02,persist_5,0.5138758546722081,0.4962890883298139,0.5316836533956578,14918
VALI,02,old_return,0.0447110872771149,0.04013780743229075,0.04994915207500883,14918
VALI,02,positive_gain,0.08707444151024195,0.07977333383405939,0.0950416110628784,14011
VALI,02,repeat_return,0.272863568215892,0.22820435055427737,0.31774083646616536,667
VALI,02,old_anchor_gain,-0.17443762100593693,-0.18073611995341585,-0.16797413150237925,14011
VALI,03,break_event,0.510875,0.46710390625000003,0.5545546874999999,32000
VALI,03,resume_2,0.8674455590897969,0.8589250771013686,0.8743216464311353,16348
VALI,03,episode_3,0.7572180083190604,0.7478156484728667,0.7670060702632011,16348
VALI,03,persist_5,0.5025079520430634,0.48719833506929067,0.5194599918518935,16348
VALI,03,old_return,0.0461830193295816,0.040309414286723765,0.05226960043201655,16348
VALI,03,positive_gain,0.09718984718984719,0.08920871197565693,0.10681140560231019,15444
VALI,03,repeat_return,0.33642384105960266,0.30018963453926173,0.3699866392229083,755
VALI,03,old_anchor_gain,-0.17335065822577972,-0.18010904867955238,-0.16621995729190647,15444
CONF,02,break_event,0.50290625,0.45887343750000004,0.5487421875,64000
CONF,02,resume_2,0.8483191449698627,0.8395777902184896,0.8572284351199637,32186
CONF,02,episode_3,0.7379606039893121,0.726365273183527,0.7506885649166902,32186
CONF,02,persist_5,0.4949978251413658,0.4775223966959799,0.512324930994943,32186
CONF,02,old_return,0.04414963027403219,0.039651851054514076,0.04976785849817541,32186
CONF,02,positive_gain,0.08596700457165574,0.07743065259635534,0.09546478481758995,30186
CONF,02,repeat_return,0.28078817733990147,0.2520380946269678,0.3085991082876248,1421
CONF,02,old_anchor_gain,-0.18038180150981153,-0.1877166037401467,-0.17249873786880093,30186
CONF,03,break_event,0.555734375,0.5141507812499999,0.597862890625,64000
CONF,03,resume_2,0.8619506846233869,0.8557098930687678,0.8687940870684191,35567
CONF,03,episode_3,0.7498805072117413,0.7383735901893517,0.7614276173797523,35567
CONF,03,persist_5,0.5018697106868727,0.48541676715591814,0.5181413850691489,35567
CONF,03,old_return,0.047178564399583886,0.04233824323677391,0.05274194721568732,35567
CONF,03,positive_gain,0.09835236735665001,0.09072397802951718,0.1066928365610494,33624
CONF,03,repeat_return,0.32717520858164484,0.2951931878595041,0.3594042249168544,1678
CONF,03,old_anchor_gain,-0.17734527166270292,-0.1838664609727993,-0.171144616323597,33624
