state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,MODEL_UP,94,51,0.5525527801555914,0.0512127289355947,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,MODEL_DOWN,62,58,0.29066979358518497,-0.21067025763481173,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,RANDOM,53,31,0.41211758588866015,-0.08922246533133654,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,NOOP,-1,-1,0.5013400512199967,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,MODEL_UP,78,85,0.40236869792870406,0.04020885439449573,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,MODEL_DOWN,84,58,0.16815413467774531,-0.194005708856463,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,RANDOM,48,30,0.37010589851937103,0.00794605498516271,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,NOOP,-1,-1,0.3621598435342083,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,MODEL_UP,25,84,0.5742815134904886,0.04913063491067848,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,MODEL_DOWN,95,58,0.35586220897327664,-0.1692886696065335,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,RANDOM,35,36,0.5224104446658981,-0.002740433913911988,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,NOOP,-1,-1,0.5251508785798101,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,MODEL_UP,78,84,0.5648764954967975,0.07460563228653977,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,MODEL_DOWN,18,58,0.3367728614205968,-0.15349800178966094,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,RANDOM,69,95,0.519793332143711,0.029522468933453283,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,NOOP,-1,-1,0.49027086321025776,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,MODEL_UP,78,51,0.6155856823411555,0.06344284002523126,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,MODEL_DOWN,84,58,0.41215767153157307,-0.1399851707843512,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,RANDOM,4,53,0.5496911052109237,-0.002451737105000573,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,NOOP,-1,-1,0.5521428423159243,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,MODEL_UP,43,29,0.6810332024750594,0.050465842649914494,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,MODEL_DOWN,29,58,0.2820250688796736,-0.3485422909454713,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,RANDOM,76,41,0.6377878236897992,0.007220463864654358,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,NOOP,-1,-1,0.6305673598251449,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,MODEL_UP,78,46,0.5671259364938639,0.05593157432492324,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,MODEL_DOWN,51,58,0.3208735784172922,-0.19032078375164846,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,RANDOM,54,25,0.5113160219947561,0.00012165982581546775,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,NOOP,-1,-1,0.5111943621689407,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,MODEL_UP,15,95,0.5161976886889849,0.08961785572097852,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,MODEL_DOWN,46,58,0.18738804325257807,-0.23919178971542826,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,RANDOM,54,24,0.4410782206093077,0.014498387641301347,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,NOOP,-1,-1,0.42657983296800633,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,MODEL_UP,2,84,0.44238971080635764,0.10245325560345814,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,MODEL_DOWN,73,31,0.18079602908788583,-0.15914042611501367,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,RANDOM,69,30,0.3555994716942704,0.015663016491370918,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,NOOP,-1,-1,0.3399364552028995,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,MODEL_UP,78,60,0.4226532510979758,0.048771879551051056,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,MODEL_DOWN,87,31,0.17462630080288863,-0.19925507074403612,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,RANDOM,55,74,0.3933938652088397,0.01951249366191493,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,NOOP,-1,-1,0.37388137154692475,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,MODEL_UP,57,27,0.6310384320969634,0.027652922484730502,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,MODEL_DOWN,3,87,0.5495325360139827,-0.05385297359825025,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,RANDOM,23,41,0.579816790076985,-0.023568719535247973,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,NOOP,-1,-1,0.6033855096122329,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,MODEL_UP,87,77,0.5379948396703222,0.12799536457999683,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,MODEL_DOWN,19,87,0.36157024506859403,-0.048429230021731384,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,RANDOM,62,17,0.41737863991836227,0.007379164828036855,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,NOOP,-1,-1,0.4099994750903254,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,MODEL_UP,87,4,0.3577528009293265,0.15107566754138538,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,MODEL_DOWN,53,87,0.16681686692584044,-0.03986026646210067,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,RANDOM,20,40,0.22231003529158339,0.015632901903642277,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,NOOP,-1,-1,0.2066771333879411,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,MODEL_UP,87,24,0.3319330174614879,0.12627099525553287,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,MODEL_DOWN,52,87,0.17039894672977426,-0.035263075476180766,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,RANDOM,68,26,0.2010763093179685,-0.004585712887986537,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,NOOP,-1,-1,0.20566202220595503,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,MODEL_UP,20,35,0.4517068398017258,0.04214346436837857,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,MODEL_DOWN,46,87,0.30270096810775404,-0.10686240732559321,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,RANDOM,52,97,0.4068308157270775,-0.0027325597062697327,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,NOOP,-1,-1,0.40956337543334725,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,MODEL_UP,87,63,0.2217829553182657,0.0412914831751382,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,MODEL_DOWN,6,87,0.1538226102859124,-0.026668861857215093,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,RANDOM,72,49,0.1774480115689151,-0.0030434605742123977,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,NOOP,-1,-1,0.1804914721431275,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,MODEL_UP,87,35,0.20558297362060182,0.13988356611774913,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,MODEL_DOWN,93,87,0.043877663525713574,-0.021821743977139117,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,RANDOM,85,71,0.06314613015390316,-0.0025532773489495286,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,NOOP,-1,-1,0.06569940750285269,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,MODEL_UP,20,4,0.6854834979658991,0.037913795169701836,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,MODEL_DOWN,54,87,0.5364411500519338,-0.11112855274426348,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,RANDOM,3,28,0.6542220294533364,0.006652326657139107,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,NOOP,-1,-1,0.6475697027961973,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,MODEL_UP,87,6,0.27289036891944457,0.1747580743546777,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,MODEL_DOWN,77,87,0.0675109267726374,-0.030621367792129484,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,RANDOM,33,81,0.09692061883910692,-0.001211675725659958,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,NOOP,-1,-1,0.09813229456476688,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,MODEL_UP,12,69,0.5760035970591723,0.04480463136999013,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,MODEL_DOWN,96,87,0.404982571743569,-0.12621639394561313,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,RANDOM,0,92,0.5193060417552693,-0.011892923933912836,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,NOOP,-1,-1,0.5311989656891821,0.0,True,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,MODEL_UP,43,0,0.48356379995104465,0.22616030177450364,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,MODEL_DOWN,24,96,0.20311134481362178,-0.05429215336291923,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,RANDOM,36,48,0.2676177881634082,0.010214289986867187,False,False
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,NOOP,-1,-1,0.257403498176541,0.0,True,False
