state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,19,38,601,0.5525527801555914,0.53125,0.53125,0.53125,0.29066979358518497,0.234375,0.21875,0.25,0.41211758588866015,0.421875,0.53125,0.3125,0.5013400512199967,0.40625,0.53125,0.28125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,16,22,976,0.40236869792870406,0.3125,0.25,0.375,0.16815413467774531,0.328125,0.4375,0.21875,0.37010589851937103,0.375,0.40625,0.34375,0.3621598435342083,0.3125,0.0625,0.5625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,21,28,1544,0.5742815134904886,0.6875,0.78125,0.59375,0.35586220897327664,0.390625,0.4375,0.34375,0.5224104446658981,0.75,0.71875,0.78125,0.5251508785798101,0.6875,0.625,0.75
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,17,33,1964,0.5648764954967975,0.5625,0.53125,0.59375,0.3367728614205968,0.28125,0.25,0.3125,0.519793332143711,0.515625,0.65625,0.375,0.49027086321025776,0.5,0.5625,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,22,32,2550,0.6155856823411555,0.6875,0.65625,0.71875,0.41215767153157307,0.296875,0.3125,0.28125,0.5496911052109237,0.453125,0.46875,0.4375,0.5521428423159243,0.625,0.59375,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,43,25,42,582,0.6810332024750594,0.765625,0.78125,0.75,0.2820250688796736,0.359375,0.25,0.46875,0.6377878236897992,0.78125,0.90625,0.65625,0.6305673598251449,0.875,0.875,0.875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,47,19,17,898,0.5671259364938639,0.25,0.21875,0.28125,0.3208735784172922,0.328125,0.34375,0.3125,0.5113160219947561,0.3125,0.46875,0.15625,0.5111943621689407,0.375,0.3125,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,40,20,23,1191,0.5161976886889849,0.59375,0.5625,0.625,0.18738804325257807,0.484375,0.4375,0.53125,0.4410782206093077,0.46875,0.5,0.4375,0.42657983296800633,0.390625,0.40625,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,30,11,12,1686,0.44238971080635764,0.4375,0.5,0.375,0.18079602908788583,0.375,0.34375,0.40625,0.3555994716942704,0.40625,0.40625,0.40625,0.3399364552028995,0.28125,0.21875,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,39,12,23,2043,0.4226532510979758,0.3125,0.25,0.375,0.17462630080288863,0.40625,0.34375,0.46875,0.3933938652088397,0.390625,0.5,0.28125,0.37388137154692475,0.375,0.40625,0.34375
