state_id,candidate,matrix_id,landmark,arm,empirical_quantile,legal_edit_count,selected_rank_zero_based,remove_type,add_type,noop_predicted_probability,predicted_probability,predicted_shift_from_noop
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q00,0,1881,0,62,58,0.5013400512199967,0.29066979358518497,-0.21067025763481173
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q20,0.20000000000000001,1881,376,61,91,0.5013400512199967,0.49825586569191682,-0.0030841855280798747
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q40,0.40000000000000002,1881,752,92,73,0.5013400512199967,0.50617485654277661,0.0048348053227799115
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q60,0.59999999999999998,1881,1128,61,10,0.5013400512199967,0.51606616907829983,0.014726117858303134
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q80,0.80000000000000004,1881,1504,19,24,0.5013400512199967,0.52507003082551384,0.023729979605517149
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,Q100,1,1881,1880,94,51,0.5013400512199967,0.55255278015559139,0.051212728935594698
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q00,0,1584,0,84,58,0.36215984353420833,0.16815413467774531,-0.19400570885646301
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q20,0.20000000000000001,1584,317,63,20,0.36215984353420833,0.35288862035562424,-0.0092712231785840871
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q40,0.40000000000000002,1584,633,63,46,0.36215984353420833,0.36277059389667565,0.00061075036246732717
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q60,0.59999999999999998,1584,950,16,13,0.36215984353420833,0.37203736638504381,0.0098775228508354851
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q80,0.80000000000000004,1584,1266,20,64,0.36215984353420833,0.38208071703987301,0.019920873505664682
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,Q100,1,1584,1583,78,85,0.36215984353420833,0.40236869792870406,0.04020885439449573
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,Q00,0,2079,0,95,58,0.52515087857981013,0.35586220897327664,-0.16928866960653349
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,Q20,0.20000000000000001,2079,416,66,99,0.52515087857981013,0.51645931778263909,-0.0086915607971710385
