state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_Q00,q_all_Q00,q_half_A_Q00,q_half_B_Q00,prediction_Q20,q_all_Q20,q_half_A_Q20,q_half_B_Q20,prediction_Q40,q_all_Q40,q_half_A_Q40,q_half_B_Q40,prediction_Q60,q_all_Q60,q_half_A_Q60,q_half_B_Q60,prediction_Q80,q_all_Q80,q_half_A_Q80,q_half_B_Q80,prediction_Q100,q_all_Q100,q_half_A_Q100,q_half_B_Q100
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,19,38,601,0.29066979358518497,0.34375,0.3125,0.375,0.4982558656919168,0.59375,0.65625,0.53125,0.5061748565427766,0.40625,0.25,0.5625,0.5160661690782998,0.484375,0.46875,0.5,0.5250700308255138,0.46875,0.46875,0.46875,0.5525527801555914,0.546875,0.5,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,16,22,976,0.16815413467774531,0.34375,0.34375,0.34375,0.35288862035562424,0.375,0.5625,0.1875,0.36277059389667565,0.359375,0.375,0.34375,0.3720373663850438,0.296875,0.25,0.34375,0.382080717039873,0.40625,0.34375,0.46875,0.40236869792870406,0.375,0.3125,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,21,28,1544,0.35586220897327664,0.578125,0.53125,0.625,0.5164593177826391,0.5,0.4375,0.5625,0.5260079000143039,0.625,0.5625,0.6875,0.5339873395501676,0.625,0.5,0.75,0.5435297856269184,0.71875,0.6875,0.75,0.5742815134904886,0.65625,0.71875,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,17,33,1964,0.3367728614205968,0.421875,0.5,0.34375,0.48431077062386374,0.59375,0.625,0.5625,0.4960348910670409,0.546875,0.59375,0.5,0.5072993743651113,0.5,0.40625,0.59375,0.5145288029199907,0.421875,0.46875,0.375,0.5648764954967975,0.53125,0.46875,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,22,32,2550,0.41215767153157307,0.359375,0.40625,0.3125,0.5476183044489318,0.53125,0.65625,0.40625,0.5575350952355412,0.4375,0.53125,0.34375,0.565930897234501,0.6875,0.6875,0.6875,0.5745404202802137,0.578125,0.59375,0.5625,0.6155856823411555,0.546875,0.5625,0.53125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g020,03,0,20,43,25,42,582,0.2820250688796736,0.578125,0.5625,0.59375,0.611285259741485,0.765625,0.78125,0.75,0.6272125188658979,0.78125,0.8125,0.75,0.6322650197668226,0.828125,0.84375,0.8125,0.63701494372896,0.859375,0.90625,0.8125,0.6810332024750594,0.8125,0.78125,0.84375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g035,03,0,35,47,19,17,898,0.3208735784172922,0.21875,0.15625,0.28125,0.5042932091166772,0.265625,0.15625,0.375,0.5120690199603009,0.296875,0.21875,0.375,0.5188353661492673,0.28125,0.15625,0.40625,0.5279298621670581,0.25,0.375,0.125,0.5671259364938639,0.140625,0.125,0.15625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g050,03,0,50,40,20,23,1191,0.18738804325257807,0.4375,0.40625,0.46875,0.4188346017911065,0.515625,0.375,0.65625,0.4281910116072572,0.5625,0.59375,0.53125,0.4369660583806911,0.59375,0.65625,0.53125,0.44495063638903404,0.5,0.4375,0.5625,0.5161976886889849,0.640625,0.6875,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,30,11,12,1686,0.18079602908788583,0.4375,0.4375,0.4375,0.33136208454482635,0.375,0.34375,0.40625,0.34013932498919314,0.328125,0.375,0.28125,0.35782377109704483,0.359375,0.375,0.34375,0.37094987291520815,0.375,0.34375,0.40625,0.44238971080635764,0.375,0.375,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,39,12,23,2043,0.17462630080288863,0.421875,0.5,0.34375,0.371695359514119,0.34375,0.3125,0.375,0.38039621323375417,0.390625,0.3125,0.46875,0.39010569896993824,0.328125,0.28125,0.375,0.3992836753571059,0.390625,0.40625,0.375,0.4226532510979758,0.359375,0.40625,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,40,25,53,917,0.5495325360139827,0.234375,0.15625,0.3125,0.5908259421599609,0.4375,0.5625,0.3125,0.5965564572400875,0.53125,0.5625,0.5,0.6012535116331791,0.578125,0.5625,0.59375,0.6074252322406407,0.59375,0.59375,0.59375,0.6310384320969634,0.625,0.625,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,40,21,62,1611,0.36157024506859403,0.171875,0.21875,0.125,0.40525377548334734,0.296875,0.15625,0.4375,0.41171842214919135,0.28125,0.375,0.1875,0.4180717355675031,0.296875,0.34375,0.25,0.4263094579577549,0.15625,0.15625,0.15625,0.5379948396703222,0.484375,0.53125,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,40,15,25,2218,0.16681686692584044,0.125,0.125,0.125,0.2036579438029217,0.140625,0.1875,0.09375,0.20900048755596312,0.125,0.125,0.125,0.21526063433543152,0.1875,0.25,0.125,0.22392248227772865,0.25,0.21875,0.28125,0.3577528009293265,0.203125,0.21875,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,40,19,28,2838,0.17039894672977426,0.140625,0.125,0.15625,0.20208572622059062,0.171875,0.1875,0.15625,0.20756876568607707,0.15625,0.09375,0.21875,0.21267139204015198,0.15625,0.1875,0.125,0.21857850081485442,0.234375,0.25,0.21875,0.3319330174614879,0.375,0.40625,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,40,20,42,3451,0.30270096810775404,0.1875,0.1875,0.1875,0.40011335668115455,0.59375,0.6875,0.5,0.40785427616080144,0.5,0.46875,0.53125,0.4151742761033402,0.671875,0.71875,0.625,0.42258851109319717,0.625,0.625,0.625,0.4517068398017258,0.640625,0.53125,0.75
