state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RULE_UP,q_all_RULE_UP,q_half_A_RULE_UP,q_half_B_RULE_UP,prediction_RULE_DOWN,q_all_RULE_DOWN,q_half_A_RULE_DOWN,q_half_B_RULE_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,14,44,792,0.4230830295533789,0.671875,0.71875,0.625,0.3249673915029825,0.421875,0.4375,0.40625,0.34701884992191295,0.5625,0.625,0.5,0.3525997567189535,0.59375,0.59375,0.59375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,19,29,1622,0.48669356675959546,0.609375,0.71875,0.5,0.4464538878596021,0.5625,0.5625,0.5625,0.46232415244961517,0.59375,0.5,0.6875,0.45767006288395373,0.703125,0.78125,0.625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,22,40,2329,0.5919243390332153,0.546875,0.625,0.46875,0.5495183004148853,0.59375,0.5,0.6875,0.5759745342700219,0.640625,0.625,0.65625,0.5710692834175137,0.53125,0.625,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,16,32,2918,0.35284338372534035,0.46875,0.46875,0.46875,0.305710849853499,0.40625,0.3125,0.5,0.34116536484773385,0.4375,0.40625,0.46875,0.3215308247633282,0.390625,0.34375,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,20,54,3648,0.5362145863318609,0.546875,0.5625,0.53125,0.47495616967158777,0.5625,0.53125,0.59375,0.49636125574470796,0.5,0.5,0.5,0.49004276685030135,0.65625,0.71875,0.59375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m000-g020,03,0,20,41,18,38,835,0.5060761676893811,0.421875,0.53125,0.3125,0.44610386193696905,0.359375,0.4375,0.28125,0.510738948534335,0.390625,0.53125,0.25,0.48680993423872476,0.40625,0.40625,0.40625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m000-g035,03,0,35,39,18,51,1418,0.613042315122336,0.625,0.65625,0.59375,0.5253254669138039,0.53125,0.53125,0.53125,0.6008758438146424,0.734375,0.875,0.59375,0.5932137081629298,0.671875,0.65625,0.6875
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m000-g050,03,0,50,38,22,22,1885,0.6207668139409327,0.90625,0.875,0.9375,0.5264638827590515,0.625,0.65625,0.59375,0.571381471963957,0.859375,0.90625,0.8125,0.5708309801766001,0.6875,0.71875,0.65625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m000-g065,03,0,65,44,24,20,2448,0.5666063686820311,0.828125,0.875,0.78125,0.5352978599751795,0.71875,0.6875,0.75,0.5602937399018455,0.671875,0.65625,0.6875,0.555807595916153,0.796875,0.78125,0.8125
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m000-g080,03,0,80,36,20,28,2953,0.5638391474874667,0.4375,0.4375,0.4375,0.47533391472145425,0.265625,0.1875,0.34375,0.5155229691697769,0.53125,0.5625,0.5,0.49293778837682867,0.3125,0.25,0.375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m001-g020,02,1,20,40,15,40,816,0.4151607585508618,0.4375,0.46875,0.40625,0.30441293622796395,0.421875,0.46875,0.375,0.32079817539952843,0.34375,0.34375,0.34375,0.32629113537531124,0.390625,0.5,0.28125
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m001-g035,02,1,35,40,13,48,1271,0.24868851824774696,0.265625,0.28125,0.25,0.11617169558528656,0.1875,0.125,0.25,0.2551215536883038,0.359375,0.25,0.46875,0.2242449609474377,0.28125,0.21875,0.34375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m001-g050,02,1,50,40,20,33,1865,0.4121227956321913,0.59375,0.59375,0.59375,0.24100964670243555,0.421875,0.375,0.46875,0.39608910435455025,0.5625,0.625,0.5,0.39761122310982255,0.609375,0.65625,0.5625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m001-g065,02,1,65,40,22,50,2471,0.5831273052455562,0.78125,0.78125,0.78125,0.47030157714941434,0.546875,0.46875,0.625,0.5413692676793042,0.796875,0.84375,0.75,0.5583411698724937,0.796875,0.71875,0.875
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m001-g080,02,1,80,40,24,39,3132,0.6035573487548783,0.546875,0.5625,0.53125,0.4483916727938665,0.421875,0.375,0.46875,0.5677428243721774,0.46875,0.5,0.4375,0.5560816220720287,0.5,0.59375,0.40625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m001-g020,03,1,20,34,16,17,897,0.25143171677989823,0.375,0.4375,0.3125,0.15588473158267568,0.375,0.40625,0.34375,0.2384986493483895,0.53125,0.4375,0.625,0.1952691189966249,0.421875,0.40625,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m001-g035,03,1,35,37,20,41,1379,0.5949395654478377,0.640625,0.625,0.65625,0.45672261508732137,0.6875,0.625,0.75,0.5842840748718411,0.71875,0.71875,0.71875,0.5820654505780961,0.75,0.6875,0.8125
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m001-g050,03,1,50,45,21,36,1928,0.5900177773714164,0.78125,0.71875,0.84375,0.38979719559524767,0.59375,0.625,0.5625,0.5771166512324594,0.78125,0.78125,0.78125,0.5682440732675305,0.75,0.75,0.75
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m001-g065,03,1,65,39,18,23,2522,0.5158070709601174,0.703125,0.71875,0.6875,0.2589289531746281,0.453125,0.46875,0.4375,0.3364569514499808,0.5,0.53125,0.46875,0.32177532542934784,0.515625,0.625,0.40625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m001-g080,03,1,80,35,17,20,3027,0.47296826112599744,0.484375,0.46875,0.5,0.20920644113459835,0.34375,0.25,0.4375,0.2468351584757897,0.3125,0.3125,0.3125,0.24615283591764922,0.34375,0.3125,0.375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m002-g020,02,2,20,40,22,28,886,0.5873735094230362,0.6875,0.59375,0.78125,0.49022189804628663,0.578125,0.5625,0.59375,0.5686240316778847,0.6875,0.625,0.75,0.5766400844763819,0.71875,0.6875,0.75
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m002-g035,02,2,35,40,25,39,1635,0.7047338817355996,0.671875,0.59375,0.75,0.6384394021197449,0.640625,0.65625,0.625,0.6793532089456208,0.765625,0.8125,0.71875,0.6780680961057727,0.6875,0.71875,0.65625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m002-g050,02,2,50,40,18,42,2346,0.5590454488985785,0.78125,0.84375,0.71875,0.4480882766914409,0.609375,0.6875,0.53125,0.5484564860390605,0.6875,0.8125,0.5625,0.5147098799298674,0.734375,0.71875,0.75
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m002-g065,02,2,65,40,22,41,3193,0.728819309853136,0.8125,0.75,0.875,0.6389515494604804,0.6875,0.71875,0.65625,0.7170384323186076,0.84375,0.84375,0.84375,0.7243301554490787,0.765625,0.78125,0.75
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m002-g080,02,2,80,40,14,24,3864,0.29027731144435703,0.671875,0.78125,0.5625,0.20757184752512764,0.46875,0.46875,0.46875,0.26872911311906883,0.5625,0.65625,0.46875,0.23951108435133184,0.46875,0.5,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m002-g020,03,2,20,38,20,28,690,0.6400488431838302,0.765625,0.84375,0.6875,0.4891042825070391,0.609375,0.5625,0.65625,0.5322081202504961,0.671875,0.59375,0.75,0.5325766408931336,0.671875,0.65625,0.6875
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m002-g035,03,2,35,40,18,35,1314,0.6054679502976181,0.6875,0.625,0.75,0.5630320959901277,0.546875,0.53125,0.5625,0.613860315750002,0.625,0.59375,0.65625,0.5994031254197835,0.671875,0.71875,0.625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m002-g050,03,2,50,40,28,52,1883,0.7550288261685473,0.734375,0.71875,0.75,0.7088846785385419,0.8125,0.78125,0.84375,0.772822860284078,0.765625,0.75,0.78125,0.7709175987457019,0.796875,0.65625,0.9375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m002-g065,03,2,65,44,21,39,2559,0.6646715163112557,0.53125,0.40625,0.65625,0.5224086253004522,0.53125,0.375,0.6875,0.5627435264748502,0.59375,0.625,0.5625,0.5690717340561966,0.484375,0.53125,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c03-m002-g080,03,2,80,48,22,16,3126,0.7275932514959086,0.640625,0.59375,0.6875,0.6185825966282443,0.65625,0.65625,0.65625,0.6675508481020661,0.65625,0.5625,0.75,0.6600921278915723,0.515625,0.4375,0.59375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m003-g020,02,3,20,40,16,37,815,0.4842502845280051,0.5,0.53125,0.46875,0.3232862653255362,0.359375,0.21875,0.5,0.4335750027273911,0.515625,0.5625,0.46875,0.43398872327033516,0.53125,0.4375,0.625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m003-g035,02,3,35,40,20,71,1442,0.6139060440182529,0.65625,0.65625,0.65625,0.5255910052825292,0.640625,0.625,0.65625,0.6078399066133005,0.65625,0.71875,0.59375,0.5949535399344019,0.5,0.40625,0.59375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m003-g050,02,3,50,40,24,47,2303,0.5651876403451964,0.515625,0.5,0.53125,0.46071657181104814,0.4375,0.5625,0.3125,0.5190704787373475,0.546875,0.6875,0.40625,0.5097640869632384,0.5625,0.46875,0.65625
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m003-g065,02,3,65,40,20,59,3023,0.5850289023472789,0.484375,0.53125,0.4375,0.5128289468372942,0.5,0.46875,0.53125,0.5332808316690021,0.5,0.46875,0.53125,0.5363485473478572,0.46875,0.5,0.4375
INTCR3_OUTGOING_RULE_CONFIRMATION_V1-c02-m003-g080,02,3,80,40,21,45,3766,0.5073688852330501,0.3125,0.3125,0.3125,0.40059659770248235,0.40625,0.3125,0.5,0.45630790507798613,0.46875,0.53125,0.40625,0.45724707901435213,0.3125,0.21875,0.40625
