cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop
c02_A,02,A,0,0.075,0.075,0.0,-0.00625
c02_A,02,A,1,0.15,0.1,0.05,-0.03125
c02_A,02,A,2,0.0,0.0,0.0,0.0
c02_A,02,A,3,0.1875,0.125,0.0625,-0.05
c02_A,02,A,4,-0.01875,-0.0625,0.04375,-0.0125
c02_A,02,A,5,0.05,0.025,0.025,0.01875
c02_A,02,A,6,0.14375,0.125,0.01875,0.05625
c02_A,02,A,7,0.10625,-0.0125,0.11875,-0.05
c02_A,02,A,8,0.1125,0.1375,-0.025,-0.04375
c02_A,02,A,9,0.09375,0.0375,0.05625,0.025
c02_A,02,A,10,0.075,0.06875,0.00625,-0.01875
c02_A,02,A,11,0.19375,0.1,0.09375,-0.04375
c02_A,02,A,12,0.0,0.0,0.0,0.0
c02_A,02,A,13,-0.1,-0.00625,-0.09375,-0.03125
c02_A,02,A,14,-0.04375,0.01875,-0.0625,0.01875
c02_A,02,A,15,0.14375,0.05,0.09375,-0.05625
c02_A,02,A,16,0.0,0.0,0.0,0.0
c02_A,02,A,17,0.14375,0.09375,0.05,0.0125
c02_A,02,A,18,0.18125,0.09375,0.0875,-0.025
c02_A,02,A,19,0.05625,0.03125,0.025,-0.01875
c02_A,02,A,20,0.0625,-0.00625,0.06875,-0.03125
c02_A,02,A,21,0.06875,0.09375,-0.025,-0.04375
c02_A,02,A,22,0.08125,0.08125,0.0,-0.03125
c02_A,02,A,23,0.21875,0.1125,0.10625,0.0875
c02_A,02,A,24,0.275,0.075,0.2,-0.01875
c02_A,02,A,25,0.0125,0.01875,-0.00625,0.0125
c02_A,02,A,26,0.3875,0.2875,0.1,0.05
c02_A,02,A,27,0.05,0.04375,0.00625,0.025
c02_A,02,A,28,0.1375,0.13125,0.00625,0.03125
c02_A,02,A,29,-0.00625,-0.01875,0.0125,-0.15
c02_A,02,A,30,0.05625,0.0375,0.01875,0.03125
c02_A,02,A,31,0.06875,0.075,-0.00625,-0.0125
c02_A,02,A,32,0.2125,0.1,0.1125,-0.06875
c02_A,02,A,33,0.00625,0.00625,0.0,0.0
c02_A,02,A,34,0.075,-0.0125,0.0875,-0.05625
c02_A,02,A,35,0.1,0.10625,-0.00625,0.025
c02_A,02,A,36,0.05,-0.0375,0.0875,-0.03125
c02_A,02,A,37,0.19375,0.09375,0.1,0.00625
c02_A,02,A,38,0.06875,-0.0125,0.08125,-0.0875
c02_A,02,A,39,0.06875,0.05625,0.0125,0.0375
c02_A,02,A,40,0.19375,0.05625,0.1375,-0.08125
c02_A,02,A,41,0.14375,0.01875,0.125,-0.075
c02_A,02,A,42,0.00625,-0.025,0.03125,0.04375
c02_A,02,A,43,0.06875,0.025,0.04375,0.025
c02_A,02,A,44,0.0,0.0,0.0,0.0
c02_A,02,A,45,0.3125,0.16875,0.14375,0.01875
c02_A,02,A,46,0.15,0.0625,0.0875,0.06875
c02_A,02,A,47,0.04375,0.08125,-0.0375,0.06875
c02_A,02,A,48,0.0125,-0.00625,0.01875,-0.00625
c02_A,02,A,49,0.34375,0.2375,0.10625,0.00625
c02_A,02,A,50,0.24375,0.08125,0.1625,-0.0375
c02_A,02,A,51,0.05,0.03125,0.01875,-0.01875
c02_A,02,A,52,0.18125,0.11875,0.0625,-0.05
c02_A,02,A,53,0.2,0.1625,0.0375,0.05625
c02_A,02,A,54,0.0,0.0,0.0,0.0
c02_A,02,A,55,0.2,0.075,0.125,-0.0125
c02_A,02,A,56,0.0,0.0,0.0,0.0
c02_A,02,A,57,-0.0625,0.0375,-0.1,0.15
c02_A,02,A,58,0.00625,0.01875,-0.0125,0.0375
c02_A,02,A,59,0.3125,0.175,0.1375,-0.03125
c02_A,02,A,60,0.05625,0.05625,0.0,0.0
