state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_GLOBAL_RANDOM_SURGERY,q_all_GLOBAL_RANDOM_SURGERY,q_half_A_GLOBAL_RANDOM_SURGERY,q_half_B_GLOBAL_RANDOM_SURGERY,prediction_THROUGHPUT_NEUTRAL_TOPOLOGY,q_all_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_A_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_B_THROUGHPUT_NEUTRAL_TOPOLOGY,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,12,20,517,0.1580806383551662,0.078125,0.03125,0.125,0.09755624342749152,0.0,0.0,0.0,0.12630821603748524,0.0,0.0,0.0,0.06438385242644341,0.0625,0.0625,0.0625,0.12654830476518142,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,12,25,862,0.12562597271118703,0.0625,0.09375,0.03125,0.08133584068912506,0.0,0.0,0.0,0.10155077440515829,0.0,0.0,0.0,0.05425518389573799,0.09375,0.09375,0.09375,0.10171521359847609,0.015625,0.0,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,17,41,1305,0.1583446039587965,0.046875,0.0625,0.03125,0.10795505946693532,0.0,0.0,0.0,0.13230718373568995,0.0,0.0,0.0,0.05379882645400631,0.203125,0.125,0.28125,0.13309152736968652,0.015625,0.0,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,5,11,1656,0.013038868884537487,0.0625,0.0625,0.0625,0.0074434754030775745,0.015625,0.03125,0.0,0.009698454082948855,0.0,0.0,0.0,0.00276915690540692,0.03125,0.03125,0.03125,0.009905318703608692,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,10,13,2036,0.0411146576823595,0.109375,0.15625,0.0625,0.025386952566238314,0.0,0.0,0.0,0.03301863227765382,0.0,0.0,0.0,0.009422782980825493,0.0,0.0,0.0,0.032677654739984206,0.015625,0.03125,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m000-g020,03,0,20,46,16,23,441,0.1963026260434713,0.0625,0.0625,0.0625,0.12439331437055821,0.0,0.0,0.0,0.15635966369972315,0.0,0.0,0.0,0.11480762571327459,0.21875,0.1875,0.25,0.1576667197244231,0.03125,0.03125,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m000-g035,03,0,35,42,11,10,764,0.04091777494025719,0.015625,0.03125,0.0,0.02079434936251145,0.015625,0.03125,0.0,0.030069884878163634,0.03125,0.0,0.0625,0.014123385825763697,0.03125,0.0,0.0625,0.02961846225881222,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m000-g050,03,0,50,42,13,24,964,0.21255956770355894,0.046875,0.0625,0.03125,0.14640440367094182,0.03125,0.03125,0.03125,0.17995830550197991,0.015625,0.03125,0.0,0.13250111238655532,0.203125,0.21875,0.1875,0.17980515602074623,0.015625,0.03125,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m000-g065,03,0,65,48,12,29,1363,0.04442364100530413,0.078125,0.09375,0.0625,0.025445223953020804,0.0,0.0,0.0,0.033949907533244485,0.0,0.0,0.0,0.03412263655641497,0.015625,0.03125,0.0,0.03399502328831016,0.015625,0.03125,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m000-g080,03,0,80,37,7,26,1815,0.03918807499807649,0.03125,0.0,0.0625,0.024027650291766584,0.0,0.0,0.0,0.030881201641975164,0.0,0.0,0.0,0.010751250411811686,0.0625,0.09375,0.03125,0.030861284005721783,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m001-g020,02,1,20,40,16,42,1009,0.32708203252073675,0.125,0.15625,0.09375,0.24130202792501884,0.015625,0.03125,0.0,0.2648401646864189,0.015625,0.03125,0.0,0.17945624021959958,0.03125,0.03125,0.03125,0.2853054863385219,0.015625,0.03125,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m001-g035,02,1,35,40,16,63,1737,0.20557057058118244,0.265625,0.1875,0.34375,0.14237414257490338,0.046875,0.09375,0.0,0.2001209577394753,0.1875,0.1875,0.1875,0.1852949275385091,0.109375,0.15625,0.0625,0.17293095333108383,0.125,0.15625,0.09375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m001-g050,02,1,50,40,19,74,2387,0.2845963259531747,0.34375,0.375,0.3125,0.2159763028802594,0.171875,0.15625,0.1875,0.24962649847760926,0.203125,0.15625,0.25,0.16034933350761024,0.671875,0.71875,0.625,0.25268865853573436,0.28125,0.21875,0.34375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m001-g065,02,1,65,40,18,76,3161,0.14260973008901434,0.234375,0.15625,0.3125,0.10032950220598857,0.0,0.0,0.0,0.11142678881389449,0.0,0.0,0.0,0.07862189588436846,0.015625,0.0,0.03125,0.12156491611971385,0.0625,0.03125,0.09375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m001-g080,02,1,80,40,17,48,3814,0.11829301735310382,0.1875,0.15625,0.21875,0.08195563281047061,0.015625,0.0,0.03125,0.1005337444614428,0.046875,0.0,0.09375,0.05390698391923676,0.171875,0.1875,0.15625,0.099125241879388,0.0625,0.09375,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m001-g020,03,1,20,39,22,36,775,0.5419386690712442,0.5,0.46875,0.53125,0.4394416468845302,0.203125,0.21875,0.1875,0.49376022770318,0.234375,0.21875,0.25,0.6435383242054191,0.546875,0.46875,0.625,0.4945939000278771,0.140625,0.15625,0.125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m001-g035,03,1,35,41,11,18,1249,0.2196957868826348,0.1875,0.15625,0.21875,0.14671363802706816,0.015625,0.03125,0.0,0.19010965243427547,0.046875,0.0625,0.03125,0.17050424808326653,0.046875,0.03125,0.0625,0.18215884568782345,0.078125,0.0625,0.09375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m001-g050,03,1,50,41,21,48,1906,0.3513160188516865,0.28125,0.3125,0.25,0.26767395888030593,0.015625,0.0,0.03125,0.3217909443390667,0.109375,0.0625,0.15625,0.4594956237398419,0.171875,0.21875,0.125,0.31052597698070283,0.078125,0.03125,0.125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m001-g065,03,1,65,38,9,31,2380,0.062299469753081434,0.109375,0.125,0.09375,0.038524239821117565,0.03125,0.03125,0.03125,0.05123436297920718,0.109375,0.09375,0.125,0.028765844228446587,0.0,0.0,0.0,0.04930201586328666,0.0625,0.0625,0.0625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m001-g080,03,1,80,38,20,34,2916,0.3474829271340943,0.421875,0.4375,0.40625,0.29748063165785404,0.390625,0.34375,0.4375,0.3244515919934894,0.328125,0.25,0.40625,0.4461639520167213,0.5,0.5,0.5,0.32388187419446635,0.40625,0.4375,0.375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m002-g020,02,2,20,40,1,1,22,1.3165298729293059e-05,0.0,0.0,0.0,1.3165298729293059e-05,0.0,0.0,0.0,1.3165298729293059e-05,0.0,0.0,0.0,1.3165298729293059e-05,0.0,0.0,0.0,1.3165298729293059e-05,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m002-g035,02,2,35,40,1,1,37,1.0207574498617187e-05,0.0,0.0,0.0,1.0207574498617187e-05,0.0,0.0,0.0,1.0207574498617187e-05,0.0,0.0,0.0,1.0207574498617187e-05,0.0,0.0,0.0,1.0207574498617187e-05,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m002-g050,02,2,50,40,1,1,52,7.916688918867411e-06,0.0,0.0,0.0,7.916688918867411e-06,0.0,0.0,0.0,7.916688918867411e-06,0.0,0.0,0.0,7.916688918867411e-06,0.0,0.0,0.0,7.916688918867411e-06,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m002-g065,02,2,65,40,1,1,67,6.136283807774249e-06,0.0,0.0,0.0,6.136283807774249e-06,0.0,0.0,0.0,6.136283807774249e-06,0.0,0.0,0.0,6.136283807774249e-06,0.0,0.0,0.0,6.136283807774249e-06,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m002-g080,02,2,80,40,1,1,82,4.757694943898256e-06,0.0,0.0,0.0,4.757694943898256e-06,0.0,0.0,0.0,4.757694943898256e-06,0.0,0.0,0.0,4.757694943898256e-06,0.0,0.0,0.0,4.757694943898256e-06,0.0,0.0,0.0
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m002-g020,03,2,20,43,1,1,23,1.603404604734638e-05,0.0,0.0,0.0,1.603404604734638e-05,0.0,0.0,0.0,1.603404604734638e-05,0.0,0.0,0.0,1.603404604734638e-05,0.0,0.0,0.0,1.603404604734638e-05,0.0,0.0,0.0
