state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m000-g020,02,0,20,20,40,25,976f85bc51cf8455b31cf07dc6980b3550c38688af3ad18dbe46da4c804e301f
VALI-c02-m000-g035,02,0,35,35,40,23,67a087f76443b1ab187a394d44852e7edfd2b62a706b47e8d8b12dc2fe50b8e3
VALI-c02-m000-g050,02,0,50,50,40,27,b33a35a831d1ba680b17e776210cc4015a34618d2bcc5c98d1b0de81a51711aa
VALI-c02-m000-g065,02,0,65,65,40,18,4d4d4820cf5153daaf8b0ee775476613aa05fddee4e85626e29079164ca6f25f
VALI-c02-m000-g080,02,0,80,80,40,23,83342b752fc1b84e3129b2ad33f4ee1b73f497f7ae8d98cd911c6ad1efcc0863
VALI-c03-m000-g020,03,0,20,20,39,18,00ee5f8876237458831afba9ac1ea1afe45f07b184bea505bf8589da074ad74b
VALI-c03-m000-g035,03,0,35,35,42,19,ef3770ae925cb74740e57f4af78e1e537638d11dc6ba7b29d710bb2237644e7f
VALI-c03-m000-g050,03,0,50,50,51,26,80a71560ae8cf624a9f2b48a4bb54cbf0200451c42dbbc338aded6623f662a01
VALI-c03-m000-g065,03,0,65,65,40,18,fc09fd239d5f4daf030887d1c9eadbbb8727d1f64252297ef17c6ef3d3cdfddf
VALI-c03-m000-g080,03,0,80,80,37,18,aaf49f299e0286636b09af4eefee58fe023c8b6105821035f66ee413ecd587d7
VALI-c02-m001-g020,02,1,20,20,40,15,0e8ad3702453a6f54f038cde0c8034299fc217fac45c04b2d68e16ea5d964c09
VALI-c02-m001-g035,02,1,35,35,40,21,da36cdf0b5bc416cab4572d7f28ff5242b564219a21e1aed2991570e588d8548
VALI-c02-m001-g050,02,1,50,50,40,18,cd18fe0135b12cda2b424d0437fb208887bd30e50a70b291bc005a9c90d46793
VALI-c02-m001-g065,02,1,65,65,40,14,810c5eb1d8390003dd453de4a731ff111f8d93b0616556cfdca9228484b96d1e
VALI-c02-m001-g080,02,1,80,80,40,20,ec7e9f430e92aad8e89a6966bd91a6efc0c43e918f56b80e9b7aef808c791ed3
VALI-c03-m001-g020,03,1,20,20,43,19,8d8113399e72b439a5f0bddf423b73e252bd781c7fa31808a3c54a2a89feb38b
VALI-c03-m001-g035,03,1,35,35,43,22,3f6d2999c818732a1ddcf39abdd702e8ca0157382d0e60166e77b17e77973ea8
VALI-c03-m001-g050,03,1,50,50,48,27,69ec9e2728711d1d43fc0106268ddb4442f8106542e951d36d2259127dbdec8c
VALI-c03-m001-g065,03,1,65,65,38,25,b7dbc4173c2134f7735958ff0a6668a69987823f178c27c7dff6cec9a2b8a045
VALI-c03-m001-g080,03,1,80,80,35,17,fe08533cb279ea13ddfd5903d4ae5083139d31e3c348666ebfbd3a33edd078bd
VALI-c02-m002-g020,02,2,20,20,40,12,766a5d4f0cb3cd68be0eea796731011584f58d8930bed473abea1cad474b2867
