source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
VALI-c02-m000-g020,VALI-c02-m000-g020-natural-break-f03,02,0,20,True,natural_break_observed,3,3,0.8149402457644773,362d6fdf8837d7567d238c9846ce6a0a97d3180dbf6298c4207cfbaaff5b87a7,9b986bd11a79765a93b79c0bfc949f08972870512a6429cffad2eb6cd13ca732
VALI-c02-m000-g035,VALI-c02-m000-g035-natural-break-f24,02,0,35,True,natural_break_observed,24,24,0.8605488947222698,06d24b15669deeb77ea63fd528d5845036e7a4a688d9ad6f755a861467b02da6,7a0f7db89ebc43836fd90132637dd1b7f2f24e27e2d1fb896b87c039779ca620
VALI-c02-m000-g050,VALI-c02-m000-g050-natural-break-f01,02,0,50,True,natural_break_observed,1,1,0.8898159847813967,55e0e9927191678837aeb4af3aefd7b640698ab42c20f6f27b7fd8351c97ae70,dcc8ff4114bec8b8b01f64777849025f68f5898cddf0f38b0d5e11ab192e514c
VALI-c02-m000-g065,VALI-c02-m000-g065-natural-break-f15,02,0,65,True,natural_break_observed,15,15,0.8988114323651132,8f94a1871548c5d07e422dd4845d83f19e33f50292d877978941e431954c3ad3,d8fa8a2f3242c945501572b9ba81289b01030bbcae096b5a27e98c4755a6d4d3
VALI-c02-m000-g080,VALI-c02-m000-g080-natural-break-f02,02,0,80,True,natural_break_observed,2,2,0.878309452065069,a5e92f120b730206cc6c1af76b1cbcd4a7113517a8cecd379085444acf33cc3e,74fb8fcb0a6499f09518e276b20f1acf355c4e92e0df4223ae893ce0597c7f75
VALI-c03-m000-g020,VALI-c03-m000-g020-natural-break-f05,03,0,20,True,natural_break_observed,5,5,0.8874599007011275,1e2aa4ceeee33cabec77db9dcd9dda14e5cd4e15c73220f2b7595462cf3dd631,865af1d2cb118c57939943af4ff27a128dd18d58ce865940252977c9f857cdd2
VALI-c03-m000-g035,VALI-c03-m000-g035-natural-break-f25,03,0,35,True,natural_break_observed,25,25,0.8599469399380054,574a4021b2e833f41f0c54c975c4606688d4c8bd95dc8f5a582fd16ef4928020,fd1d9837fda631ceb43eee5d1d4329ca2a563887928f636391a6910b47ea4cbd
VALI-c03-m000-g050,VALI-c03-m000-g050-natural-break-f01,03,0,50,True,natural_break_observed,1,1,0.8719952464990817,23ab9f762270efde3cf1cc8561b69f1b4917adc4a73839f1b66c184b16914e28,29aa17e43a9d3bc855266f75dd656a12ba80cc9678bf0059ce93761947930284
VALI-c03-m000-g065,VALI-c03-m000-g065-natural-break-f03,03,0,65,True,natural_break_observed,3,3,0.8606875408206669,3d6dce13e09429b52d68f3338560ef25c7c9d6504440179c372508d4cb22b19a,9ba7b9f0e70edf3fcc100b962e3c4d521196579a26b94d1053342ba7d0be77f8
VALI-c03-m000-g080,VALI-c03-m000-g080-natural-break-f09,03,0,80,True,natural_break_observed,9,9,0.8795274432963429,2a279dac022e3724b2839dd3abfa8cbe0b66955ba5220725fa91a87626b3f985,5022bbaafb4ccb8914613a2512b25aa29071f9b48d3e48afce27467d0ae208b7
VALI-c02-m001-g020,VALI-c02-m001-g020-natural-break-f09,02,1,20,True,natural_break_observed,9,9,0.867952152323096,785050d9d6ffd8613f655781ba5ffd73a6a13c6d9e0a26a59c90342f00731fd5,b6c48a128fbbb459a466f97d0ae9a1e718a35aab8bdcf0f2262d786ebec0ae86
VALI-c02-m001-g035,VALI-c02-m001-g035-natural-break-f03,02,1,35,True,natural_break_observed,3,3,0.8967598135425473,e5f1a0e3ed08b78c95fda2cda89f315ea1c3b672459616f81cbb3b11bd9cd364,f96411dc4d8c246138fe7e98a5dd8f38eb8537f65681fe34398260ced2278873
VALI-c02-m001-g050,VALI-c02-m001-g050-natural-break-f04,02,1,50,True,natural_break_observed,4,4,0.859377192808679,caa368ccf98e7769c7a0a85df7daa2efe6a9673c09bd49584bbadfdfb5be7245,ec21d1c9a95213c3dface4fdb90a5fdb9048b643ef059259926c5dfeef33ce2f
VALI-c02-m001-g065,VALI-c02-m001-g065-natural-break-f12,02,1,65,True,natural_break_observed,12,12,0.8879535677396304,6c14ca29512bf9ff2556530fe7c01fd623221328bf399ae2df25aa86862d7a93,8be48cf20f8847e31b44205d0665f3fd5743bf8d827957c40f1650762254e82e
VALI-c02-m001-g080,VALI-c02-m001-g080-natural-break-f06,02,1,80,True,natural_break_observed,6,6,0.8655693679492532,47209269e67e2c85d3a2c7cc7ebcf6afc23e9abb05bee38954adad0ea72f4c40,741e75206f793a72be62512dcc5b641a6164157726c8002437a0444d6b0750f1
VALI-c03-m001-g020,VALI-c03-m001-g020-natural-break-f26,03,1,20,True,natural_break_observed,26,26,0.8954253672699165,971712bcb6ff5cb847b8449f73a9773ee6d5c5b703355060e3801074b3f0099d,44504c78e747e6fe3d35ed991d09893c8a2e2ad408a67b5721f38da61f24381f
VALI-c03-m001-g035,VALI-c03-m001-g035-natural-break-f14,03,1,35,True,natural_break_observed,14,14,0.8679563435367671,40b7671abd8880823d400933317d07bbdc38c90f46d8628edcc2e2757996e017,6cd116de3d5c67025f5c8efddabbbe3310ac50c384cba8e839eb8ba4aed832be
VALI-c03-m001-g050,VALI-c03-m001-g050-natural-break-f01,03,1,50,True,natural_break_observed,1,1,0.8877960453740589,54144718a5bbe879b658a59f22f0d18e1b812404bc5a003500ee9e74193d470e,6817d82360c3bb8849580a970f80827cce76ffe89d102a427be9760c6600cea0
