state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m000-g020-natural-break-f03,02,0,20,23,40,32,362d6fdf8837d7567d238c9846ce6a0a97d3180dbf6298c4207cfbaaff5b87a7
VALI-c02-m000-g035-natural-break-f24,02,0,35,59,40,22,06d24b15669deeb77ea63fd528d5845036e7a4a688d9ad6f755a861467b02da6
VALI-c02-m000-g050-natural-break-f01,02,0,50,51,40,20,55e0e9927191678837aeb4af3aefd7b640698ab42c20f6f27b7fd8351c97ae70
VALI-c02-m000-g065-natural-break-f15,02,0,65,80,40,21,8f94a1871548c5d07e422dd4845d83f19e33f50292d877978941e431954c3ad3
VALI-c02-m000-g080-natural-break-f02,02,0,80,82,40,24,a5e92f120b730206cc6c1af76b1cbcd4a7113517a8cecd379085444acf33cc3e
VALI-c03-m000-g020-natural-break-f05,03,0,20,25,38,23,1e2aa4ceeee33cabec77db9dcd9dda14e5cd4e15c73220f2b7595462cf3dd631
VALI-c03-m000-g035-natural-break-f25,03,0,35,60,37,19,574a4021b2e833f41f0c54c975c4606688d4c8bd95dc8f5a582fd16ef4928020
VALI-c03-m000-g050-natural-break-f01,03,0,50,51,39,23,23ab9f762270efde3cf1cc8561b69f1b4917adc4a73839f1b66c184b16914e28
VALI-c03-m000-g065-natural-break-f03,03,0,65,68,38,22,3d6dce13e09429b52d68f3338560ef25c7c9d6504440179c372508d4cb22b19a
VALI-c03-m000-g080-natural-break-f09,03,0,80,89,33,18,2a279dac022e3724b2839dd3abfa8cbe0b66955ba5220725fa91a87626b3f985
VALI-c02-m001-g020-natural-break-f09,02,1,20,29,40,24,785050d9d6ffd8613f655781ba5ffd73a6a13c6d9e0a26a59c90342f00731fd5
VALI-c02-m001-g035-natural-break-f03,02,1,35,38,40,20,e5f1a0e3ed08b78c95fda2cda89f315ea1c3b672459616f81cbb3b11bd9cd364
VALI-c02-m001-g050-natural-break-f04,02,1,50,54,40,24,caa368ccf98e7769c7a0a85df7daa2efe6a9673c09bd49584bbadfdfb5be7245
VALI-c02-m001-g065-natural-break-f12,02,1,65,77,40,22,6c14ca29512bf9ff2556530fe7c01fd623221328bf399ae2df25aa86862d7a93
VALI-c02-m001-g080-natural-break-f06,02,1,80,86,40,26,47209269e67e2c85d3a2c7cc7ebcf6afc23e9abb05bee38954adad0ea72f4c40
VALI-c03-m001-g020-natural-break-f26,03,1,20,46,38,23,971712bcb6ff5cb847b8449f73a9773ee6d5c5b703355060e3801074b3f0099d
VALI-c03-m001-g035-natural-break-f14,03,1,35,49,40,28,40b7671abd8880823d400933317d07bbdc38c90f46d8628edcc2e2757996e017
VALI-c03-m001-g050-natural-break-f01,03,1,50,51,41,23,54144718a5bbe879b658a59f22f0d18e1b812404bc5a003500ee9e74193d470e
VALI-c03-m001-g065-natural-break-f16,03,1,65,81,32,16,767cf23ebcecc3073c31ee68475c00fbf086398846d3a72a1988da5f61b79ea2
VALI-c03-m001-g080-natural-break-f07,03,1,80,87,39,20,d579cf5ff9c25557c2af9aa85c05ca757e4e5bf6665cd70925583b54721be84e
VALI-c02-m002-g035-natural-break-f33,02,2,35,68,40,20,84ca7a7c977d949504f3ae92ada95e6a3aa72836c2b60c2bf4c045becc517dda
