source_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,broken_state_id,break_h,broken_state_digest,old_anchor_digest
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g020,02,0,20,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g035,02,0,35,True,natural_break_observed,19,19,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f19,0.8751129232610485,5551777cac17d879e530da11ad9f62a830208c154d8e519a33e793ce0fb33606,1366a4c0dcbd34074a1d6ea6dbea2871b5cb4a29c3096f6c452d5c7f1f12cbcb
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g050,02,0,50,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f06,0.8856610311847763,535d59c6279e8180c21c9e4bb2a7135443c60540714b8ddcb449babd1962b6ad,e3041aaf27ab8368eade18121cea4987f2c1bc070daeb2425874957a94abcbe6
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g065,02,0,65,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g080,02,0,80,True,natural_break_observed,28,28,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g080-natural-break-f28,0.878759471125339,b26442a12558ad4ed4ea5b2a2e355b4784bf53c2682c6d069548bdbb00384bdd,00a8af0acbc04c6c7c83278dd7da6239dd4d67e68843b0783c49bd3de16443ce
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g020,03,0,20,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g035,03,0,35,True,natural_break_observed,26,26,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g035-natural-break-f26,0.877557454470395,aaf66a862133b82a3bf6d109a57664b45870a4b63b0180ffca1fb6f37fab35db,ccca22050290161777d8475407572970af527d1576c049c23b41390a3b6e8325
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g050,03,0,50,True,natural_break_observed,19,19,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g050-natural-break-f19,0.8624216160156492,1b886f50bae619a614f2e42c3c0b2faad350e07c0ddaaf40ca11ec3d53c332f0,78c8411ac7624911b633c25e0c3c7eb5dfd5b8e2b35b38eac472c2afa59ed904
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g065,03,0,65,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g080,03,0,80,False,no_natural_break_within_registered_limit,60,-1,,,,
