state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_BREAK_UP,q_all_BREAK_UP,q_half_A_BREAK_UP,q_half_B_BREAK_UP,prediction_BREAK_DOWN,q_all_BREAK_DOWN,q_half_A_BREAK_DOWN,q_half_B_BREAK_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g020,02,0,20,40,13,20,517,0.0641097738013874,0.03125,0.0,0.0625,0.03225347611376406,0.015625,0.03125,0.0,0.042652151597066805,0.015625,0.0,0.03125,0.04106751077545635,0.015625,0.03125,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g035,02,0,35,40,16,47,932,0.16711119472326444,0.15625,0.125,0.1875,0.0816301350496696,0.15625,0.25,0.0625,0.1163892883823381,0.203125,0.1875,0.21875,0.11920120135258822,0.21875,0.28125,0.15625
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g050,02,0,50,40,9,19,1283,0.03230208943376664,0.046875,0.09375,0.0,0.013598340985912153,0.046875,0.0,0.09375,0.021871282663040344,0.046875,0.0625,0.03125,0.020634478182847634,0.046875,0.09375,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g065,02,0,65,40,15,29,1731,0.13095513309651988,0.15625,0.21875,0.09375,0.07561245213289783,0.109375,0.125,0.09375,0.11283046126605804,0.0625,0.03125,0.09375,0.09777420972490482,0.09375,0.0625,0.125
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m000-g080,02,0,80,40,21,55,2309,0.4597459559813305,0.265625,0.3125,0.21875,0.3284220301737122,0.09375,0.09375,0.09375,0.3306789745317282,0.1875,0.1875,0.1875,0.40197988511218563,0.28125,0.25,0.3125
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g020,03,0,20,39,12,27,427,0.14869076206305165,0.09375,0.03125,0.15625,0.05379630276382158,0.078125,0.03125,0.125,0.12324709443442516,0.21875,0.25,0.1875,0.1268744143316341,0.21875,0.21875,0.21875
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g035,03,0,35,41,16,27,874,0.07729999225572456,0.015625,0.0,0.03125,0.047544592337078216,0.0,0.0,0.0,0.06879259702774333,0.0625,0.09375,0.03125,0.060809512158836274,0.015625,0.0,0.03125
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g050,03,0,50,39,10,18,1209,0.1043350872014677,0.15625,0.15625,0.15625,0.023738733993531012,0.046875,0.0625,0.03125,0.03562807974044783,0.0625,0.03125,0.09375,0.0369387048435914,0.078125,0.0625,0.09375
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g065,03,0,65,47,13,21,1477,0.040260021978635416,0.109375,0.125,0.09375,0.020744041557761085,0.0625,0.0625,0.0625,0.03184434769231355,0.015625,0.0,0.03125,0.02761549680998737,0.0,0.0,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m000-g080,03,0,80,37,7,11,1764,0.007090661893200506,0.03125,0.0,0.0625,0.0028223509702063583,0.015625,0.03125,0.0,0.005999748743440674,0.078125,0.09375,0.0625,0.005210698203439736,0.03125,0.0625,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m001-g020,02,1,20,40,25,43,815,0.6395812991453478,0.484375,0.40625,0.5625,0.41205761182979905,0.09375,0.125,0.0625,0.5235418976267678,0.265625,0.1875,0.34375,0.5206995597344736,0.171875,0.15625,0.1875
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m001-g035,02,1,35,40,12,21,1214,0.12864628850471352,0.078125,0.0625,0.09375,0.03197947375043888,0.015625,0.03125,0.0,0.09013644525326418,0.046875,0.0625,0.03125,0.08598422099896162,0.0625,0.09375,0.03125
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m001-g050,02,1,50,40,10,14,1690,0.02242501144328032,0.0,0.0,0.0,0.007702452077527537,0.0,0.0,0.0,0.01320568543222646,0.0,0.0,0.0,0.011547047139638611,0.0,0.0,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m001-g065,02,1,65,40,14,29,2036,0.10174988554527854,0.09375,0.125,0.0625,0.03278866895763647,0.03125,0.0625,0.0,0.05489568716158402,0.03125,0.03125,0.03125,0.046701579618884506,0.046875,0.0,0.09375
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m001-g080,02,1,80,40,11,19,2439,0.07832232324557385,0.03125,0.03125,0.03125,0.02062069010287787,0.015625,0.0,0.03125,0.06369572499368588,0.015625,0.0,0.03125,0.0603521047940023,0.0,0.0,0.0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m001-g020,03,1,20,37,13,23,696,0.40579049059079125,0.125,0.15625,0.09375,0.18458300876112702,0.046875,0.03125,0.0625,0.35547077128342197,0.125,0.1875,0.0625,0.3534535238508338,0.140625,0.125,0.15625
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m001-g035,03,1,35,42,9,12,1107,0.14908819665473155,0.0625,0.0625,0.0625,0.05281392741577413,0.046875,0.0625,0.03125,0.13334442947783542,0.109375,0.15625,0.0625,0.1151553738695485,0.078125,0.09375,0.0625
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m001-g050,03,1,50,31,14,13,1725,0.3816478603675491,0.125,0.0625,0.1875,0.18667234050352347,0.0625,0.0625,0.0625,0.2716863179668553,0.15625,0.09375,0.21875,0.32810728157399777,0.078125,0.09375,0.0625
