cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop
c02_A,02,A,0,0.13125,0.01875,0.1125,-0.0375
c02_A,02,A,1,0.0,0.0078125,-0.0078125,0.0
c02_A,02,A,2,0.11875,0.125,-0.00625,0.00625
c02_A,02,A,3,0.0,0.0,0.0,0.0
c02_A,02,A,4,0.10625,0.08125,0.025,-0.00625
c02_A,02,A,5,0.04375,0.025,0.01875,-0.00625
c02_A,02,A,6,0.05625,0.0625,-0.00625,0.00625
c02_A,02,A,7,0.0,0.0,0.0,0.0
c02_A,02,A,8,0.0,0.0,0.0,0.0
c02_A,02,A,10,0.09375,0.0625,0.03125,0.01875
c02_A,02,A,11,0.1625,0.125,0.0375,0.03125
c02_A,02,A,12,0.01875,-0.0125,0.03125,-0.00625
c02_A,02,A,13,0.0234375,0.0078125,0.015625,-0.0703125
c02_A,02,A,14,0.05625,0.03125,0.025,0.01875
c02_A,02,A,16,0.08125,0.075,0.00625,0.0
c02_A,02,A,18,0.0,0.0,0.0,0.0
c02_A,02,A,19,0.23125,0.13125,0.1,0.03125
c02_A,02,A,20,0.0,0.03125,-0.03125,0.03125
c02_A,02,A,21,0.04375,0.0,0.04375,-0.0125
c02_A,02,A,22,-0.0078125,0.0078125,-0.015625,-0.0078125
c02_A,02,A,23,0.04375,0.05,-0.00625,0.01875
c02_A,02,A,24,0.25625,0.19375,0.0625,0.03125
c02_A,02,A,25,0.1625,0.11875,0.04375,-0.0625
c02_A,02,A,27,0.0375,0.03125,0.00625,-0.00625
c02_A,02,A,28,0.0,0.0,0.0,0.0
c02_A,02,A,29,0.0,0.0,0.0,0.0
c02_A,02,A,30,0.0,-0.0078125,0.0078125,-0.015625
c02_A,02,A,31,0.05625,0.025,0.03125,0.0
c02_A,02,A,32,0.025,0.025,0.0,-0.04375
c02_A,02,A,33,-0.00625,0.01875,-0.025,0.01875
c02_A,02,A,34,0.00625,0.0125,-0.00625,0.00625
c02_A,02,A,36,0.0125,0.00625,0.00625,0.0
c02_A,02,A,37,0.14375,0.0625,0.08125,-0.00625
c02_A,02,A,38,0.025,0.0,0.025,-0.00625
c02_A,02,A,39,0.1125,0.0625,0.05,-0.05625
c02_A,02,A,40,0.1875,0.15,0.0375,-0.01875
c02_A,02,A,41,-0.025,-0.01875,-0.00625,0.03125
c02_A,02,A,42,0.05625,0.025,0.03125,-0.08125
c02_A,02,A,44,-0.0078125,0.046875,-0.0546875,0.0
c02_A,02,A,45,-0.00625,-0.01875,0.0125,0.0125
c02_A,02,A,46,0.06875,0.05625,0.0125,0.025
c02_A,02,A,48,0.08125,0.06875,0.0125,0.03125
c02_A,02,A,49,0.0,0.0,0.0,0.0
c02_A,02,A,50,0.0078125,0.0,0.0078125,0.015625
c02_A,02,A,51,0.0375,0.00625,0.03125,0.0125
c02_A,02,A,52,0.10625,0.0375,0.06875,-0.0625
c02_A,02,A,54,0.03125,0.0375,-0.00625,0.0125
c02_A,02,A,56,0.0078125,0.0,0.0078125,0.0078125
c02_A,02,A,57,-0.010416666666666666,-0.010416666666666666,0.0,0.0
c02_A,02,A,58,0.275,0.16875,0.10625,-0.0375
c02_A,02,A,59,0.075,0.025,0.05,0.0
c02_A,02,A,60,0.03125,0.0125,0.01875,0.0
c02_A,02,A,61,0.15,0.11875,0.03125,0.00625
c02_A,02,A,62,0.00625,-0.00625,0.0125,-0.01875
c02_A,02,A,63,0.0,0.03125,-0.03125,0.025
c02_A,02,A,64,0.025,0.03125,-0.00625,-0.00625
c02_A,02,A,65,0.06875,0.03125,0.0375,-0.025
c02_A,02,A,66,0.0,0.0,0.0,0.0
c02_A,02,A,67,-0.0078125,-0.0078125,0.0,0.0
c02_A,02,A,68,0.04375,0.0375,0.00625,-0.0375
c02_A,02,A,71,0.0,0.0125,-0.0125,-0.00625
c02_A,02,A,72,0.09375,0.10625,-0.0125,-0.01875
c02_A,02,A,73,-0.00625,0.0,-0.00625,-0.00625
c02_A,02,A,74,-0.0125,0.0,-0.0125,0.01875
c02_A,02,A,75,0.025,0.0125,0.0125,0.01875
c02_A,02,A,76,0.05625,0.04375,0.0125,-0.01875
c02_A,02,A,77,0.00625,0.0,0.00625,-0.00625
c02_A,02,A,78,0.0,0.0,0.0,0.0
c02_A,02,A,80,0.0,0.0078125,-0.0078125,-0.0078125
c02_A,02,A,81,0.05,0.03125,0.01875,-0.0125
c02_A,02,A,82,0.0125,0.10625,-0.09375,0.0625
c02_A,02,A,83,0.0875,0.0625,0.025,-0.01875
c02_A,02,A,84,0.01875,0.0125,0.00625,0.00625
c02_A,02,A,85,0.03125,0.0125,0.01875,0.0
c02_A,02,A,86,0.075,0.0875,-0.0125,-0.0375
c02_A,02,A,87,0.0,0.0,0.0,0.0
c02_A,02,A,89,0.04375,0.01875,0.025,0.0125
c02_A,02,A,90,0.10625,0.0625,0.04375,0.00625
c02_A,02,A,91,0.0125,0.00625,0.00625,0.0125
c02_A,02,A,93,0.0625,0.0,0.0625,-0.0625
c02_A,02,A,94,0.03125,0.03125,0.0,0.025
c02_A,02,A,95,0.0,0.03125,-0.03125,0.0125
c02_A,02,A,96,0.0,0.0,0.0,0.0
c02_A,02,A,98,0.0375,0.0,0.0375,-0.04375
c02_A,02,A,99,0.0125,0.0,0.0125,0.0
c02_A,02,A,101,0.01875,0.0125,0.00625,0.00625
c02_A,02,A,102,0.078125,0.0546875,0.0234375,-0.03125
c02_A,02,A,103,0.0375,0.0,0.0375,-0.05625
c02_A,02,A,104,0.0,-0.01875,0.01875,-0.05
c02_A,02,A,105,0.0,0.0,0.0,0.0
c02_A,02,A,106,0.03125,0.0125,0.01875,-0.04375
c02_A,02,A,108,0.025,0.0,0.025,-0.0125
c02_A,02,A,109,0.0,0.0,0.0,0.0
c02_A,02,A,110,0.041666666666666664,0.052083333333333336,-0.010416666666666666,0.010416666666666666
c02_A,02,A,111,0.05625,0.0375,0.01875,-0.00625
c02_A,02,A,112,0.0,0.0,0.0,0.0
c02_A,02,A,113,0.05625,0.01875,0.0375,-0.00625
c02_A,02,A,114,-0.0125,0.0,-0.0125,-0.025
c02_A,02,A,115,0.0,0.0,0.0,0.0
c02_A,02,A,116,-0.0125,0.0,-0.0125,0.03125
c02_A,02,A,117,0.04375,0.01875,0.025,0.00625
c02_A,02,A,119,0.0078125,0.03125,-0.0234375,0.03125
c02_A,02,A,120,-0.015625,-0.015625,0.0,-0.015625
c02_A,02,A,122,0.03125,0.00625,0.025,-0.025
c02_A,02,A,123,0.09375,0.1,-0.00625,0.04375
c02_A,02,A,126,0.1375,0.10625,0.03125,0.03125
c02_A,02,A,127,0.1125,0.09375,0.01875,0.01875
c02_A,02,A,128,0.1375,0.14375,-0.00625,-0.0375
c02_A,02,A,129,0.0125,0.01875,-0.00625,0.0
c02_A,02,A,130,0.15,0.08125,0.06875,0.05
c02_A,02,A,131,0.0375,0.025,0.0125,-0.00625
c02_A,02,A,132,0.00625,0.05,-0.04375,0.0125
c02_A,02,A,134,0.15625,0.15,0.00625,0.075
c02_A,02,A,135,0.01875,0.00625,0.0125,0.0
c02_A,02,A,136,0.01875,0.0125,0.00625,0.0
c02_A,02,A,137,0.03125,0.03125,0.0,0.0125
c02_A,02,A,138,0.0078125,0.0,0.0078125,0.0
c02_A,02,A,140,0.052083333333333336,0.041666666666666664,0.010416666666666666,0.010416666666666666
c02_A,02,A,141,0.0875,0.0375,0.05,-0.025
c02_A,02,A,142,0.03125,0.04375,-0.0125,-0.00625
c02_A,02,A,143,0.08125,0.09375,-0.0125,-0.00625
c02_A,02,A,144,0.05,0.0,0.05,-0.00625
c02_A,02,A,145,0.075,0.06875,0.00625,-0.03125
c02_A,02,A,146,0.0,0.0078125,-0.0078125,0.0078125
c02_A,02,A,147,0.10625,0.0875,0.01875,0.025
c02_A,02,A,148,0.0,0.0,0.0,0.0
c02_A,02,A,151,0.0375,0.01875,0.01875,-0.00625
c02_A,02,A,152,0.14375,0.09375,0.05,0.05
c02_A,02,A,153,0.1125,0.04375,0.06875,0.00625
c02_A,02,A,154,0.0,0.0,0.0,-0.0078125
c02_A,02,A,155,0.13125,0.11875,0.0125,-0.04375
c02_A,02,A,156,0.03125,0.0,0.03125,0.03125
c02_A,02,A,157,0.0625,0.0125,0.05,-0.0625
c02_A,02,A,158,0.01875,0.0125,0.00625,-0.025
c02_A,02,A,159,0.0,-0.010416666666666666,0.010416666666666666,-0.010416666666666666
c02_A,02,A,160,0.0375,0.01875,0.01875,0.03125
c02_A,02,A,161,0.10625,0.13125,-0.025,0.01875
c02_A,02,A,162,0.025,0.00625,0.01875,0.0125
c02_A,02,A,163,0.0375,0.04375,-0.00625,-0.00625
c02_A,02,A,164,-0.03125,-0.03125,0.0,-0.03125
c02_A,02,A,165,0.0375,0.04375,-0.00625,0.03125
c02_A,02,A,166,0.0375,0.04375,-0.00625,-0.0125
c02_A,02,A,167,0.0625,0.010416666666666666,0.052083333333333336,0.03125
c02_A,02,A,168,0.0078125,0.0,0.0078125,-0.0078125
c02_A,02,A,169,0.15,0.14375,0.00625,-0.00625
c02_A,02,A,170,0.0078125,0.015625,-0.0078125,0.0
c02_A,02,A,171,0.0,0.0,0.0,0.0
c02_A,02,A,172,-0.0125,0.03125,-0.04375,0.00625
c02_A,02,A,173,0.0,0.0,0.0,0.0
c02_A,02,A,174,0.09375,0.11875,-0.025,0.00625
c02_A,02,A,175,0.0125,0.00625,0.00625,-0.0125
c02_A,02,A,177,0.04375,0.0125,0.03125,-0.0375
c02_A,02,A,178,0.125,0.075,0.05,0.025
c02_A,02,A,179,0.0,-0.00625,0.00625,0.0
c02_A,02,A,180,0.0,0.0,0.0,0.0
c02_A,02,A,183,0.05,0.05625,-0.00625,0.025
c02_A,02,A,184,0.05,0.0125,0.0375,-0.0375
c02_A,02,A,185,0.05,-0.03125,0.08125,-0.05
c02_A,02,A,186,0.2125,0.11875,0.09375,-0.025
c02_A,02,A,188,0.0125,0.025,-0.0125,0.01875
c02_A,02,A,190,0.0625,0.03125,0.03125,0.0
c02_A,02,A,193,0.0,0.0,0.0,0.0
c02_A,02,A,195,0.0,0.00625,-0.00625,0.00625
c02_A,02,A,196,0.0125,0.025,-0.0125,0.01875
c02_A,02,A,197,0.0,0.0,0.0,0.0
c02_A,02,A,198,0.0,0.0125,-0.0125,-0.0375
c02_A,02,A,199,0.04375,0.00625,0.0375,0.0
c02_A,02,A,200,0.0,0.015625,-0.015625,0.0
c02_A,02,A,201,0.025,0.01875,0.00625,-0.00625
c02_A,02,A,202,-0.025,-0.00625,-0.01875,0.01875
c02_A,02,A,203,0.125,-0.03125,0.15625,-0.0375
c02_A,02,A,204,0.09375,0.00625,0.0875,-0.0875
c02_A,02,A,205,0.015625,0.0,0.015625,0.0
c02_A,02,A,206,0.025,0.03125,-0.00625,0.025
c02_A,02,A,207,0.0546875,0.0390625,0.015625,0.0078125
c02_A,02,A,208,0.00625,0.05,-0.04375,0.0125
c02_A,02,A,209,0.05625,0.075,-0.01875,0.03125
c02_A,02,A,210,0.015625,0.015625,0.0,0.0078125
c02_A,02,A,211,0.0078125,0.015625,-0.0078125,0.015625
c02_A,02,A,212,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666
c02_A,02,A,213,0.0,0.0125,-0.0125,0.00625
c02_A,02,A,214,0.025,0.04375,-0.01875,0.0375
c02_A,02,A,215,-0.0125,0.00625,-0.01875,0.00625
c02_A,02,A,216,0.00625,0.0125,-0.00625,-0.00625
