source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,True,natural_break_observed,1,1,0.8710444281523015,59eaa3565cfc5d81389ba639bfb566e741977a206495c4101be2954e5af1f729,4f3eb0dd59f9a5f632c34bbfa87adc1f91b50736075a88f30d034753095be1a9
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,True,natural_break_observed,1,1,0.8564065109916934,92ff2fb988d210ae85bc8c49ab605e9fc4e48e2873db4014683b848c58a2b70d,12ce286b6da6cfd3c3d1aaf58ef2fe1fe4d7badc2767c1531a058346ebd12915
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,True,natural_break_observed,1,1,0.8531058687595646,bea7ca8e7c4b1a59f17786364d799317f5324ec16438ac04af23f9249cc00b3f,9594ef4880976c39e9f428fd23a43bd7382f691901c5a84ea2e92b391e289a0e
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g065-natural-break-f06,02,0,65,True,natural_break_observed,6,6,0.8846462122584992,263422152e976b7742bed309d3319022f38dd00106a0e7a1665ff2a09cf58a0f,3403abc1ed9d5c65792e83205354703adce90540060ffba1a7ccfdebe37ce758
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g080-natural-break-f06,02,0,80,True,natural_break_observed,6,6,0.8730560808828121,7ed054f55fae3f2192cdcbb1f255010672383ed11726455cf319a8e7a6bcb2dd,137bf5ab938b46bd68302ce2e086777f3c2a59d90d6472df60b5f9c07a582630
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g020-natural-break-f01,03,0,20,True,natural_break_observed,1,1,0.8775077442791267,a7652f2ffb0ed27191e9839948a75c690d23cb7a3c065dc0e82b617532d3025d,25c515490f666ea949f1d82c6e0bff522211765821b7feb8d4d784e75524fbe2
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g035-natural-break-f02,03,0,35,True,natural_break_observed,2,2,0.8718533162913387,20aa53534ffb0eced6047f74f8e2f7631777c0df7f5a07b2ab93abb6792c243f,c0854de98c807f89850ef9c85ed4da4a40c5747d57fcffb01ca2551c3ce016da
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g050-natural-break-f01,03,0,50,True,natural_break_observed,1,1,0.8776601876026904,713af2a8cf041b3b5973a07b00360a5da287692dab540f43cc53584cf6244cb7,b7380e4f3c4e5ad5f7ecb3a42e005339b11f94fe1339c64a54a6139be06fff1f
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065-natural-break-f01,03,0,65,True,natural_break_observed,1,1,0.7296594658218016,cbec9c73711ef613d30a6625e1ea36eb3e0a1a2329db226dc96fd8c1e9a59406,fea79fa63a598dd6027de1bf367271ce1d5049cde1c2810ab50c413cece2bac6
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,True,natural_break_observed,9,9,0.881408675200428,8c4e46d5e4267bcecb1d31ef4a61673996e50b2929ed0fd48f9200843738244c,bee01bc436468e8cda92114b612ab19e6e6b9aef77ddfa51b58c0f0b345ef8f9
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,True,natural_break_observed,18,18,0.8958421953262269,25d9492f7c0f2749026778636e11eafa5f76e84d260afab42392892726d5760d,6ad237372652cc0fc38475442a23c70374951276c34659451510eb89b393349c
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,True,natural_break_observed,5,5,0.8805944770856514,beeb27777830d8794eaaf4e97c7377655a0714ffea9e31a350a8f8f98b38ae8a,5f77cc65802f9bc2782340aac2c6a532dffcfc6c999574e883ff52a8323da7c9
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,True,natural_break_observed,24,24,0.8730378697119727,1f6d8831d0168b5d84cc883ebd3094707e815980d0ee0951fdb354f8ff62b205,844a157d56f84536a653c2b32cc50783d710937f930c5ac0087634c0d0becd18
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,True,natural_break_observed,14,14,0.8918981990700825,bd8eada404389f63675c7d69e9a953e72d0d5d858b5e4b84dad310ae2f0b0e13,6435154514ece2ad0ab4b66c33d34fd7a4e83f070433400ff41fba6cb00a7e82
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g080,,02,1,80,False,no_natural_break_within_registered_limit,60,-1,,,
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g020-natural-break-f04,03,1,20,True,natural_break_observed,4,4,0.8749203253288659,5a876340dbaa6201bc33329bd4d78c5747c006d4d55ad8aa5144711c8a3f5e16,7609cd39e25b0e0878a1c13d03a08f9810f835c53be91848dcb1ee239170e208
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g035-natural-break-f25,03,1,35,True,natural_break_observed,25,25,0.8963163888262176,b6c1471bbf2e37c70e7a429cf1c248cf3e7f1011a0b3cdd8e9cc66a23cf30c99,87703a0a960b24dcad843a0d51f4d4e0549dc5b37f5b7dc3ef5d1db9fc2b2fa6
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g050-natural-break-f01,03,1,50,True,natural_break_observed,1,1,0.886669136968746,331522745e4d33348dd91dc05cf03da5b8ef0864222e1dcd1fe7c20f1d3ff1e9,87b7fc834ad2f29939df9b0b7d98fe2be88e6b84afea9dfa2cff8f3b34e65c00
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g065-natural-break-f03,03,1,65,True,natural_break_observed,3,3,0.8874403660110387,817c5a1c1c0d85061043e0322b01ffc9acf35ae7030009e7a9bb9fd6a988ec03,84b82adc857147396bdd8f59572404a97bb9f58bfb6e7fddc0fc01316641a8c9
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m001-g080-natural-break-f13,03,1,80,True,natural_break_observed,13,13,0.868827802934548,d29584088d0b1a2aae6138897888162eaf0484455f1d50897c7f30476f15a39f,dccbdf696e11727df826659b32d1461f4b4afdd2d98dae0ea79273c985282191
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g020-natural-break-f02,02,2,20,True,natural_break_observed,2,2,0.88042534729401,8a8a097472d450162b16b110df75f389ac7175375bf68ba8919e20e698efbd7b,4bb7a975d38f226d29c085fc717baf7245d1fe6d7d323e3e15bb1d949f383687
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g035-natural-break-f10,02,2,35,True,natural_break_observed,10,10,0.8665081112539381,918af762dc8ad567e37aed5cbb37dc5bbe332b08e30b2cb11afe31a3953dcbc6,b0bf42d4575f7ab305dd6c5a8e7cc254fcb3b18c964c2dbd2d0041edbba21412
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m002-g050-natural-break-f02,02,2,50,True,natural_break_observed,2,2,0.8163077550479196,10ed43e6256e98cefbedf7f000ecd882097c3da4c30ab7bef7da3e5ba3e78e59,c7aeb3a83cb35b662c6c5af0832e10f45c52e278f4c13c5bfbbc89140816ef6d
