state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,RENEWAL_UP,81,78,0.7778128091121501,0.07026027005039304,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,RENEWAL_DOWN,14,96,0.6165811390222316,-0.09097140003952553,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,RANDOM,9,14,0.748290815199169,0.04073827613741188,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,NOOP,-1,-1,0.7075525390617571,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,RENEWAL_UP,99,81,0.8255674248412486,0.03804658267544181,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,RENEWAL_DOWN,81,96,0.7198937781064983,-0.0676270640593084,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,RANDOM,55,99,0.7993599504687948,0.011839108302988066,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,NOOP,-1,-1,0.7875208421658068,0.0,True,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,RENEWAL_UP,18,78,0.858175886531497,0.13177018573263244,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,RENEWAL_DOWN,97,72,0.6591225422672424,-0.06728315853162214,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,RANDOM,97,68,0.7076826099970999,-0.018723090801764708,False,False
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,NOOP,-1,-1,0.7264057007988646,0.0,True,False
