state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RENEWAL_UP,q_all_RENEWAL_UP,q_half_A_RENEWAL_UP,q_half_B_RENEWAL_UP,prediction_RENEWAL_DOWN,q_all_RENEWAL_DOWN,q_half_A_RENEWAL_DOWN,q_half_B_RENEWAL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g020-natural-break-f01,02,0,20,40,27,48,1024,0.7778128091121501,0.796875,0.71875,0.875,0.6165811390222316,0.609375,0.53125,0.6875,0.748290815199169,0.796875,0.8125,0.78125,0.7075525390617571,0.84375,0.875,0.8125
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g035-natural-break-f01,02,0,35,40,23,27,1700,0.8255674248412486,0.90625,0.96875,0.84375,0.7198937781064983,0.875,0.8125,0.9375,0.7993599504687948,0.78125,0.84375,0.71875,0.7875208421658068,0.84375,0.9375,0.75
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g050-natural-break-f01,02,0,50,40,25,68,2505,0.858175886531497,0.859375,0.8125,0.90625,0.6591225422672424,0.609375,0.53125,0.6875,0.7076826099970999,0.65625,0.5625,0.75,0.7264057007988646,0.765625,0.6875,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g065-natural-break-f06,02,0,65,40,29,77,3553,0.8854676569914604,0.890625,0.875,0.90625,0.7575509635015661,0.734375,0.8125,0.65625,0.7991765585628833,0.859375,0.875,0.84375,0.8064150110923549,0.796875,0.84375,0.75
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m000-g080-natural-break-f06,02,0,80,40,19,36,4268,0.953967192378855,0.953125,0.9375,0.96875,0.8748680011740614,0.953125,0.96875,0.9375,0.9086739439588811,0.90625,0.9375,0.875,0.9200171443122058,0.890625,0.875,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g020-natural-break-f01,03,0,20,30,13,24,826,0.8716612536712678,0.953125,0.96875,0.9375,0.7848755180230322,0.828125,0.78125,0.875,0.8176374251633489,0.859375,0.8125,0.90625,0.8225963250063143,0.921875,0.9375,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g035-natural-break-f02,03,0,35,42,24,55,1455,0.8563752618456856,0.765625,0.75,0.78125,0.7345142532137041,0.671875,0.6875,0.65625,0.7819149785953379,0.703125,0.625,0.78125,0.7762164539979292,0.703125,0.6875,0.71875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g050-natural-break-f01,03,0,50,43,29,30,1998,0.8158286483870313,0.890625,0.90625,0.875,0.6902379711896394,0.671875,0.6875,0.65625,0.7651392481341589,0.921875,0.9375,0.90625,0.731313716290454,0.78125,0.71875,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g065-natural-break-f01,03,0,65,34,24,56,2660,0.7982264732827539,0.875,0.8125,0.9375,0.6609366391985089,0.828125,0.78125,0.875,0.7101412348426219,0.84375,0.84375,0.84375,0.7038936580307333,0.8125,0.8125,0.8125
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m000-g080-natural-break-f09,03,0,80,41,22,43,3862,0.9100833983085083,0.875,0.84375,0.90625,0.8500065555184597,0.875,0.9375,0.8125,0.8719389289244439,0.875,1.0,0.75,0.8775294646669947,0.796875,0.875,0.71875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g020-natural-break-f18,02,1,20,40,20,31,1476,0.9728576000607458,1.0,1.0,1.0,0.9206078305299668,1.0,1.0,1.0,0.9429558420682819,0.984375,1.0,0.96875,0.9446799609733788,0.953125,0.96875,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g035-natural-break-f05,02,1,35,40,19,33,1528,0.9720634117023138,0.984375,1.0,0.96875,0.9100684895986966,1.0,1.0,1.0,0.9319774424252824,0.96875,0.96875,0.96875,0.9329614649861109,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g050-natural-break-f24,02,1,50,40,22,32,2886,0.9657492521810607,1.0,1.0,1.0,0.9235978763853453,0.984375,1.0,0.96875,0.9600386251962161,1.0,1.0,1.0,0.9483513102810893,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m001-g065-natural-break-f14,02,1,65,40,21,42,3042,0.9741866406212493,1.0,1.0,1.0,0.9268161429251219,1.0,1.0,1.0,0.9399561253545673,1.0,1.0,1.0,0.945150173601444,1.0,1.0,1.0
