state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g035,02,0,35,MODEL_UP,10,57,0.9636006528792626,0.0018764571200238223,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g035,02,0,35,MODEL_DOWN,54,43,0.9548975425030121,-0.006826653256226667,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g035,02,0,35,RANDOM,11,36,0.9622608225411978,0.0005366267819590931,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g035,02,0,35,NOOP,-1,-1,0.9617241957592387,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g065,02,0,65,MODEL_UP,43,66,0.9480357628517703,0.014951389304198592,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g065,02,0,65,MODEL_DOWN,85,87,0.9236966518107296,-0.009387721736842103,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g065,02,0,65,RANDOM,89,18,0.9337795807253418,0.0006952071777701629,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m000-g065,02,0,65,NOOP,-1,-1,0.9330843735475717,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g035,03,0,35,MODEL_UP,20,92,0.8567413228765518,0.012405069007339065,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g035,03,0,35,MODEL_DOWN,55,43,0.8085996087842339,-0.03573664508497887,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g035,03,0,35,RANDOM,71,45,0.836876789286902,-0.007459464582310726,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g035,03,0,35,NOOP,-1,-1,0.8443362538692127,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g065,03,0,65,MODEL_UP,9,90,0.9136387613995965,0.004878070497440157,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g065,03,0,65,MODEL_DOWN,66,43,0.8743050415111393,-0.034455649391017085,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g065,03,0,65,RANDOM,59,69,0.9080996246082447,-0.0006610662939117162,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m000-g065,03,0,65,NOOP,-1,-1,0.9087606909021564,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g035,02,1,35,MODEL_UP,5,48,0.9709297417228456,0.00209374326719447,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g035,02,1,35,MODEL_DOWN,24,22,0.9666440418128381,-0.00219195664281302,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g035,02,1,35,RANDOM,2,38,0.9691193994884475,0.00028340103279633766,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g035,02,1,35,NOOP,-1,-1,0.9688359984556512,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g065,02,1,65,MODEL_UP,0,37,0.9713522731356712,0.0022524092488172,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g065,02,1,65,MODEL_DOWN,30,88,0.966315550536962,-0.0027843133498919315,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g065,02,1,65,RANDOM,37,50,0.9685861000676964,-0.0005137638191575755,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m001-g065,02,1,65,NOOP,-1,-1,0.969099863886854,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g035,03,1,35,MODEL_UP,88,80,0.9517884232635634,0.006084989847671252,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g035,03,1,35,MODEL_DOWN,69,88,0.9416417251204439,-0.004061708295448274,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g035,03,1,35,RANDOM,37,54,0.9445640367826492,-0.0011393966332429173,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g035,03,1,35,NOOP,-1,-1,0.9457034334158921,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g065,03,1,65,MODEL_UP,88,10,0.9551893422395085,0.00755436006600918,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g065,03,1,65,MODEL_DOWN,30,88,0.9439639176828792,-0.0036710644906200463,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g065,03,1,65,RANDOM,12,50,0.9463244067034849,-0.0013105754700143413,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m001-g065,03,1,65,NOOP,-1,-1,0.9476349821734993,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g035,02,2,35,MODEL_UP,54,91,0.9327250805716224,0.008341734021619307,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g035,02,2,35,MODEL_DOWN,73,68,0.9163399545751442,-0.008043391974858927,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g035,02,2,35,RANDOM,54,40,0.9289613608786388,0.004578014328635693,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g035,02,2,35,NOOP,-1,-1,0.9243833465500031,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g065,02,2,65,MODEL_UP,0,95,0.9340554702046572,0.003315649113779684,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g065,02,2,65,MODEL_DOWN,16,89,0.9229821506943361,-0.007757670396541405,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g065,02,2,65,RANDOM,18,87,0.9314235001219454,0.0006836790310679186,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c02-m002-g065,02,2,65,NOOP,-1,-1,0.9307398210908775,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g035,03,2,35,MODEL_UP,79,45,0.8991373686562765,0.007827028310972262,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g035,03,2,35,MODEL_DOWN,49,89,0.8694693991464418,-0.021840941198862374,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g035,03,2,35,RANDOM,10,11,0.8893116243896726,-0.0019987159556316136,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g035,03,2,35,NOOP,-1,-1,0.8913103403453042,0.0,True,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g065,03,2,65,MODEL_UP,89,45,0.9131608059542128,0.011980396142004412,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g065,03,2,65,MODEL_DOWN,10,79,0.8925737070262199,-0.008606702785988518,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g065,03,2,65,RANDOM,5,87,0.901200762648723,2.0352836514581085e-05,False,False
INTCR6_ZERO_SHOT_NULL_A_M4_S3_V1-c03-m002-g065,03,2,65,NOOP,-1,-1,0.9011804098122084,0.0,True,False
