state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m000-g035,02,0,35,40,16,12,833,0.2674730513051442,0.22916666666666666,0.2916666666666667,0.16666666666666666,0.14964417515098186,0.10416666666666667,0.125,0.08333333333333333,0.1940296281881443,0.1875,0.2916666666666667,0.08333333333333333,0.19081330056465962,0.2708333333333333,0.20833333333333334,0.3333333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m000-g065,02,0,65,40,22,30,1582,0.4253363664931543,0.3541666666666667,0.375,0.3333333333333333,0.27427422594573203,0.5,0.4166666666666667,0.5833333333333334,0.38653870108280025,0.5,0.5833333333333334,0.4166666666666667,0.34607199474057154,0.375,0.2916666666666667,0.4583333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m000-g035,03,0,35,41,12,9,597,0.2548154809009228,0.2916666666666667,0.25,0.3333333333333333,0.11165628036603882,0.375,0.4166666666666667,0.3333333333333333,0.1804696360411696,0.375,0.375,0.375,0.17745020420527638,0.4791666666666667,0.625,0.3333333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m000-g065,03,0,65,39,14,18,1233,0.42893807685999835,0.4583333333333333,0.5416666666666666,0.375,0.25729501027011686,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3464622198884381,0.4791666666666667,0.4166666666666667,0.5416666666666666,0.36441249480104043,0.3541666666666667,0.2916666666666667,0.4166666666666667
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m001-g035,02,1,35,40,19,21,660,0.5004298098942466,0.3125,0.2916666666666667,0.3333333333333333,0.2023303041793977,0.14583333333333334,0.20833333333333334,0.08333333333333333,0.2895244672222221,0.22916666666666666,0.3333333333333333,0.125,0.2786145060316378,0.14583333333333334,0.16666666666666666,0.125
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m001-g065,02,1,65,40,16,9,1233,0.27067193727296096,0.1875,0.25,0.125,0.09549033977050125,0.10416666666666667,0.125,0.08333333333333333,0.17269183655224393,0.22916666666666666,0.2916666666666667,0.16666666666666666,0.15594089524980648,0.20833333333333334,0.20833333333333334,0.20833333333333334
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m001-g035,03,1,35,38,20,29,611,0.5780082443211362,0.2708333333333333,0.3333333333333333,0.20833333333333334,0.32962963959358793,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.48448465239621086,0.3333333333333333,0.25,0.4166666666666667,0.5417558918032626,0.25,0.3333333333333333,0.16666666666666666
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m001-g065,03,1,65,43,20,22,1075,0.314245370996849,0.4375,0.5,0.375,0.14013689352880535,0.22916666666666666,0.375,0.08333333333333333,0.2690321506573116,0.4583333333333333,0.3333333333333333,0.5833333333333334,0.25583507470366385,0.3541666666666667,0.25,0.4583333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m002-g035,02,2,35,40,18,16,749,0.343008377084928,0.75,0.6666666666666666,0.8333333333333334,0.1564036075499019,0.5208333333333334,0.5,0.5416666666666666,0.20337108441738566,0.5416666666666666,0.5833333333333334,0.5,0.1954813400580003,0.75,0.7916666666666666,0.7083333333333334
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m002-g065,02,2,65,40,13,30,1349,0.3081884229747278,0.375,0.375,0.375,0.18954583260882424,0.3333333333333333,0.2916666666666667,0.375,0.2715943398766885,0.22916666666666666,0.2916666666666667,0.16666666666666666,0.2452128593341664,0.4791666666666667,0.5416666666666666,0.4166666666666667
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m002-g035,03,2,35,40,24,14,634,0.6447302407454968,0.8541666666666666,0.9166666666666666,0.7916666666666666,0.3380500910653543,0.4375,0.5416666666666666,0.3333333333333333,0.4316770647110034,0.6458333333333334,0.625,0.6666666666666666,0.42743536337281884,0.5625,0.625,0.5
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m002-g065,03,2,65,42,20,19,1148,0.3083814700823549,0.4375,0.5,0.375,0.1545285136262372,0.4375,0.5,0.375,0.27499543496959994,0.4583333333333333,0.5416666666666666,0.375,0.26974323558016944,0.375,0.4166666666666667,0.3333333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m003-g035,02,3,35,40,19,36,855,0.5737121233388686,0.7083333333333334,0.625,0.7916666666666666,0.39588287898262836,0.5416666666666666,0.375,0.7083333333333334,0.5607411027132881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5279528339604692,0.7708333333333334,0.75,0.7916666666666666
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m003-g065,02,3,65,40,27,31,1812,0.700517402670783,0.6041666666666666,0.5,0.7083333333333334,0.5548128585189159,0.5,0.4166666666666667,0.5833333333333334,0.6243292130746386,0.5625,0.6666666666666666,0.4583333333333333,0.6220627341115454,0.6458333333333334,0.7083333333333334,0.5833333333333334
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m003-g035,03,3,35,43,22,28,606,0.605719762770129,0.75,0.6666666666666666,0.8333333333333334,0.4481342499036385,0.4583333333333333,0.4166666666666667,0.5,0.4906700585139439,0.6458333333333334,0.6666666666666666,0.625,0.4999495875093678,0.7916666666666666,0.8333333333333334,0.75
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c03-m003-g065,03,3,65,49,20,20,1280,0.3186045328420871,0.2708333333333333,0.375,0.16666666666666666,0.24358885696327692,0.2916666666666667,0.25,0.3333333333333333,0.28013790874381733,0.4583333333333333,0.5833333333333334,0.3333333333333333,0.27470673500592757,0.3541666666666667,0.375,0.3333333333333333
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m004-g035,02,4,35,40,20,22,920,0.7284579659452043,0.8541666666666666,0.8333333333333334,0.875,0.48956827855124574,0.5625,0.5833333333333334,0.5416666666666666,0.6705306222404116,0.875,0.8333333333333334,0.9166666666666666,0.6764354940011746,0.7291666666666666,0.625,0.8333333333333334
INTCR6_ZERO_SHOT_POS_A_M3_S4_V1-c02-m004-g065,02,4,65,40,20,24,1588,0.6565731275195983,0.5,0.5833333333333334,0.4166666666666667,0.3988810032738371,0.3958333333333333,0.5,0.2916666666666667,0.6023833364842835,0.7083333333333334,0.7916666666666666,0.625,0.5983373617711397,0.6666666666666666,0.7083333333333334,0.625
