regime,role,cell,up_minus_down,ci95_lower,ci95_upper,holm_p,random_tost,positive_cell_pass
POS_A_M4_S5,positive_transfer,c02_A,0.027083333333333338,0.010416666666666668,0.045312500000000006,0.008786917256529168,True,True
POS_A_M4_S5,positive_transfer,c02_B,0.04010416666666667,0.0125,0.07291666666666667,0.008786917256529168,False,False
POS_A_M4_S5,positive_transfer,c03_A,0.02708333333333333,0.0109375,0.04479166666666667,0.008786917256529168,True,True
POS_A_M4_S5,positive_transfer,c03_B,0.026041666666666664,0.005729166666666667,0.04739583333333333,0.0122040517451794,False,False
POS_A_M3_S4,positive_transfer,c02_A,0.103125,0.065625,0.14114583333333336,0.000976324139614352,False,False
POS_A_M3_S4,positive_transfer,c02_B,0.09270833333333332,0.055208333333333325,0.13125,0.000976324139614352,False,False
POS_A_M3_S4,positive_transfer,c03_A,0.09791666666666667,0.06458333333333333,0.13229166666666664,0.000976324139614352,False,False
POS_A_M3_S4,positive_transfer,c03_B,0.08072916666666667,0.0421875,0.11959635416666667,0.000976324139614352,False,False
POS_A_M5_S4,positive_transfer,c02_A,0.11041666666666665,0.071875,0.1515625,0.000976324139614352,False,False
POS_A_M5_S4,positive_transfer,c02_B,0.11197916666666667,0.07447916666666668,0.14947916666666666,0.000976324139614352,True,True
POS_A_M5_S4,positive_transfer,c03_A,0.10260416666666665,0.06666666666666668,0.14042968749999998,0.000976324139614352,True,True
POS_A_M5_S4,positive_transfer,c03_B,0.09166666666666667,0.0515625,0.13177083333333334,0.000976324139614352,True,True
NULL_A_M4_S3,predicted_null,c02_A,0.03802083333333333,-0.0003255208333333296,0.07864583333333335,0.12887478642909445,False,False
NULL_A_M4_S3,predicted_null,c02_B,0.005208333333333336,-0.014583333333333332,0.026367187500000003,0.9409323895533317,False,False
NULL_A_M4_S3,predicted_null,c03_A,0.0010416666666666686,-0.026562500000000003,0.030208333333333327,0.9409323895533317,True,False
NULL_A_M4_S3,predicted_null,c03_B,-3.816391647148976e-18,-0.027083333333333338,0.027929687499999994,0.9409323895533317,True,False
