state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTP1-c02-m000-g020,02,0,20,MODEL_UP,83,56,0.334611906008251,0.06638069368322558,False,False
INTP1-c02-m000-g020,02,0,20,MODEL_DOWN,33,6,0.23029996341049497,-0.03793124891453048,False,False
INTP1-c02-m000-g020,02,0,20,RANDOM,66,80,0.2872290847386648,0.018997872413639372,False,False
INTP1-c02-m000-g020,02,0,20,NOOP,-1,-1,0.26823121232502545,0.0,True,False
INTP1-c02-m000-g035,02,0,35,MODEL_UP,55,26,0.01700525154784596,0.0042660815883567,False,False
INTP1-c02-m000-g035,02,0,35,MODEL_DOWN,89,55,0.009721352262759692,-0.003017817696729567,False,False
INTP1-c02-m000-g035,02,0,35,RANDOM,83,77,0.015729127249155418,0.002989957289666159,False,False
INTP1-c02-m000-g035,02,0,35,NOOP,-1,-1,0.012739169959489259,0.0,True,False
INTP1-c02-m000-g050,02,0,50,MODEL_UP,55,13,0.007433399792986843,0.0036772929180256477,False,False
INTP1-c02-m000-g050,02,0,50,MODEL_DOWN,21,55,0.0024961671973674866,-0.0012599396775937089,False,False
INTP1-c02-m000-g050,02,0,50,RANDOM,48,37,0.006114618314724579,0.002358511439763384,False,False
INTP1-c02-m000-g050,02,0,50,NOOP,-1,-1,0.0037561068749611955,0.0,True,False
INTP1-c02-m000-g065,02,0,65,MODEL_UP,55,26,0.0031118405493135025,0.0011889453141626012,False,False
INTP1-c02-m000-g065,02,0,65,MODEL_DOWN,71,55,0.0010718446910260326,-0.0008510505441248688,False,False
INTP1-c02-m000-g065,02,0,65,RANDOM,48,75,0.002584627431268151,0.0006617321961172496,False,False
INTP1-c02-m000-g065,02,0,65,NOOP,-1,-1,0.0019228952351509013,0.0,True,False
INTP1-c02-m000-g080,02,0,80,MODEL_UP,55,26,0.0033558525297401397,0.0016342350433795993,False,False
INTP1-c02-m000-g080,02,0,80,MODEL_DOWN,44,55,0.0011394908342438664,-0.0005821266521166739,False,False
INTP1-c02-m000-g080,02,0,80,RANDOM,8,73,0.0018787892985924395,0.00015717181223189915,False,False
INTP1-c02-m000-g080,02,0,80,NOOP,-1,-1,0.0017216174863605403,0.0,True,False
INTP1-c03-m000-g020,03,0,20,MODEL_UP,55,16,0.006047484126677114,0.0016392882350232717,False,False
INTP1-c03-m000-g020,03,0,20,MODEL_DOWN,44,55,0.0025834449066727606,-0.0018247509849810815,False,False
INTP1-c03-m000-g020,03,0,20,RANDOM,55,20,0.005755767318043163,0.001347571426389321,False,False
INTP1-c03-m000-g020,03,0,20,NOOP,-1,-1,0.004408195891653842,0.0,True,False
INTP1-c03-m000-g035,03,0,35,MODEL_UP,55,73,0.002638139785442486,0.0009730636532907636,False,False
INTP1-c03-m000-g035,03,0,35,MODEL_DOWN,35,55,0.0010267031814165761,-0.0006383729507351463,False,False
INTP1-c03-m000-g035,03,0,35,RANDOM,35,75,0.0016725622974158407,7.48616526411827e-06,False,False
INTP1-c03-m000-g035,03,0,35,NOOP,-1,-1,0.0016650761321517224,0.0,True,False
INTP1-c03-m000-g050,03,0,50,MODEL_UP,55,13,0.0030643802916236217,0.00142967276452991,False,False
INTP1-c03-m000-g050,03,0,50,MODEL_DOWN,8,55,0.0011321625658692069,-0.0005025449612245049,False,False
INTP1-c03-m000-g050,03,0,50,RANDOM,55,34,0.0029215299368019194,0.0012868224097082076,False,False
INTP1-c03-m000-g050,03,0,50,NOOP,-1,-1,0.0016347075270937118,0.0,True,False
INTP1-c03-m000-g065,03,0,65,MODEL_UP,55,13,0.0018465040494531567,0.0006602792793922207,False,False
INTP1-c03-m000-g065,03,0,65,MODEL_DOWN,60,55,0.0008135022915520119,-0.00037272247850892413,False,False
INTP1-c03-m000-g065,03,0,65,RANDOM,60,13,0.0013957568822809926,0.0002095321122200565,False,False
INTP1-c03-m000-g065,03,0,65,NOOP,-1,-1,0.001186224770060936,0.0,True,False
INTP1-c03-m000-g080,03,0,80,MODEL_UP,55,16,0.004280024563128002,0.0010896004940816328,False,False
INTP1-c03-m000-g080,03,0,80,MODEL_DOWN,20,55,0.002399797336768419,-0.0007906267322779501,False,False
INTP1-c03-m000-g080,03,0,80,RANDOM,55,93,0.0040139158520581175,0.0008234917830117483,False,False
INTP1-c03-m000-g080,03,0,80,NOOP,-1,-1,0.003190424069046369,0.0,True,False
INTP1-c02-m001-g020,02,1,20,MODEL_UP,11,55,0.7170497616268197,0.021747233341771866,False,False
INTP1-c02-m001-g020,02,1,20,MODEL_DOWN,88,75,0.5639013595822354,-0.13140116870281238,False,False
INTP1-c02-m001-g020,02,1,20,RANDOM,50,65,0.6911337570140134,-0.004168771271034433,False,False
INTP1-c02-m001-g020,02,1,20,NOOP,-1,-1,0.6953025282850478,0.0,True,False
INTP1-c02-m001-g035,02,1,35,MODEL_UP,46,99,0.5970509842140587,0.051479666889659215,False,False
INTP1-c02-m001-g035,02,1,35,MODEL_DOWN,50,75,0.4392368461390153,-0.10633447118538414,False,False
INTP1-c02-m001-g035,02,1,35,RANDOM,13,12,0.5677999880375417,0.022228670713142273,False,False
INTP1-c02-m001-g035,02,1,35,NOOP,-1,-1,0.5455713173243995,0.0,True,False
INTP1-c02-m001-g050,02,1,50,MODEL_UP,7,13,0.4551588250319564,0.056126006928210015,False,False
INTP1-c02-m001-g050,02,1,50,MODEL_DOWN,23,75,0.3152326204059774,-0.08380019769776903,False,False
INTP1-c02-m001-g050,02,1,50,RANDOM,43,59,0.40168406955954605,0.0026512514557996414,False,False
INTP1-c02-m001-g050,02,1,50,NOOP,-1,-1,0.3990328181037464,0.0,True,False
INTP1-c02-m001-g065,02,1,65,MODEL_UP,1,19,0.5841719381112961,0.09447422930048527,False,False
INTP1-c02-m001-g065,02,1,65,MODEL_DOWN,25,75,0.33699554068698756,-0.15270216812382326,False,False
