state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP1-c02-m000-g020,02,0,20,40,16,23,988,0.334611906008251,0.40625,0.3125,0.5,0.23029996341049497,0.4375,0.3125,0.5625,0.2872290847386648,0.34375,0.375,0.3125,0.26823121232502545,0.1875,0.25,0.125
INTP1-c02-m000-g035,02,0,35,40,9,8,1561,0.01700525154784596,0.0,0.0,0.0,0.009721352262759692,0.0,0.0,0.0,0.015729127249155418,0.0,0.0,0.0,0.012739169959489259,0.0,0.0,0.0
INTP1-c02-m000-g050,02,0,50,40,5,10,1772,0.007433399792986843,0.0,0.0,0.0,0.0024961671973674866,0.0,0.0,0.0,0.006114618314724579,0.0,0.0,0.0,0.0037561068749611955,0.0,0.0,0.0
INTP1-c02-m000-g065,02,0,65,40,4,21,1957,0.0031118405493135025,0.0,0.0,0.0,0.0010718446910260326,0.0,0.0,0.0,0.002584627431268151,0.0,0.0,0.0,0.0019228952351509013,0.0,0.0,0.0
INTP1-c02-m000-g080,02,0,80,40,5,14,2170,0.0033558525297401397,0.0,0.0,0.0,0.0011394908342438664,0.0,0.0,0.0,0.0018787892985924395,0.0,0.0,0.0,0.0017216174863605403,0.0,0.0,0.0
INTP1-c03-m000-g020,03,0,20,46,6,9,248,0.006047484126677114,0.0,0.0,0.0,0.0025834449066727606,0.0,0.0,0.0,0.005755767318043163,0.0,0.0,0.0,0.004408195891653842,0.0,0.0,0.0
INTP1-c03-m000-g035,03,0,35,40,4,16,439,0.002638139785442486,0.0,0.0,0.0,0.0010267031814165761,0.0,0.0,0.0,0.0016725622974158407,0.0,0.0,0.0,0.0016650761321517224,0.0,0.0,0.0
INTP1-c03-m000-g050,03,0,50,44,5,18,606,0.0030643802916236217,0.0,0.0,0.0,0.0011321625658692069,0.0,0.0,0.0,0.0029215299368019194,0.0,0.0,0.0,0.0016347075270937118,0.0,0.0,0.0
INTP1-c03-m000-g065,03,0,65,44,4,7,748,0.0018465040494531567,0.0,0.0,0.0,0.0008135022915520119,0.0,0.0,0.0,0.0013957568822809926,0.0,0.0,0.0,0.001186224770060936,0.0,0.0,0.0
INTP1-c03-m000-g080,03,0,80,40,7,12,935,0.004280024563128002,0.0,0.0,0.0,0.002399797336768419,0.0,0.0,0.0,0.0040139158520581175,0.0,0.0,0.0,0.003190424069046369,0.0,0.0,0.0
INTP1-c02-m001-g020,02,1,20,40,21,80,1196,0.7170497616268197,0.4375,0.5,0.375,0.5639013595822354,0.46875,0.4375,0.5,0.6911337570140134,0.65625,0.9375,0.375,0.6953025282850478,0.46875,0.5,0.4375
INTP1-c02-m001-g035,02,1,35,40,18,58,1976,0.5970509842140587,0.25,0.25,0.25,0.4392368461390153,0.25,0.1875,0.3125,0.5677999880375417,0.4375,0.5,0.375,0.5455713173243995,0.34375,0.4375,0.25
INTP1-c02-m001-g050,02,1,50,40,16,58,2704,0.4551588250319564,0.34375,0.25,0.4375,0.3152326204059774,0.28125,0.3125,0.25,0.40168406955954605,0.375,0.5,0.25,0.3990328181037464,0.3125,0.1875,0.4375
INTP1-c02-m001-g065,02,1,65,40,20,78,3349,0.5841719381112961,0.71875,0.75,0.6875,0.33699554068698756,0.3125,0.3125,0.3125,0.3663332274916778,0.46875,0.5,0.4375,0.4896977088108108,0.4375,0.4375,0.4375
INTP1-c02-m001-g080,02,1,80,40,18,50,4186,0.5671105387826824,0.28125,0.1875,0.375,0.4268122980282246,0.3125,0.4375,0.1875,0.506621296985361,0.34375,0.4375,0.25,0.5045133765643592,0.21875,0.3125,0.125
INTP1-c03-m001-g020,03,1,20,40,18,22,805,0.4049552217258136,0.5625,0.625,0.5,0.15079480444961368,0.3125,0.25,0.375,0.1884797803088101,0.4375,0.5625,0.3125,0.18491364827731832,0.4375,0.375,0.5
INTP1-c03-m001-g035,03,1,35,35,17,38,1421,0.5818270903058683,0.5625,0.5625,0.5625,0.24999989022613037,0.34375,0.5,0.1875,0.5067974468048392,0.59375,0.625,0.5625,0.5490522442927618,0.5625,0.5625,0.5625
