state_id,candidate,matrix_id,landmark,arm,remove_type,add_type,predicted_probability,predicted_shift_from_noop,is_noop,is_beta_surgery
INTP2-c02-m000-g020,02,0,20,RULE_UP,30,33,0.337951638280063,0.02365069630030725,False,False
INTP2-c02-m000-g020,02,0,20,RULE_DOWN,54,30,0.31967914714230344,0.005378205162547667,False,False
INTP2-c02-m000-g020,02,0,20,RANDOM,50,46,0.3126160862090722,-0.0016848557706835576,False,False
INTP2-c02-m000-g020,02,0,20,NOOP,-1,-1,0.3143009419797558,0.0,True,False
INTP2-c02-m000-g035,02,0,35,RULE_UP,30,83,0.2569607858944612,0.023333604409403047,False,False
INTP2-c02-m000-g035,02,0,35,RULE_DOWN,44,30,0.20826716666570916,-0.02536001481934899,False,False
INTP2-c02-m000-g035,02,0,35,RANDOM,50,62,0.23359537124606092,-3.18102389972319e-05,False,False
INTP2-c02-m000-g035,02,0,35,NOOP,-1,-1,0.23362718148505815,0.0,True,False
INTP2-c02-m000-g050,02,0,50,RULE_UP,30,51,0.3689236573752484,0.02118232860397634,False,False
INTP2-c02-m000-g050,02,0,50,RULE_DOWN,84,30,0.341162403261886,-0.006578925509386047,False,False
INTP2-c02-m000-g050,02,0,50,RANDOM,48,40,0.313218638994781,-0.03452268977649109,False,False
INTP2-c02-m000-g050,02,0,50,NOOP,-1,-1,0.34774132877127206,0.0,True,False
INTP2-c02-m000-g065,02,0,65,RULE_UP,30,23,0.16168734872925553,0.018053376715268743,False,False
INTP2-c02-m000-g065,02,0,65,RULE_DOWN,92,30,0.12045916202956342,-0.023174809984423367,False,False
INTP2-c02-m000-g065,02,0,65,RANDOM,21,68,0.142953539858684,-0.0006804321553027792,False,False
INTP2-c02-m000-g065,02,0,65,NOOP,-1,-1,0.14363397201398678,0.0,True,False
INTP2-c02-m000-g080,02,0,80,RULE_UP,30,83,0.19068748755640164,0.019463763662038502,False,False
INTP2-c02-m000-g080,02,0,80,RULE_DOWN,3,30,0.15170289515874769,-0.019520828735615448,False,False
INTP2-c02-m000-g080,02,0,80,RANDOM,89,58,0.15820358700476897,-0.013020136889594164,False,False
INTP2-c02-m000-g080,02,0,80,NOOP,-1,-1,0.17122372389436313,0.0,True,False
INTP2-c03-m000-g020,03,0,20,RULE_UP,30,51,0.1910621868744442,0.01783526855353032,False,False
INTP2-c03-m000-g020,03,0,20,RULE_DOWN,50,30,0.1625169186406041,-0.010709999680309779,False,False
INTP2-c03-m000-g020,03,0,20,RANDOM,50,58,0.17720509072676324,0.003978172405849356,False,False
INTP2-c03-m000-g020,03,0,20,NOOP,-1,-1,0.1732269183209139,0.0,True,False
INTP2-c03-m000-g035,03,0,35,RULE_UP,30,83,0.323110672534255,0.020149172964393947,False,False
INTP2-c03-m000-g035,03,0,35,RULE_DOWN,2,30,0.2915031048007796,-0.011458394769081448,False,False
INTP2-c03-m000-g035,03,0,35,RANDOM,30,63,0.3159735373750345,0.013012037805173404,False,False
INTP2-c03-m000-g035,03,0,35,NOOP,-1,-1,0.30296149956986107,0.0,True,False
INTP2-c03-m000-g050,03,0,50,RULE_UP,30,83,0.11830020751045658,0.013469779505003887,False,False
INTP2-c03-m000-g050,03,0,50,RULE_DOWN,28,30,0.09202795816228826,-0.012802469843164438,False,False
INTP2-c03-m000-g050,03,0,50,RANDOM,49,82,0.11065953161964763,0.005829103614194933,False,False
INTP2-c03-m000-g050,03,0,50,NOOP,-1,-1,0.1048304280054527,0.0,True,False
INTP2-c03-m000-g065,03,0,65,RULE_UP,30,20,0.18317072274809462,0.018268857826418156,False,False
INTP2-c03-m000-g065,03,0,65,RULE_DOWN,47,30,0.1700762789279679,0.005174414006291428,False,False
INTP2-c03-m000-g065,03,0,65,RANDOM,40,86,0.24504984967945767,0.0801479847577812,False,False
INTP2-c03-m000-g065,03,0,65,NOOP,-1,-1,0.16490186492167647,0.0,True,False
INTP2-c03-m000-g080,03,0,80,RULE_UP,30,83,0.06493066959580551,0.009862072219135598,False,False
INTP2-c03-m000-g080,03,0,80,RULE_DOWN,32,30,0.03876465646330508,-0.01630394091336483,False,False
INTP2-c03-m000-g080,03,0,80,RANDOM,29,7,0.062220931674433856,0.007152334297763942,False,False
INTP2-c03-m000-g080,03,0,80,NOOP,-1,-1,0.055068597376669914,0.0,True,False
INTP2-c02-m001-g020,02,1,20,RULE_UP,8,36,0.3732653134973363,0.03053544711133216,False,False
INTP2-c02-m001-g020,02,1,20,RULE_DOWN,57,8,0.3223815439123677,-0.020348322473636493,False,False
INTP2-c02-m001-g020,02,1,20,RANDOM,97,7,0.37104394102972404,0.028314074643719878,False,False
INTP2-c02-m001-g020,02,1,20,NOOP,-1,-1,0.34272986638600417,0.0,True,False
INTP2-c02-m001-g035,02,1,35,RULE_UP,81,93,0.6835491119952082,0.019955984323092424,False,False
INTP2-c02-m001-g035,02,1,35,RULE_DOWN,14,81,0.6623182838397361,-0.0012748438323796352,False,False
INTP2-c02-m001-g035,02,1,35,RANDOM,20,52,0.6572408453155081,-0.006352282356607675,False,False
INTP2-c02-m001-g035,02,1,35,NOOP,-1,-1,0.6635931276721158,0.0,True,False
INTP2-c02-m001-g050,02,1,50,RULE_UP,60,18,0.6690169609282214,-0.00933567688062198,False,False
INTP2-c02-m001-g050,02,1,50,RULE_DOWN,15,77,0.6573544234260323,-0.02099821438281102,False,False
INTP2-c02-m001-g050,02,1,50,RANDOM,61,77,0.6775569806333728,-0.0007956571754705877,False,False
INTP2-c02-m001-g050,02,1,50,NOOP,-1,-1,0.6783526378088434,0.0,True,False
INTP2-c02-m001-g065,02,1,65,RULE_UP,68,11,0.2928039708547593,0.023087124079785026,False,False
INTP2-c02-m001-g065,02,1,65,RULE_DOWN,62,68,0.24569610233303588,-0.024020744441938385,False,False
INTP2-c02-m001-g065,02,1,65,RANDOM,60,95,0.27283296212938385,0.0031161153544095876,False,False
INTP2-c02-m001-g065,02,1,65,NOOP,-1,-1,0.26971684677497426,0.0,True,False
INTP2-c02-m001-g080,02,1,80,RULE_UP,8,3,0.31468590516616685,0.03122547813218518,False,False
INTP2-c02-m001-g080,02,1,80,RULE_DOWN,32,8,0.29187619649762825,0.008415769463646583,False,False
INTP2-c02-m001-g080,02,1,80,RANDOM,51,49,0.29867062659758653,0.015210199563604865,False,False
INTP2-c02-m001-g080,02,1,80,NOOP,-1,-1,0.28346042703398167,0.0,True,False
INTP2-c03-m001-g020,03,1,20,RULE_UP,7,93,0.8121692610035054,0.013667956809533921,False,False
INTP2-c03-m001-g020,03,1,20,RULE_DOWN,14,7,0.7837913279577106,-0.014709976236260913,False,False
INTP2-c03-m001-g020,03,1,20,RANDOM,58,62,0.81219566512946,0.013694360935488481,False,False
INTP2-c03-m001-g020,03,1,20,NOOP,-1,-1,0.7985013041939715,0.0,True,False
INTP2-c03-m001-g035,03,1,35,RULE_UP,68,11,0.45656347556881105,0.028096251562053143,False,False
INTP2-c03-m001-g035,03,1,35,RULE_DOWN,55,68,0.6072843024688135,0.17881707846205558,False,False
INTP2-c03-m001-g035,03,1,35,RANDOM,50,85,0.4264850544350217,-0.001982169571736192,False,False
INTP2-c03-m001-g035,03,1,35,NOOP,-1,-1,0.4284672240067579,0.0,True,False
INTP2-c03-m001-g050,03,1,50,RULE_UP,60,4,0.716015404985553,0.014598542328807196,False,False
INTP2-c03-m001-g050,03,1,50,RULE_DOWN,92,60,0.7183209178074236,0.01690405515067772,False,False
INTP2-c03-m001-g050,03,1,50,RANDOM,59,74,0.7197621965478214,0.01834533389107551,False,False
INTP2-c03-m001-g050,03,1,50,NOOP,-1,-1,0.7014168626567459,0.0,True,False
INTP2-c03-m001-g065,03,1,65,RULE_UP,68,79,0.5660579112211076,0.03052046958877952,False,False
INTP2-c03-m001-g065,03,1,65,RULE_DOWN,71,68,0.5245117225885922,-0.011025719043735838,False,False
INTP2-c03-m001-g065,03,1,65,RANDOM,45,16,0.5270165684794896,-0.008520873152838448,False,False
INTP2-c03-m001-g065,03,1,65,NOOP,-1,-1,0.5355374416323281,0.0,True,False
INTP2-c03-m001-g080,03,1,80,RULE_UP,8,18,0.6995646574163797,0.010862927788184984,False,False
INTP2-c03-m001-g080,03,1,80,RULE_DOWN,41,8,0.687329056848679,-0.0013726727795158045,False,False
INTP2-c03-m001-g080,03,1,80,RANDOM,36,46,0.6927066699826012,0.004004940354406461,False,False
INTP2-c03-m001-g080,03,1,80,NOOP,-1,-1,0.6887017296281948,0.0,True,False
INTP2-c02-m002-g020,02,2,20,RULE_UP,47,62,0.19873490608630143,0.026944414683037626,False,False
INTP2-c02-m002-g020,02,2,20,RULE_DOWN,60,47,0.16754060686830757,-0.0042498845349562275,False,False
INTP2-c02-m002-g020,02,2,20,RANDOM,60,62,0.19284876344984211,0.021058272046578314,False,False
INTP2-c02-m002-g020,02,2,20,NOOP,-1,-1,0.1717904914032638,0.0,True,False
INTP2-c02-m002-g035,02,2,35,RULE_UP,64,74,0.10555033686009947,0.01610100692748509,False,False
INTP2-c02-m002-g035,02,2,35,RULE_DOWN,76,64,0.07599375768956011,-0.01345557224305427,False,False
INTP2-c02-m002-g035,02,2,35,RANDOM,47,95,0.09329644014760824,0.003847110214993857,False,False
INTP2-c02-m002-g035,02,2,35,NOOP,-1,-1,0.08944932993261438,0.0,True,False
INTP2-c02-m002-g050,02,2,50,RULE_UP,64,17,0.22337173290979945,0.016905530048344747,False,False
INTP2-c02-m002-g050,02,2,50,RULE_DOWN,76,64,0.18621065221493285,-0.020255550646521847,False,False
INTP2-c02-m002-g050,02,2,50,RANDOM,42,6,0.4175051720402069,0.21103896917875217,False,False
INTP2-c02-m002-g050,02,2,50,NOOP,-1,-1,0.2064662028614547,0.0,True,False
INTP2-c02-m002-g065,02,2,65,RULE_UP,64,99,0.2096014339113438,0.022301031665853177,False,False
INTP2-c02-m002-g065,02,2,65,RULE_DOWN,54,64,0.17296289174484739,-0.014337510500643247,False,False
INTP2-c02-m002-g065,02,2,65,RANDOM,33,76,0.20290784177166102,0.015607439526170386,False,False
INTP2-c02-m002-g065,02,2,65,NOOP,-1,-1,0.18730040224549063,0.0,True,False
INTP2-c02-m002-g080,02,2,80,RULE_UP,47,92,0.4946946954721788,0.003579865359516987,False,False
INTP2-c02-m002-g080,02,2,80,RULE_DOWN,92,47,0.4736995087492821,-0.0174153213633797,False,False
INTP2-c02-m002-g080,02,2,80,RANDOM,47,44,0.5071709958176726,0.016056165705010728,False,False
INTP2-c02-m002-g080,02,2,80,NOOP,-1,-1,0.4911148301126618,0.0,True,False
INTP2-c03-m002-g020,03,2,20,RULE_UP,41,52,0.6385551191401831,0.024789804970824836,False,False
INTP2-c03-m002-g020,03,2,20,RULE_DOWN,73,41,0.6446499510191835,0.03088463684982523,False,False
INTP2-c03-m002-g020,03,2,20,RANDOM,64,35,0.6297851418699035,0.01601982770054522,False,False
INTP2-c03-m002-g020,03,2,20,NOOP,-1,-1,0.6137653141693583,0.0,True,False
INTP2-c03-m002-g035,03,2,35,RULE_UP,64,4,0.02787459939281055,0.004914055841739148,False,False
INTP2-c03-m002-g035,03,2,35,RULE_DOWN,42,64,0.02832720771130686,0.005366664160235457,False,False
INTP2-c03-m002-g035,03,2,35,RANDOM,60,7,0.023146276326000005,0.0001857327749286014,False,False
INTP2-c03-m002-g035,03,2,35,NOOP,-1,-1,0.022960543551071404,0.0,True,False
INTP2-c03-m002-g050,03,2,50,RULE_UP,47,99,0.37833995970629264,0.022488558081097954,False,False
INTP2-c03-m002-g050,03,2,50,RULE_DOWN,78,95,0.3217291999717259,-0.0341222016534688,False,False
INTP2-c03-m002-g050,03,2,50,RANDOM,93,74,0.3640339218823352,0.008182520257140502,False,False
INTP2-c03-m002-g050,03,2,50,NOOP,-1,-1,0.3558514016251947,0.0,True,False
INTP2-c03-m002-g065,03,2,65,RULE_UP,74,18,0.558343835020466,0.008432809432679989,False,False
INTP2-c03-m002-g065,03,2,65,RULE_DOWN,29,74,0.5450566931883132,-0.0048543323994728604,False,False
INTP2-c03-m002-g065,03,2,65,RANDOM,47,88,0.5381151384147029,-0.011795887173083108,False,False
INTP2-c03-m002-g065,03,2,65,NOOP,-1,-1,0.549911025587786,0.0,True,False
INTP2-c03-m002-g080,03,2,80,RULE_UP,24,35,0.7074062359105006,0.009021639971740103,False,False
INTP2-c03-m002-g080,03,2,80,RULE_DOWN,6,24,0.6918772680779641,-0.00650732786079633,False,False
INTP2-c03-m002-g080,03,2,80,RANDOM,50,27,0.632650297460298,-0.06573429847846246,False,False
INTP2-c03-m002-g080,03,2,80,NOOP,-1,-1,0.6983845959387605,0.0,True,False
INTP2-c02-m003-g020,02,3,20,RULE_UP,30,29,0.015333011808028305,0.003668306011783397,False,False
INTP2-c02-m003-g020,02,3,20,RULE_DOWN,93,30,0.00830969957832921,-0.0033550062179156983,False,False
INTP2-c02-m003-g020,02,3,20,RANDOM,57,51,0.015782821162406358,0.0041181153661614504,False,False
INTP2-c02-m003-g020,02,3,20,NOOP,-1,-1,0.011664705796244908,0.0,True,False
INTP2-c02-m003-g035,02,3,35,RULE_UP,30,63,0.01568201479595793,0.0037632617565225117,False,False
INTP2-c02-m003-g035,02,3,35,RULE_DOWN,67,30,0.009374703233283174,-0.0025440498061522435,False,False
INTP2-c02-m003-g035,02,3,35,RANDOM,47,69,0.013394530709312135,0.0014757776698767176,False,False
INTP2-c02-m003-g035,02,3,35,NOOP,-1,-1,0.011918753039435417,0.0,True,False
INTP2-c02-m003-g050,02,3,50,RULE_UP,30,90,0.0072760574638598636,0.0019841921114421256,False,False
INTP2-c02-m003-g050,02,3,50,RULE_DOWN,61,30,0.00408404559748695,-0.0012078197549307878,False,False
INTP2-c02-m003-g050,02,3,50,RANDOM,74,4,0.005526336944968957,0.00023447159255121901,False,False
INTP2-c02-m003-g050,02,3,50,NOOP,-1,-1,0.005291865352417738,0.0,True,False
INTP2-c02-m003-g065,02,3,65,RULE_UP,30,90,0.004145781355237173,0.001195178617922571,False,False
INTP2-c02-m003-g065,02,3,65,RULE_DOWN,86,30,0.0015089090503430454,-0.0014416936869715569,False,False
INTP2-c02-m003-g065,02,3,65,RANDOM,68,93,0.004217911174682151,0.0012673084373675488,False,False
INTP2-c02-m003-g065,02,3,65,NOOP,-1,-1,0.0029506027373146023,0.0,True,False
INTP2-c02-m003-g080,02,3,80,RULE_UP,30,35,0.004913085433163682,0.0011648820508879778,False,False
INTP2-c02-m003-g080,02,3,80,RULE_DOWN,42,30,0.0025978877085508015,-0.001150315673724903,False,False
INTP2-c02-m003-g080,02,3,80,RANDOM,84,19,0.0039964797760149206,0.0002482763937392161,False,False
INTP2-c02-m003-g080,02,3,80,NOOP,-1,-1,0.0037482033822757044,0.0,True,False
INTP2-c03-m003-g020,03,3,20,RULE_UP,30,90,0.019505582127566076,0.004135747961152137,False,False
INTP2-c03-m003-g020,03,3,20,RULE_DOWN,61,30,0.012683802482261865,-0.0026860316841520737,False,False
INTP2-c03-m003-g020,03,3,20,RANDOM,30,35,0.01902393204985613,0.003654097883442191,False,False
INTP2-c03-m003-g020,03,3,20,NOOP,-1,-1,0.015369834166413939,0.0,True,False
INTP2-c03-m003-g035,03,3,35,RULE_UP,30,90,0.00517194871998833,0.0021966632509762096,False,False
INTP2-c03-m003-g035,03,3,35,RULE_DOWN,69,30,0.0022552085847419583,-0.0007200768842701624,False,False
INTP2-c03-m003-g035,03,3,35,RANDOM,57,42,0.005405583807280792,0.0024302983382686713,False,False
INTP2-c03-m003-g035,03,3,35,NOOP,-1,-1,0.0029752854690121206,0.0,True,False
INTP2-c03-m003-g050,03,3,50,RULE_UP,30,29,0.006293972893605162,0.0015161202236978425,False,False
INTP2-c03-m003-g050,03,3,50,RULE_DOWN,1,30,0.0035309269499661047,-0.001246925719941215,False,False
INTP2-c03-m003-g050,03,3,50,RANDOM,10,35,0.005544540377014662,0.0007666877071073426,False,False
INTP2-c03-m003-g050,03,3,50,NOOP,-1,-1,0.00477785266990732,0.0,True,False
INTP2-c03-m003-g065,03,3,65,RULE_UP,30,86,0.0039847463237218,0.001703165909557634,False,False
INTP2-c03-m003-g065,03,3,65,RULE_DOWN,56,30,0.001522644151538533,-0.000758936262625633,False,False
INTP2-c03-m003-g065,03,3,65,RANDOM,47,20,0.003915737581030076,0.0016341571668659102,False,False
INTP2-c03-m003-g065,03,3,65,NOOP,-1,-1,0.002281580414164166,0.0,True,False
INTP2-c03-m003-g080,03,3,80,RULE_UP,30,90,0.005206452630776346,0.0013330859707943927,False,False
INTP2-c03-m003-g080,03,3,80,RULE_DOWN,52,30,0.0028983685835027723,-0.0009749980764791814,False,False
INTP2-c03-m003-g080,03,3,80,RANDOM,52,7,0.003859206298623443,-1.4160361358510863e-05,False,False
INTP2-c03-m003-g080,03,3,80,NOOP,-1,-1,0.0038733666599819537,0.0,True,False
INTP2-c02-m004-g020,02,4,20,RULE_UP,12,16,0.39236229657622834,0.012547821188094,False,False
INTP2-c02-m004-g020,02,4,20,RULE_DOWN,26,12,0.37108015840392156,-0.008734316984212787,False,False
