state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RULE_UP,q_all_RULE_UP,q_half_A_RULE_UP,q_half_B_RULE_UP,prediction_RULE_DOWN,q_all_RULE_DOWN,q_half_A_RULE_DOWN,q_half_B_RULE_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP2-c02-m000-g020,02,0,20,40,16,41,757,0.337951638280063,0.0625,0.125,0.0,0.31967914714230344,0.0625,0.125,0.0,0.3126160862090722,0.03125,0.0,0.0625,0.3143009419797558,0.09375,0.0625,0.125
INTP2-c02-m000-g035,02,0,35,40,19,31,1228,0.2569607858944612,0.03125,0.0625,0.0,0.20826716666570916,0.15625,0.125,0.1875,0.23359537124606092,0.125,0.1875,0.0625,0.23362718148505815,0.0625,0.125,0.0
INTP2-c02-m000-g050,02,0,50,40,20,32,1748,0.3689236573752484,0.1875,0.3125,0.0625,0.341162403261886,0.1875,0.0625,0.3125,0.313218638994781,0.125,0.0625,0.1875,0.34774132877127206,0.125,0.125,0.125
INTP2-c02-m000-g065,02,0,65,40,14,41,2318,0.16168734872925553,0.03125,0.0,0.0625,0.12045916202956342,0.09375,0.125,0.0625,0.142953539858684,0.03125,0.0625,0.0,0.14363397201398678,0.125,0.1875,0.0625
INTP2-c02-m000-g080,02,0,80,40,16,21,2802,0.19068748755640164,0.125,0.0,0.25,0.15170289515874769,0.0625,0.125,0.0,0.15820358700476897,0.0,0.0,0.0,0.17122372389436313,0.03125,0.0625,0.0
INTP2-c03-m000-g020,03,0,20,38,14,24,673,0.1910621868744442,0.09375,0.125,0.0625,0.1625169186406041,0.03125,0.0625,0.0,0.17720509072676324,0.0625,0.0625,0.0625,0.1732269183209139,0.0625,0.125,0.0
INTP2-c03-m000-g035,03,0,35,37,17,27,1084,0.323110672534255,0.375,0.4375,0.3125,0.2915031048007796,0.1875,0.25,0.125,0.3159735373750345,0.28125,0.25,0.3125,0.30296149956986107,0.3125,0.375,0.25
INTP2-c03-m000-g050,03,0,50,46,16,22,1464,0.11830020751045658,0.1875,0.1875,0.1875,0.09202795816228826,0.25,0.375,0.125,0.11065953161964763,0.15625,0.0625,0.25,0.1048304280054527,0.25,0.3125,0.1875
INTP2-c03-m000-g065,03,0,65,45,19,45,1879,0.18317072274809462,0.3125,0.25,0.375,0.1700762789279679,0.125,0.125,0.125,0.24504984967945767,0.28125,0.375,0.1875,0.16490186492167647,0.28125,0.3125,0.25
INTP2-c03-m000-g080,03,0,80,39,11,22,2337,0.06493066959580551,0.15625,0.125,0.1875,0.03876465646330508,0.15625,0.1875,0.125,0.062220931674433856,0.28125,0.25,0.3125,0.055068597376669914,0.09375,0.1875,0.0
INTP2-c02-m001-g020,02,1,20,40,16,62,659,0.3732653134973363,0.5625,0.625,0.5,0.3223815439123677,0.46875,0.5625,0.375,0.37104394102972404,0.46875,0.375,0.5625,0.34272986638600417,0.5,0.4375,0.5625
INTP2-c02-m001-g035,02,1,35,40,26,67,1444,0.6835491119952082,0.84375,0.9375,0.75,0.6623182838397361,0.78125,0.875,0.6875,0.6572408453155081,0.875,1.0,0.75,0.6635931276721158,0.78125,0.8125,0.75
INTP2-c02-m001-g050,02,1,50,40,22,60,2004,0.6690169609282214,0.78125,0.875,0.6875,0.6573544234260323,0.6875,0.6875,0.6875,0.6775569806333728,0.8125,0.75,0.875,0.6783526378088434,0.78125,0.8125,0.75
INTP2-c02-m001-g065,02,1,65,40,16,23,2716,0.2928039708547593,0.3125,0.25,0.375,0.24569610233303588,0.21875,0.125,0.3125,0.27283296212938385,0.21875,0.125,0.3125,0.26971684677497426,0.21875,0.25,0.1875
INTP2-c02-m001-g080,02,1,80,40,14,12,3293,0.31468590516616685,0.46875,0.5625,0.375,0.29187619649762825,0.375,0.4375,0.3125,0.29867062659758653,0.40625,0.5,0.3125,0.28346042703398167,0.34375,0.375,0.3125
INTP2-c03-m001-g020,03,1,20,35,19,48,849,0.8121692610035054,0.6875,0.625,0.75,0.7837913279577106,0.6875,0.6875,0.6875,0.81219566512946,0.71875,0.6875,0.75,0.7985013041939715,0.625,0.5,0.75
INTP2-c03-m001-g035,03,1,35,35,16,59,1448,0.45656347556881105,0.40625,0.5,0.3125,0.6072843024688135,0.5625,0.5625,0.5625,0.4264850544350217,0.46875,0.4375,0.5,0.4284672240067579,0.46875,0.625,0.3125
INTP2-c03-m001-g050,03,1,50,38,26,49,2047,0.716015404985553,0.8125,0.6875,0.9375,0.7183209178074236,0.625,0.6875,0.5625,0.7197621965478214,0.8125,0.8125,0.8125,0.7014168626567459,0.78125,0.875,0.6875
INTP2-c03-m001-g065,03,1,65,35,21,17,2569,0.5660579112211076,0.46875,0.5,0.4375,0.5245117225885922,0.28125,0.3125,0.25,0.5270165684794896,0.46875,0.375,0.5625,0.5355374416323281,0.59375,0.5,0.6875
INTP2-c03-m001-g080,03,1,80,33,22,41,3074,0.6995646574163797,0.8125,0.75,0.875,0.687329056848679,0.75,0.875,0.625,0.6927066699826012,0.71875,0.75,0.6875,0.6887017296281948,0.875,0.8125,0.9375
INTP2-c02-m002-g020,02,2,20,40,9,36,607,0.19873490608630143,0.34375,0.375,0.3125,0.16754060686830757,0.375,0.625,0.125,0.19284876344984211,0.3125,0.375,0.25,0.1717904914032638,0.375,0.25,0.5
INTP2-c02-m002-g035,02,2,35,40,13,13,1237,0.10555033686009947,0.34375,0.25,0.4375,0.07599375768956011,0.21875,0.125,0.3125,0.09329644014760824,0.15625,0.1875,0.125,0.08944932993261438,0.1875,0.1875,0.1875
INTP2-c02-m002-g050,02,2,50,40,18,16,1780,0.22337173290979945,0.375,0.375,0.375,0.18621065221493285,0.21875,0.25,0.1875,0.4175051720402069,0.25,0.25,0.25,0.2064662028614547,0.28125,0.3125,0.25
INTP2-c02-m002-g065,02,2,65,40,17,22,2396,0.2096014339113438,0.5,0.5625,0.4375,0.17296289174484739,0.34375,0.3125,0.375,0.20290784177166102,0.3125,0.3125,0.3125,0.18730040224549063,0.46875,0.5,0.4375
INTP2-c02-m002-g080,02,2,80,40,20,61,2888,0.4946946954721788,0.5625,0.5,0.625,0.4736995087492821,0.75,0.8125,0.6875,0.5071709958176726,0.6875,0.625,0.75,0.4911148301126618,0.71875,0.6875,0.75
INTP2-c03-m002-g020,03,2,20,34,19,37,591,0.6385551191401831,0.65625,0.75,0.5625,0.6446499510191835,0.625,0.75,0.5,0.6297851418699035,0.6875,0.625,0.75,0.6137653141693583,0.6875,0.6875,0.6875
INTP2-c03-m002-g035,03,2,35,43,8,16,954,0.02787459939281055,0.1875,0.125,0.25,0.02832720771130686,0.4375,0.4375,0.4375,0.023146276326000005,0.15625,0.125,0.1875,0.022960543551071404,0.40625,0.4375,0.375
INTP2-c03-m002-g050,03,2,50,36,17,72,1445,0.37833995970629264,0.25,0.1875,0.3125,0.3217291999717259,0.1875,0.125,0.25,0.3640339218823352,0.28125,0.375,0.1875,0.3558514016251947,0.34375,0.375,0.3125
