state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RULE_UP,q_all_RULE_UP,q_half_A_RULE_UP,q_half_B_RULE_UP,prediction_RULE_DOWN,q_all_RULE_DOWN,q_half_A_RULE_DOWN,q_half_B_RULE_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP2B_OUTGOING_V1-c02-m000-g020,02,0,20,40,14,65,725,0.4532372257680761,0.53125,0.6875,0.375,0.18239122544216718,0.21875,0.25,0.1875,0.442737815313342,0.53125,0.5625,0.5,0.42126546551497784,0.5,0.5625,0.4375
INTP2B_OUTGOING_V1-c02-m000-g035,02,0,35,40,11,9,1296,0.2820306092717168,0.09375,0.0625,0.125,0.039604808198876316,0.21875,0.1875,0.25,0.048934851715934764,0.1875,0.25,0.125,0.0563209942542201,0.28125,0.4375,0.125
INTP2B_OUTGOING_V1-c02-m000-g050,02,0,50,40,15,9,1790,0.42980654017335307,0.40625,0.4375,0.375,0.12695056978451055,0.375,0.4375,0.3125,0.3719816424690842,0.375,0.375,0.375,0.39434193968509385,0.375,0.375,0.375
INTP2B_OUTGOING_V1-c02-m000-g065,02,0,65,40,18,53,2410,0.5330849055660277,0.46875,0.625,0.3125,0.20452395651003485,0.125,0.0625,0.1875,0.2467441993195524,0.21875,0.25,0.1875,0.249103669247237,0.21875,0.25,0.1875
INTP2B_OUTGOING_V1-c02-m000-g080,02,0,80,40,25,51,2943,0.563225074252231,0.40625,0.375,0.4375,0.30907971965229714,0.40625,0.375,0.4375,0.5066175955322397,0.53125,0.625,0.4375,0.506753646464466,0.40625,0.4375,0.375
INTP2B_OUTGOING_V1-c03-m000-g020,03,0,20,39,7,9,349,0.10710443794308429,0.4375,0.4375,0.4375,0.009304373474707969,0.3125,0.25,0.375,0.11693930964552637,0.25,0.3125,0.1875,0.10123894583414936,0.34375,0.375,0.3125
INTP2B_OUTGOING_V1-c03-m000-g035,03,0,35,41,24,38,751,0.7206202355456078,0.71875,0.6875,0.75,0.4111238539104507,0.40625,0.375,0.4375,0.681030968685288,0.75,0.8125,0.6875,0.6835170833290458,0.84375,0.875,0.8125
INTP2B_OUTGOING_V1-c03-m000-g050,03,0,50,33,17,23,1140,0.5230080487812754,0.625,0.5625,0.6875,0.14590145569473986,0.1875,0.1875,0.1875,0.4794456037731907,0.65625,0.6875,0.625,0.46894701187710247,0.46875,0.5,0.4375
INTP2B_OUTGOING_V1-c03-m000-g065,03,0,65,30,18,41,1589,0.6749261636205697,0.625,0.625,0.625,0.2869250567305039,0.28125,0.375,0.1875,0.35502982021709795,0.4375,0.4375,0.4375,0.35555582710902855,0.25,0.25,0.25
INTP2B_OUTGOING_V1-c03-m000-g080,03,0,80,40,13,42,2043,0.45256942997101574,0.5,0.4375,0.5625,0.13884802372741673,0.3125,0.25,0.375,0.42690249674617464,0.46875,0.5,0.4375,0.4243502399888254,0.25,0.1875,0.3125
INTP2B_OUTGOING_V1-c02-m001-g020,02,1,20,40,17,57,703,0.3456663922949004,0.46875,0.4375,0.5,0.17940773434061272,0.40625,0.375,0.4375,0.22362514819876245,0.21875,0.3125,0.125,0.20619423544943602,0.21875,0.25,0.1875
