cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop
c02_A,02,A,0,0.1,0.0625,0.0375,0.05
c02_A,02,A,1,-0.15,-0.0375,-0.1125,0.0
c02_A,02,A,2,-0.0125,-0.0625,0.05,0.025
c02_A,02,A,3,0.025,0.025,0.0,0.0375
c02_A,02,A,4,-0.0625,0.075,-0.1375,0.0125
c02_A,02,A,5,0.0,0.0,0.0,0.0
c02_A,02,A,6,-0.075,-0.0875,0.0125,-0.0375
c02_A,02,A,7,0.025,0.0375,-0.0125,0.0375
c02_A,02,A,8,0.0,0.0,0.0,0.0
c02_A,02,A,9,0.0125,0.025,-0.0125,0.05
c02_A,02,A,10,-0.075,-0.0375,-0.0375,-0.075
c02_A,02,A,11,-0.0375,0.05,-0.0875,0.0125
c02_A,02,A,12,-0.0125,0.025,-0.0375,0.0
c02_A,02,A,13,0.05,-0.025,0.075,-0.025
c02_A,02,A,14,0.0,0.0,0.0,0.0
c02_A,02,A,15,0.025,0.025,0.0,0.0
c02_A,02,A,16,-0.0125,-0.025,0.0125,0.075
c02_A,02,A,17,-0.0875,-0.075,-0.0125,-0.0125
c02_A,02,A,18,0.125,0.0875,0.0375,0.0125
c02_A,02,A,19,0.0,0.0,0.0,0.0
c02_A,02,A,20,0.0,0.025,-0.025,0.0375
c02_A,02,A,21,-0.0375,-0.0875,0.05,-0.05
c02_A,02,A,22,0.05,0.075,-0.025,0.0125
c02_A,02,A,23,0.0,0.0,0.0,0.0
c02_A,02,A,24,-0.025,-0.1125,0.0875,-0.0375
c02_A,02,A,25,0.175,0.1375,0.0375,0.1
c02_A,02,A,26,0.0125,-0.05,0.0625,-0.05
c02_A,02,A,27,0.0,0.0,0.0,0.0
c02_A,02,A,28,-0.0625,-0.025,-0.0375,0.0125
c02_A,02,A,29,-0.0875,0.0,-0.0875,0.0625
c02_A,02,A,30,-0.0625,-0.125,0.0625,-0.1125
c02_A,02,A,31,0.0375,0.1,-0.0625,0.05
c02_A,02,A,32,0.0375,-0.1125,0.15,0.0
c02_A,02,A,33,0.0125,0.1125,-0.1,0.05
c02_A,02,A,34,0.0875,-0.05,0.1375,-0.025
c02_A,02,A,35,-0.075,-0.025,-0.05,0.0375
c02_A,02,A,36,0.0375,-0.1125,0.15,-0.05
c02_A,02,A,37,0.0,0.0375,-0.0375,0.1125
