state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_RANDOM_SURGERY,q_all_RANDOM_SURGERY,q_half_A_RANDOM_SURGERY,q_half_B_RANDOM_SURGERY,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP3-c02-m000-g020,02,0,20,40,21,44,802,0.529033427949604,0.71875,0.8125,0.625,0.5175947980965392,0.4375,0.375,0.5,0.5224641601183979,0.65625,0.75,0.5625,0.5236052168464516,0.6875,0.5625,0.8125
INTP3-c02-m000-g035,02,0,35,40,22,45,1453,0.5736150010309958,0.40625,0.4375,0.375,0.56601030034391,0.5625,0.5625,0.5625,0.5641831997772936,0.46875,0.5625,0.375,0.569363267226639,0.5625,0.5625,0.5625
INTP3-c02-m000-g050,02,0,50,40,24,52,2325,0.5996812330147778,0.65625,0.5,0.8125,0.5894770886648207,0.40625,0.3125,0.5,0.5941369848508715,0.46875,0.375,0.5625,0.5946828777894035,0.4375,0.4375,0.4375
INTP3-c02-m000-g065,02,0,65,40,19,29,2964,0.33483406579615227,0.6875,0.6875,0.6875,0.32232433591447607,0.5625,0.625,0.5,0.3285834063591318,0.65625,0.6875,0.625,0.32862509556142033,0.625,0.5625,0.6875
INTP3-c02-m000-g080,02,0,80,40,19,26,3666,0.5223389030581573,0.53125,0.6875,0.375,0.5084124825325709,0.71875,0.75,0.6875,0.5153011252276125,0.65625,0.6875,0.625,0.5157663933700942,0.6875,0.6875,0.6875
INTP3-c03-m000-g020,03,0,20,43,13,33,681,0.4840256106396078,0.21875,0.25,0.1875,0.4716280807840822,0.46875,0.4375,0.5,0.4792265537663116,0.375,0.25,0.5,0.4779847683550897,0.4375,0.25,0.625
INTP3-c03-m000-g035,03,0,35,40,17,27,1184,0.4756052271505093,0.4375,0.375,0.5,0.46354381868220174,0.53125,0.375,0.6875,0.4697185911729783,0.59375,0.625,0.5625,0.46976855311162985,0.5625,0.625,0.5
INTP3-c03-m000-g050,03,0,50,39,26,23,1822,0.6894189998425903,0.65625,0.625,0.6875,0.6802912895588907,0.4375,0.5625,0.3125,0.6854190621338102,0.625,0.6875,0.5625,0.6849438450346601,0.625,0.8125,0.4375
INTP3-c03-m000-g065,03,0,65,43,23,28,2372,0.6360378141444413,0.6875,0.625,0.75,0.6239158759094006,0.53125,0.75,0.3125,0.6311467438931277,0.5625,0.5,0.625,0.6300885229311984,0.71875,0.625,0.8125
INTP3-c03-m000-g080,03,0,80,38,19,63,2852,0.627257280919281,0.5,0.375,0.625,0.6154394856034532,0.59375,0.4375,0.75,0.6202675277763381,0.625,0.625,0.625,0.621361444465537,0.75,0.875,0.625
INTP3-c02-m001-g020,02,1,20,40,18,47,720,0.5173357427773159,0.40625,0.3125,0.5,0.5089789724199033,0.5,0.5625,0.4375,0.5131392574523153,0.46875,0.3125,0.625,0.513124641279572,0.4375,0.3125,0.5625
INTP3-c02-m001-g035,02,1,35,40,23,66,1128,0.40058248341699065,0.21875,0.1875,0.25,0.38983135579769146,0.4375,0.5,0.375,0.39527667711684217,0.34375,0.4375,0.25,0.39537571501753455,0.375,0.4375,0.3125
INTP3-c02-m001-g050,02,1,50,40,18,19,1802,0.2603176578886651,0.15625,0.1875,0.125,0.2520911567868064,0.125,0.125,0.125,0.25603650851080645,0.0625,0.0625,0.0625,0.256269090219656,0.21875,0.125,0.3125
INTP3-c02-m001-g065,02,1,65,40,17,53,2263,0.34223613755710863,0.375,0.3125,0.4375,0.3326543091596883,0.4375,0.3125,0.5625,0.3370153738072902,0.3125,0.375,0.25,0.3374371197330315,0.3125,0.3125,0.3125
INTP3-c02-m001-g080,02,1,80,40,17,21,2757,0.33344194489815515,0.34375,0.375,0.3125,0.32581572322418145,0.4375,0.625,0.25,0.3292341847230006,0.375,0.375,0.375,0.32924335396378823,0.375,0.375,0.375
INTP3-c03-m001-g020,03,1,20,43,15,32,604,0.26906726440629347,0.1875,0.125,0.25,0.2584196623431957,0.1875,0.1875,0.1875,0.24584092084026476,0.21875,0.125,0.3125,0.2637146883452967,0.28125,0.25,0.3125
INTP3-c03-m001-g035,03,1,35,43,24,38,1027,0.6467801210016846,0.46875,0.5625,0.375,0.6355337518064053,0.5625,0.375,0.75,0.6411757623807018,0.625,0.75,0.5,0.6411737699533113,0.625,0.75,0.5
INTP3-c03-m001-g050,03,1,50,46,10,13,1389,0.05215886875753692,0.09375,0.1875,0.0,0.04915205524893762,0.125,0.0,0.25,0.05264904334985303,0.1875,0.25,0.125,0.05060283662690714,0.1875,0.1875,0.1875
INTP3-c03-m001-g065,03,1,65,33,17,60,1852,0.5188680303282355,0.125,0.0625,0.1875,0.5144409697511254,0.3125,0.3125,0.3125,0.5167353171757668,0.25,0.1875,0.3125,0.5168622521113305,0.25,0.25,0.25
INTP3-c03-m001-g080,03,1,80,40,20,28,2225,0.4761229040248524,0.28125,0.3125,0.25,0.46750685206857856,0.3125,0.3125,0.3125,0.4715081037551829,0.5,0.5,0.5,0.47196021193501253,0.34375,0.5,0.1875
INTP3-c02-m002-g020,02,2,20,40,21,36,830,0.6537209571954639,0.28125,0.1875,0.375,0.6428696455400085,0.28125,0.125,0.4375,0.6481500506063852,0.375,0.3125,0.4375,0.6481687416412104,0.375,0.3125,0.4375
INTP3-c02-m002-g035,02,2,35,40,16,39,1377,0.2831770107099398,0.15625,0.0,0.3125,0.27290786282486024,0.0625,0.0625,0.0625,0.27820311469385695,0.15625,0.1875,0.125,0.27780506786471837,0.0625,0.125,0.0
INTP3-c02-m002-g050,02,2,50,40,21,44,1835,0.4446439827186551,0.28125,0.3125,0.25,0.43203780602490344,0.3125,0.3125,0.3125,0.4374817703567397,0.1875,0.1875,0.1875,0.43837544217215346,0.125,0.1875,0.0625
INTP3-c02-m002-g065,02,2,65,40,17,24,2305,0.2407582189695965,0.21875,0.0625,0.375,0.23272891771530355,0.1875,0.1875,0.1875,0.23682301753194074,0.21875,0.1875,0.25,0.23685115727430944,0.28125,0.25,0.3125
INTP3-c02-m002-g080,02,2,80,40,13,26,2758,0.0772459756110979,0.15625,0.125,0.1875,0.07328488858091556,0.09375,0.0625,0.125,0.07243883783640531,0.25,0.25,0.25,0.07521463129512529,0.21875,0.125,0.3125
INTP3-c03-m002-g020,03,2,20,38,18,17,496,0.22298345281756465,0.15625,0.25,0.0625,0.21073782038461908,0.1875,0.25,0.125,0.2184265556735335,0.34375,0.1875,0.5,0.21690673096334834,0.5,0.375,0.625
