scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c02_A,02,A,0,0.0,-0.125,0.25,0.0625,0.125,-0.125,0.125
landmark60,c02_A,02,A,1,0.3125,-0.125,0.0,0.1875,0.0625,0.25,0.4375
landmark60,c02_A,02,A,2,0.0625,0.125,0.1875,-0.0625,0.0625,0.0,-0.0625
landmark60,c02_A,02,A,3,0.0625,0.125,-0.25,-0.1875,-0.0625,0.125,-0.0625
landmark60,c02_A,02,A,4,0.0,-0.0625,0.0625,0.0625,0.0,0.0,0.0625
landmark60,c02_A,02,A,5,0.0625,0.0625,0.375,0.1875,0.3125,-0.25,0.0
landmark60,c02_A,02,A,6,0.3125,0.0625,-0.1875,-0.0625,0.0,0.3125,0.25
landmark60,c02_A,02,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c02_A,02,A,8,0.0,-0.1875,-0.1875,-0.0625,0.0625,-0.0625,0.1875
landmark60,c02_A,02,A,9,0.1875,0.0,-0.125,0.125,0.0625,0.125,0.1875
landmark60,c02_A,02,A,10,-0.0625,-0.1875,0.3125,0.0625,0.25,-0.3125,0.125
landmark60,c02_A,02,A,11,0.0,0.0625,0.0625,0.0,0.0,0.0,-0.0625
landmark60,c02_A,02,A,12,-0.125,0.0,-0.0625,-0.0625,-0.0625,-0.0625,-0.125
landmark60,c02_A,02,A,13,0.0625,0.0,0.0625,-0.125,0.125,-0.0625,0.0625
landmark60,c02_A,02,A,14,0.25,-0.1875,0.0625,0.0,0.1875,0.0625,0.4375
landmark60,c02_A,02,A,15,-0.0625,-0.125,0.0,0.0,0.0,-0.0625,0.0625
landmark60,c02_A,02,A,16,0.5,0.25,-0.125,-0.125,0.0625,0.4375,0.25
landmark60,c02_A,02,A,17,-0.0625,0.3125,-0.3125,0.125,-0.0625,0.0,-0.375
landmark60,c02_A,02,A,18,0.1875,0.125,-0.3125,-0.25,-0.125,0.3125,0.0625
landmark60,c02_A,02,A,19,0.0,0.0,0.125,-0.0625,0.0625,-0.0625,0.0
landmark60,c02_A,02,A,20,0.25,-0.125,-0.0625,-0.375,0.0625,0.1875,0.375
landmark60,c02_A,02,A,21,0.1875,0.0625,0.125,0.125,-0.0625,0.25,0.125
landmark60,c02_A,02,A,22,0.1875,0.25,-0.1875,-0.3125,-0.0625,0.25,-0.0625
landmark60,c02_A,02,A,23,0.0,0.125,-0.125,0.0,-0.125,0.125,-0.125
landmark60,c02_A,02,A,24,0.0,0.0625,-0.125,0.0625,-0.125,0.125,-0.0625
landmark60,c02_A,02,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
