state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_SMALL_LOOSEN,q_all_SMALL_LOOSEN,q_half_A_SMALL_LOOSEN,q_half_B_SMALL_LOOSEN,prediction_SMALL_TIGHTEN,q_all_SMALL_TIGHTEN,q_half_A_SMALL_TIGHTEN,q_half_B_SMALL_TIGHTEN,prediction_SMALL_RANDOM_PP,q_all_SMALL_RANDOM_PP,q_half_A_SMALL_RANDOM_PP,q_half_B_SMALL_RANDOM_PP,prediction_FABLE_LOOSEN,q_all_FABLE_LOOSEN,q_half_A_FABLE_LOOSEN,q_half_B_FABLE_LOOSEN,prediction_FABLE_TIGHTEN,q_all_FABLE_TIGHTEN,q_half_A_FABLE_TIGHTEN,q_half_B_FABLE_TIGHTEN,prediction_FABLE_RANDOM_PP,q_all_FABLE_RANDOM_PP,q_half_A_FABLE_RANDOM_PP,q_half_B_FABLE_RANDOM_PP,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,40,19,53,605,0.26399676673548567,0.28125,0.375,0.1875,0.25492299502920096,0.09375,0.0,0.1875,0.2606277035180821,0.34375,0.25,0.4375,0.2979445568369159,0.3125,0.3125,0.3125,0.22210789248204826,0.125,0.125,0.125,0.08423538909828232,0.0625,0.0625,0.0625,0.2596114739571628,0.125,0.0625,0.1875
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,40,18,38,992,0.21761129885880515,0.21875,0.25,0.1875,0.20852926733086943,0.21875,0.3125,0.125,0.2126123800288322,0.125,0.0625,0.1875,0.25228733922226876,0.28125,0.3125,0.25,0.17716905971740882,0.1875,0.0625,0.3125,0.2056392126730902,0.03125,0.0625,0.0,0.21306054714634098,0.28125,0.3125,0.25
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,40,17,11,1566,0.1352157259351501,0.1875,0.1875,0.1875,0.1280418604580661,0.125,0.1875,0.0625,0.13346654389015739,0.0625,0.0625,0.0625,0.16183033902830948,0.28125,0.4375,0.125,0.10561316787161106,0.0625,0.0,0.125,0.14364175233950516,0.09375,0.125,0.0625,0.13155332616513749,0.09375,0.0625,0.125
INTP3B_DOSE_BRIDGE_V1-c02-m000-g060,02,0,60,40,8,14,1851,0.115914425947515,0.0625,0.0625,0.0625,0.11096857833309444,0.1875,0.1875,0.1875,0.1120004073827114,0.125,0.125,0.125,0.13711445387306434,0.1875,0.1875,0.1875,0.0929420448431356,0.125,0.1875,0.0625,0.10287135860354724,0.25,0.3125,0.1875,0.11327564673894121,0.125,0.0625,0.1875
INTP3B_DOSE_BRIDGE_V1-c02-m000-g065,02,0,65,40,12,13,1969,0.09586287283076969,0.15625,0.1875,0.125,0.09103500052933373,0.0625,0.0625,0.0625,0.08842168714820026,0.15625,0.0625,0.25,0.11391958039405037,0.21875,0.25,0.1875,0.07427340569753992,0.15625,0.125,0.1875,0.022170475853449827,0.03125,0.0625,0.0,0.09343397591807785,0.09375,0.1875,0.0
INTP3B_DOSE_BRIDGE_V1-c02-m000-g080,02,0,80,40,21,62,2422,0.545698971598642,0.625,0.8125,0.4375,0.539715614466882,0.8125,0.75,0.875,0.543184430546176,0.6875,0.75,0.625,0.5703153918118742,0.5625,0.5,0.625,0.5117707462666835,0.59375,0.625,0.5625,0.5425148221151546,0.53125,0.4375,0.625,0.5422583606928585,0.59375,0.8125,0.375
INTP3B_DOSE_BRIDGE_V1-c03-m000-g020,03,0,20,41,15,15,570,0.3914703542262456,0.625,0.625,0.625,0.3816735028610536,0.40625,0.3125,0.5,0.39053333858058015,0.46875,0.3125,0.625,0.42518759056600974,0.65625,0.5625,0.75,0.3461880265108986,0.53125,0.375,0.6875,0.43407190596209644,0.5625,0.5,0.625,0.38672168534871515,0.59375,0.75,0.4375
INTP3B_DOSE_BRIDGE_V1-c03-m000-g035,03,0,35,36,16,31,991,0.47282856675548174,0.21875,0.3125,0.125,0.4607011202670022,0.28125,0.1875,0.375,0.46236875544946976,0.1875,0.0625,0.3125,0.513370636247226,0.53125,0.5,0.5625,0.41566863935718856,0.28125,0.1875,0.375,0.4253833846093617,0.09375,0.0625,0.125,0.46654013343519457,0.25,0.25,0.25
INTP3B_DOSE_BRIDGE_V1-c03-m000-g050,03,0,50,46,16,9,1276,0.08818639619650909,0.1875,0.125,0.25,0.08159528951841019,0.125,0.0625,0.1875,0.0818498491632027,0.03125,0.0,0.0625,0.11369246439587484,0.375,0.5,0.25,0.060757051198913795,0.09375,0.1875,0.0,0.06356824018937599,0.09375,0.125,0.0625,0.08467958722781377,0.15625,0.125,0.1875
INTP3B_DOSE_BRIDGE_V1-c03-m000-g060,03,0,60,34,16,8,1530,0.3508307074932457,0.28125,0.25,0.3125,0.33805181141853863,0.40625,0.375,0.4375,0.3470059005028315,0.3125,0.4375,0.1875,0.39252470105150156,0.5625,0.4375,0.6875,0.29435720500401785,0.3125,0.375,0.25,0.32241453425512,0.125,0.0625,0.1875,0.3444493330903263,0.4375,0.4375,0.4375
