state_id,candidate,matrix_id,landmark,arm,present_types,present_present_edges,distinct_changed_edges,all_and_only_present_present,requested_frobenius_norm,observed_frobenius_norm,norm_absolute_error,norm_ratio,log_change_sum,minimum_beta_after,all_beta_positive,constant_multiplicative_ratio
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,SMALL_LOOSEN,19,361,361,True,16473.907800802233,16473.907800802215,1.8189894035458565e-11,0.9999999999999989,-18.516879273905758,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,SMALL_TIGHTEN,19,361,361,True,16473.907800802233,16473.907800802215,1.8189894035458565e-11,0.9999999999999989,17.613249265164967,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,SMALL_RANDOM_PP,19,361,361,True,16473.90780080222,16473.90780080223,1.0913936421275139e-11,1.0000000000000007,-1.0658141036401503e-14,5.056824832373712e-09,True,False
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,FABLE_LOOSEN,19,361,361,True,109826.05200534815,109826.05200534815,0.0,1.0,-146.3729040270474,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,FABLE_TIGHTEN,19,361,361,True,164739.0780080222,164739.07800802222,2.9103830456733704e-11,1.0000000000000002,146.37290402704738,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g020,02,0,20,FABLE_RANDOM_PP,19,361,361,True,164739.0780080222,164739.07800802196,2.3283064365386963e-10,0.9999999999999986,-3.197442310920451e-14,1.0774384872539617e-10,True,False
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,SMALL_LOOSEN,18,324,324,True,434.0141501579,434.0141501579,0.0,1.0,-16.619027381566386,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,SMALL_TIGHTEN,18,324,324,True,434.0141501579,434.0141501579,0.0,1.0,15.808013190895984,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,SMALL_RANDOM_PP,18,324,324,True,434.0141501578996,434.0141501578997,5.684341886080802e-14,1.0000000000000002,-6.38378239159465e-16,2.0960516184524694e-08,True,False
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,FABLE_LOOSEN,18,324,324,True,2893.427667719331,2893.427667719331,0.0,1.0,-131.37069502704531,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,FABLE_TIGHTEN,18,324,324,True,4340.141501578996,4340.141501578996,0.0,1.0,131.3706950270453,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g035,02,0,35,FABLE_RANDOM_PP,18,324,324,True,4340.141501578996,4340.141501578995,9.094947017729282e-13,0.9999999999999998,-2.6645352591003757e-15,2.0960516184524694e-08,True,False
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,SMALL_LOOSEN,17,289,289,True,16487.612307085696,16487.612307085677,1.8189894035458565e-11,0.9999999999999989,-14.823762078002119,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,SMALL_TIGHTEN,17,289,289,True,16487.612307085696,16487.612307085677,1.8189894035458565e-11,0.9999999999999989,14.100357444965862,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,SMALL_RANDOM_PP,17,289,289,True,16487.61230708568,16487.612307085707,2.546585164964199e-11,1.0000000000000016,3.3306690738754696e-16,2.0960516184524694e-08,True,False
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,FABLE_LOOSEN,17,289,289,True,109917.41538057123,109917.41538057126,2.9103830456733704e-11,1.0000000000000002,-117.17941624325954,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,FABLE_TIGHTEN,17,289,289,True,164876.12307085682,164876.12307085682,0.0,1.0,117.17941624325954,2.0960516184524694e-08,True,True
INTP3B_DOSE_BRIDGE_V1-c02-m000-g050,02,0,50,FABLE_RANDOM_PP,17,289,289,True,164876.12307085682,164876.12307085682,0.0,1.0,1.7763568394002505e-15,2.0960516184524694e-08,True,False
