state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_BALANCED_LOG_RANDOM,q_all_BALANCED_LOG_RANDOM,q_half_A_BALANCED_LOG_RANDOM,q_half_B_BALANCED_LOG_RANDOM,prediction_THROUGHPUT_NEUTRAL_RANDOM,q_all_THROUGHPUT_NEUTRAL_RANDOM,q_half_A_THROUGHPUT_NEUTRAL_RANDOM,q_half_B_THROUGHPUT_NEUTRAL_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g020,02,0,20,40,17,41,997,0.27336974798689323,0.4375,0.625,0.25,0.19712040410768844,0.21875,0.1875,0.25,0.22314048724708047,0.25,0.25,0.25,0.13985464091386213,0.125,0.0625,0.1875,0.23710841605375782,0.375,0.4375,0.3125
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g035,02,0,35,40,7,66,1662,0.04656713948578358,0.34375,0.4375,0.25,0.029048450456128493,0.15625,0.125,0.1875,0.012098821968501558,0.0,0.0,0.0,0.012939728164530035,0.0,0.0,0.0,0.03697101015461402,0.21875,0.1875,0.25
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g050,02,0,50,40,17,57,2521,0.14192510840226388,0.09375,0.125,0.0625,0.0932614987240557,0.0625,0.0,0.125,0.11069544166596204,0.03125,0.0625,0.0,0.04660083450245746,0.0,0.0,0.0,0.11701643550840889,0.21875,0.25,0.1875
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g060,02,0,60,40,13,34,2844,0.1002820033750417,0.40625,0.4375,0.375,0.06921467099918385,0.25,0.3125,0.1875,0.06859601200805246,0.125,0.125,0.125,0.05326098200793601,0.34375,0.25,0.4375,0.08401284082155504,0.1875,0.25,0.125
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g065,02,0,65,40,17,43,3064,0.13759782567289291,0.5,0.375,0.625,0.09897553859177724,0.25,0.25,0.25,0.13958465159011038,0.28125,0.3125,0.25,0.08254693955604832,0.15625,0.1875,0.125,0.1202718484070479,0.34375,0.25,0.4375
INTP3C_THROUGHPUT_PILOT_V1-c02-m000-g080,02,0,80,40,18,84,3857,0.472641324182532,0.3125,0.4375,0.1875,0.3991928598543706,0.375,0.25,0.5,0.4111193422705831,0.21875,0.25,0.1875,0.31352269992662307,0.4375,0.375,0.5,0.4385914904178716,0.21875,0.25,0.1875
INTP3C_THROUGHPUT_PILOT_V1-c03-m000-g020,03,0,20,39,28,58,809,0.5904669343959417,0.6875,0.6875,0.6875,0.5534461820280109,0.59375,0.5625,0.625,0.5594737269681503,0.53125,0.5,0.5625,0.8454879290843512,0.625,0.5,0.75,0.5738798031020889,0.59375,0.4375,0.75
INTP3C_THROUGHPUT_PILOT_V1-c03-m000-g035,03,0,35,37,12,36,1241,0.11045663830154526,0.34375,0.375,0.3125,0.07158823476518335,0.28125,0.25,0.3125,0.11916530449078858,0.28125,0.25,0.3125,0.058499511922265324,0.03125,0.0,0.0625,0.08898435526537077,0.375,0.25,0.5
INTP3C_THROUGHPUT_PILOT_V1-c03-m000-g050,03,0,50,40,9,31,1764,0.07734302511308709,0.34375,0.25,0.4375,0.049699911414533934,0.15625,0.1875,0.125,0.06739404252056916,0.125,0.125,0.125,0.04334886331047497,0.03125,0.0,0.0625,0.06280906682728564,0.34375,0.375,0.3125
INTP3C_THROUGHPUT_PILOT_V1-c03-m000-g060,03,0,60,42,20,33,2164,0.3105932166692014,0.21875,0.25,0.1875,0.26202429406657307,0.40625,0.375,0.4375,0.26456729835405485,0.40625,0.4375,0.375,0.38674318679861996,0.4375,0.625,0.25,0.28632917314609113,0.3125,0.25,0.375
