source_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,broken_state_id,break_h,broken_state_digest
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g020,02,0,20,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g035,02,0,35,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g050,02,0,50,True,natural_break_observed,5,5,INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g050-break-f05,0.8825757575757576,1e174624144579fc0860051a189d32b3ed77ac69d8557efeb450ed305fd6166c
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g065,02,0,65,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g080,02,0,80,True,natural_break_observed,10,10,INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g080-break-f10,0.8868636210743287,8d40665990441b31832feb7c02679cff5712eb9d3de626bf57ae1e97c6ef955f
INTP4_SHARED_NATURAL_BREAK_V1-c03-m000-g020,03,0,20,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m000-g035,03,0,35,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m000-g050,03,0,50,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m000-g065,03,0,65,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m000-g080,03,0,80,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g020,02,1,20,True,natural_break_observed,5,5,INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g020-break-f05,0.8773459972979608,5214caa1728a956860e6cd7654ca7f445c11340aeb0d2cda3441b564642940b3
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g035,02,1,35,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g050,02,1,50,True,natural_break_observed,4,4,INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g050-break-f04,0.8968094342779955,42774fad05bb1f7c90186d2aa3e181f8065ce8aa0ce9143d2858867f5a3de1e0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g065,02,1,65,True,natural_break_observed,2,2,INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g065-break-f02,0.8997323012241142,21de320e9263d779e5deaee02d3a9dead2898d6d86c5e9917970e29efeae4676
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g080,02,1,80,True,natural_break_observed,4,4,INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g080-break-f04,0.8750199742047441,a4f39c911bf4b569665299a2d19c58331dc08bb2dd7224eb537a8995c85be977
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g020,03,1,20,True,natural_break_observed,9,9,INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g020-break-f09,0.8874709316157301,7b54ce079b346b178dbd02aa5888589c741d228e132c18c8e766461055eea87f
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g035,03,1,35,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g050,03,1,50,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g065,03,1,65,True,natural_break_observed,3,3,INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g065-break-f03,0.8837937625193204,2e0a84a2f4da4ff1edb820d5d200763ac55d57a74c06f5b98a1b0ea33ea5f9d1
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g080,03,1,80,True,natural_break_observed,2,2,INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g080-break-f02,0.8910014680931707,f716e1776ae296cada67965bf5166f8f8e4ccf694420eabf33b93d66da949ace
INTP4_SHARED_NATURAL_BREAK_V1-c02-m002-g020,02,2,20,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m002-g035,02,2,35,False,no_natural_break_within_f12,12,-1,,,
INTP4_SHARED_NATURAL_BREAK_V1-c02-m002-g050,02,2,50,False,no_natural_break_within_f12,12,-1,,,
