state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_BALANCED_LOG_RANDOM,q_all_BALANCED_LOG_RANDOM,q_half_A_BALANCED_LOG_RANDOM,q_half_B_BALANCED_LOG_RANDOM,prediction_THROUGHPUT_NEUTRAL_RANDOM,q_all_THROUGHPUT_NEUTRAL_RANDOM,q_half_A_THROUGHPUT_NEUTRAL_RANDOM,q_half_B_THROUGHPUT_NEUTRAL_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g050-break-f05,02,0,50,40,18,71,1620,0.4829891114064715,1.0,1.0,1.0,0.40668963887749177,1.0,1.0,1.0,0.4369532661919003,1.0,1.0,1.0,0.30759292929533594,1.0,1.0,1.0,0.44854395720116935,1.0,1.0,1.0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m000-g080-break-f10,02,0,80,40,17,37,2481,0.5700028221717095,1.0,1.0,1.0,0.49747303100391504,1.0,1.0,1.0,0.5114095104460357,1.0,1.0,1.0,0.44748518279401883,1.0,1.0,1.0,0.5365950986164636,1.0,1.0,1.0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g020-break-f05,02,1,20,40,26,53,1049,0.755810342387754,0.96875,0.9375,1.0,0.7145318340526557,0.75,0.75,0.75,0.7359387517134776,0.9375,1.0,0.875,0.7785838109478042,0.90625,0.8125,1.0,0.738079054100446,0.875,0.9375,0.8125
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g050-break-f04,02,1,50,40,22,36,2281,0.5368754801715596,0.96875,0.9375,1.0,0.4609985153508975,1.0,1.0,1.0,0.5237596393021628,0.96875,0.9375,1.0,0.36606962946401983,1.0,1.0,1.0,0.5093343870385453,1.0,1.0,1.0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g065-break-f02,02,1,65,40,23,111,2973,0.6794678224652055,0.8125,0.875,0.75,0.6188143154408859,0.9375,1.0,0.875,0.6735758875385092,0.90625,0.875,0.9375,0.592311793023366,0.75,0.75,0.75,0.6515075905458881,0.90625,0.9375,0.875
INTP4_SHARED_NATURAL_BREAK_V1-c02-m001-g080-break-f04,02,1,80,40,26,46,3684,0.6589044727724227,0.90625,0.9375,0.875,0.5810784465981028,0.96875,0.9375,1.0,0.6227735086768831,1.0,1.0,1.0,0.5791082990262395,0.96875,0.9375,1.0,0.6292042512249605,0.875,0.9375,0.8125
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g020-break-f09,03,1,20,41,24,59,1105,0.7245432755320215,0.875,0.9375,0.8125,0.6325348871732352,0.90625,0.9375,0.875,0.6781434633160299,0.84375,0.875,0.8125,0.8571902038741217,0.6875,0.6875,0.6875,0.6803941322775255,0.8125,0.8125,0.8125
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g065-break-f03,03,1,65,39,22,43,2635,0.7078009723537554,0.875,0.9375,0.8125,0.6504998120291022,0.875,0.9375,0.8125,0.646468396336797,0.9375,0.875,1.0,0.8057776769981214,0.875,0.875,0.875,0.6804701344317915,0.90625,0.9375,0.875
INTP4_SHARED_NATURAL_BREAK_V1-c03-m001-g080-break-f02,03,1,80,44,24,18,3118,0.6226970079702262,0.9375,0.9375,0.9375,0.5195170514494123,1.0,1.0,1.0,0.5429347392886681,1.0,1.0,1.0,0.799612131065574,1.0,1.0,1.0,0.5786936838553087,1.0,1.0,1.0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m002-g080-break-f05,02,2,80,40,25,51,2924,0.5936875857081071,0.9375,0.9375,0.9375,0.5167207197635364,1.0,1.0,1.0,0.5404936850647482,0.96875,1.0,0.9375,0.342574420884747,0.96875,0.9375,1.0,0.5623151670011324,0.9375,0.9375,0.9375
INTP4_SHARED_NATURAL_BREAK_V1-c02-m003-g020-break-f11,02,3,20,40,19,65,1511,0.6022479811398915,0.9375,0.9375,0.9375,0.5174699063702288,0.96875,1.0,0.9375,0.5359268687732494,0.96875,0.9375,1.0,0.4743804805026813,0.9375,1.0,0.875,0.5635147429088049,1.0,1.0,1.0
INTP4_SHARED_NATURAL_BREAK_V1-c02-m003-g065-break-f06,02,3,65,40,23,45,3540,0.6766668756178924,0.9375,0.9375,0.9375,0.6149262332495337,0.96875,0.9375,1.0,0.6261571972821508,0.9375,0.9375,0.9375,0.5956311295862864,0.875,0.875,0.875,0.648179981067949,0.9375,0.875,1.0
